feature_set,train_size,ansatz,encoding,accuracy,f1,auc,precision,recall,TPR,FPR,TP,TN,FP,FN,threshold,best_epoch,validation_accuracy,validation_f1,validation_auc
autoencoder,5000,EfficientSU2_like,ry_embedding,0.993,0.9952185792349728,0.9950288459939812,0.997262149212868,0.9931833674164964,0.9931833674164964,0.0075046904315197,1457,529,4,10,0.5249999999999999,18,0.995,0.9965823650034176,0.998492675424478
autoencoder,5000,Real_Amplitude_like,ry_embedding,0.989,0.9924554183813444,0.9904336938602988,0.9986197377501724,0.9863667348329924,0.9863667348329924,0.0037523452157598,1447,531,2,20,0.5449999999999999,16,0.995,0.9965823650034176,0.9970006795734526
autoencoder,5000,EfficientSU2_like,rx_embedding,0.988,0.9917920656634748,0.9917330744803436,0.9951956074124916,0.9884117246080436,0.9884117246080436,0.0131332082551594,1450,526,7,17,0.5099999999999999,19,0.992,0.994535519125683,0.9956568613925636
autoencoder,5000,custom_ansatz_1,ry_embedding,0.984,0.9890185312285518,0.9893824233192784,0.9958534899792676,0.9822767552828904,0.9822767552828904,0.0112570356472795,1441,527,6,26,0.5099999999999999,18,0.992,0.9945205479452056,0.9964795029405604
autoencoder,5000,strongly_entangling,rx_embedding,0.979,0.9856065798492116,0.989161170516849,0.9910406616126808,0.9802317655078392,0.9802317655078392,0.024390243902439,1438,520,13,29,0.5099999999999999,19,0.987,0.9911262798634812,0.9958203677871964
autoencoder,5000,strongly_entangling,ry_embedding,0.979,0.98559670781893,0.9875650809363212,0.9917184265010353,0.9795501022494888,0.9795501022494888,0.0225140712945591,1437,521,12,30,0.5249999999999999,18,0.992,0.9945429740791268,0.9962342433486108
autoencoder,5000,EfficientSU2_like,custom_h_ry_rz,0.973,0.9816201497617428,0.9782046805838516,0.9802855200543849,0.9829584185412408,0.9829584185412408,0.0544090056285178,1442,504,29,25,0.5299999999999999,16,0.986,0.9904371584699454,0.9899239184307472
autoencoder,5000,custom_ansatz_1,amplitude_embedding,0.9635,0.9755115732975512,0.9429461920858,0.9603698811096432,0.9911383776414452,0.9911383776414452,0.1125703564727955,1454,473,60,13,0.5049999999999999,19,0.975,0.9830966869506425,0.96987905636372
autoencoder,5000,custom_ansatz_1,custom_h_ry_rz,0.963,0.9746401644962304,0.9868974857752352,0.980013783597519,0.9693251533742332,0.9693251533742332,0.0544090056285178,1422,504,29,45,0.5149999999999999,18,0.976,0.9835616438356164,0.992652431391184
autoencoder,5000,Real_Amplitude_like,amplitude_embedding,0.963,0.975100942126514,0.94564343000674,0.9627906976744186,0.9877300613496932,0.9877300613496932,0.1050656660412758,1449,477,56,18,0.5049999999999999,20,0.978,0.9850948509485096,0.9713710522147452
xgb_pca4,5000,EfficientSU2_like,rx_embedding,0.962,0.973972602739726,0.9647300012405504,0.9786648313833448,0.9693251533742332,0.9693251533742332,0.0581613508442776,1422,502,31,45,0.4899999999999999,20,0.977,0.9841924398625428,0.9823719668286404
xgb_pca4,5000,Real_Amplitude_like,rx_embedding,0.959,0.971937029431896,0.975356530346804,0.9759450171821306,0.9679618268575324,0.9679618268575324,0.0656660412757973,1420,498,35,47,0.5249999999999999,20,0.964,0.9753424657534246,0.9792755644802796
autoencoder,5000,strongly_entangling,amplitude_embedding,0.9545,0.9697171381031614,0.9286120798914452,0.947334200260078,0.9931833674164964,0.9931833674164964,0.1519699812382739,1457,452,81,10,0.4999999999999999,20,0.965,0.976525821596244,0.9603445897266888
autoencoder,5000,Real_Amplitude_like,custom_h_ry_rz,0.952,0.9670781893004116,0.9823688373740744,0.9730848861283644,0.9611451942740288,0.9611451942740288,0.073170731707317,1410,494,39,57,0.5349999999999999,20,0.957,0.970487302676733,0.9837004562850328
autoencoder,5000,custom_ansatz_1,ZZ_Feature_Map_style,0.9505,0.9661074974323862,0.9852707021643128,0.970426409903714,0.961826857532379,0.961826857532379,0.0806754221388367,1411,490,43,56,0.5149999999999999,19,0.968,0.9781718963165076,0.986684447987083
autoencoder,5000,strongly_entangling,IQP_style_encoding,0.9505,0.966130687649675,0.977221192693286,0.9697802197802198,0.9625085207907292,0.9625085207907292,0.0825515947467167,1412,489,44,55,0.5049999999999999,6,0.953,0.9677861549006168,0.98439024888739
autoencoder,5000,custom_ansatz_1,rx_embedding,0.9405,0.9587521663778162,0.9537402594412918,0.9753173483779972,0.9427402862985684,0.9427402862985684,0.0656660412757973,1383,498,35,84,0.5049999999999999,20,0.948,0.9637883008356546,0.965878259270046
autoencoder,5000,EfficientSU2_like,IQP_style_encoding,0.9375,0.9581519919651824,0.9831464194774088,0.9414473684210526,0.9754601226993864,0.9754601226993864,0.1669793621013133,1431,444,89,36,0.5099999999999999,20,0.957,0.9710827168796234,0.9886363055730132
xgb_pca4,5000,Real_Amplitude_like,IQP_style_encoding,0.937,0.9551282051282052,0.9828842413011198,1.0,0.9141104294478528,0.9141104294478528,0.0,1341,533,0,126,0.4799999999999999,17,0.942,0.9588068181818182,0.9853048627823678
autoencoder,5000,Real_Amplitude_like,ZZ_Feature_Map_style,0.9365,0.9566108643662452,0.9758118251309932,0.958904109589041,0.9543285616905248,0.9543285616905248,0.1125703564727955,1400,473,60,67,0.5399999999999999,7,0.942,0.9603825136612022,0.9781565675920108
