feature_set,train_size,ansatz,encoding,accuracy,f1,auc,precision,recall,threshold,best_epoch,validation_accuracy,validation_f1,validation_auc
xgb_pca4,5000,strongly_entangling,zz_feature_map,0.88,0.9109792284866469,0.9425075232347416,0.9991863303498779,0.8370824812542604,0.4499999999999999,19,0.889,0.9180811808118081,0.9384858285942026
ica4,5000,efficient_su2_like,custom_h_ry_rz,0.88,0.9219765929778934,0.9361692059582228,0.8812927284027346,0.9665985003408316,0.4799999999999999,20,0.866,0.9146496815286624,0.9217162039946656
ica4,5000,real_amplitudes,iqp_embedding,0.8795,0.9226324237560193,0.9431201249247037,0.8719660194174758,0.9795501022494888,0.4649999999999999,20,0.866,0.9151898734177215,0.9315623546964656
ica4,5000,efficient_su2_like,zz_feature_map,0.8795,0.9194787838289342,0.9341574680494327,0.9017038007863696,0.9379686434901159,0.43499999999999994,16,0.855,0.9046679815910585,0.9093101563018942
ica4,5000,real_amplitudes,zz_feature_map,0.8795,0.9220821209182024,0.9321521247303083,0.8769987699876999,0.9720518064076347,0.37499999999999994,20,0.857,0.9092063492063492,0.9126364895177072
ica4,5000,custom_ansatz_1,zz_feature_map,0.8795,0.9221827575072651,0.9285865015327832,0.8760736196319019,0.9734151329243353,0.43499999999999994,15,0.861,0.9112954690491385,0.90813495409047
xgb_pca4,5000,custom_ansatz_1,custom_h_ry_rz,0.876,0.9215686274509803,0.8771944633084839,0.8595870206489675,0.9931833674164963,0.38999999999999996,3,0.867,0.9165097300690521,0.8746416910648864
xgb_pca4,5000,real_amplitudes,custom_h_ry_rz,0.874,0.9198473282442748,0.8205128205128205,0.8622540250447227,0.9856850715746421,0.32499999999999996,20,0.864,0.914249684741488,0.8348585414207683
xgb_pca4,5000,custom_ansatz_1,zz_feature_map,0.8735,0.9061920652576937,0.9471576688395482,0.9934959349593496,0.8329925017041582,0.44499999999999995,6,0.887,0.9167280766396463,0.9382201307029242
xgb_pca4,5000,strongly_entangling,iqp_embedding,0.8725,0.9062155204119161,0.9364518468214413,0.9840255591054313,0.8398091342876619,0.4749999999999999,2,0.891,0.9201465201465201,0.9398960712479116
ica4,5000,custom_ansatz_1,iqp_embedding,0.8715,0.9135553313151699,0.9183922466879223,0.9017264276228419,0.9256987048398091,0.4699999999999999,20,0.858,0.9062087186261559,0.911088288343527
