feature_set,train_size,ansatz,encoding,accuracy,f1,auc,precision,recall,TPR,FPR,TP,TN,FP,FN,threshold,best_epoch,validation_accuracy,validation_f1,validation_auc
autoencoder,5000,EfficientSU2_like,ZZ_Feature_Map_style,0.9085,0.9394641085014884,0.9627400049366232,0.9125964010282775,0.9679618268575324,0.9679618268575324,0.2551594746716698,1420,397,136,47,0.4999999999999999,20,0.893,0.9299279633267844,0.9537736764923792
autoencoder,5000,EfficientSU2_like,amplitude_embedding,0.907,0.9368206521739132,0.9238915938003174,0.933649289099526,0.940013633265167,0.940013633265167,0.1838649155722326,1379,435,98,88,0.4849999999999999,20,0.919,0.9446343130553656,0.953681704145398
autoencoder,5000,strongly_entangling,ZZ_Feature_Map_style,0.895,0.9271339347675226,0.9494239114170282,0.9441696113074204,0.9107021131561008,0.9107021131561008,0.148217636022514,1336,454,79,131,0.5499999999999999,11,0.889,0.9237113402061856,0.9524247487366576
autoencoder,5000,Real_Amplitude_like,rx_embedding,0.8945,0.9231889333818712,0.9510187220796228,0.990625,0.8643490115882754,0.8643490115882754,0.0225140712945591,1268,521,12,199,0.5249999999999999,20,0.904,0.93033381712627,0.95536786384005
ica4,5000,Real_Amplitude_like,IQP_style_encoding,0.8915,0.929522572263722,0.9425190334961396,0.8877171215880894,0.9754601226993864,0.9754601226993864,0.3395872420262664,1431,352,181,36,0.4749999999999999,18,0.869,0.916613621896881,0.9309543152914246
ica4,5000,EfficientSU2_like,ZZ_Feature_Map_style,0.8885,0.9282727565133484,0.9343557003290656,0.8788063337393422,0.983640081799591,0.983640081799591,0.373358348968105,1443,334,199,24,0.3749999999999999,17,0.867,0.9155555555555556,0.9092539509787392
pca4,5000,custom_ansatz_1,ry_embedding,0.8875,0.9270664505672608,0.9350859624688744,0.8838071693448702,0.974778459441036,0.974778459441036,0.3527204502814259,1430,345,188,37,0.4899999999999999,15,0.864,0.9128205128205128,0.939461757387168
xgb_pca4,5000,EfficientSU2_like,rx_embedding,0.884,0.9145173176123802,0.9538131577634792,0.9951884522854852,0.8459441036128152,0.8459441036128152,0.0112570356472795,1241,527,6,226,0.4899999999999999,16,0.901,0.9276844411979548,0.9563080256091891
ica4,5000,EfficientSU2_like,custom_h_ry_rz,0.884,0.9249190938511328,0.941944799344171,0.8804682686383241,0.9740967961826856,0.9740967961826856,0.3639774859287054,1429,339,194,38,0.4899999999999999,19,0.865,0.9141767323585506,0.9256761244896812
xgb_pca4,5000,Real_Amplitude_like,ZZ_Feature_Map_style,0.884,0.9144542772861356,0.941847601581254,0.9959839357429718,0.8452624403544649,0.8452624403544649,0.0093808630393996,1240,528,5,227,0.4549999999999999,3,0.892,0.920704845814978,0.9368303263485446
