DRM+VQC(Encoding+Ansatz),DRM,feature_set,train_size,ansatz,encoding,threshold,TP,TN,FP,FN,TPR_point,FPR_point,elapsed_s,gpu_id,accuracy_mean_B,accuracy_std_B,accuracy_ci_low_B,accuracy_ci_high_B,accuracy_ci_width_B,accuracy_pm_B,accuracy_ci_str_B,f1_mean_B,f1_std_B,f1_ci_low_B,f1_ci_high_B,f1_ci_width_B,f1_pm_B,f1_ci_str_B,auc_mean_B,auc_std_B,auc_ci_low_B,auc_ci_high_B,auc_ci_width_B,auc_pm_B,auc_ci_str_B,tpr_mean_B,tpr_std_B,tpr_ci_low_B,tpr_ci_high_B,tpr_ci_width_B,tpr_pm_B,tpr_ci_str_B,fpr_mean_B,fpr_std_B,fpr_ci_low_B,fpr_ci_high_B,fpr_ci_width_B,fpr_pm_B,fpr_ci_str_B,prec_mean_B,prec_std_B,prec_ci_low_B,prec_ci_high_B,prec_ci_width_B,prec_pm_B,prec_ci_str_B,n_subsets,n_valid,subset_size
Autoencoder+VQC(Custom_H_RY_RZ+strongly_entangling),Autoencoder,autoencoder,5000,strongly_entangling,Custom_H_RY_RZ,0.4499999999999999,1361,510,23,106,0.9277436946148604,0.0431519699812382,103.4,5,0.9284,0.006,0.917,0.9405,0.0235,0.9284 ± 0.0060,"[0.9170, 0.9405]",0.9498,0.0043,0.9415,0.9586,0.0171,0.9498 ± 0.0043,"[0.9415, 0.9586]",0.9709,0.0033,0.9646,0.9769,0.0124,0.9709 ± 0.0033,"[0.9646, 0.9769]",0.9241,0.007,0.9107,0.9373,0.0266,0.9241 ± 0.0070,"[0.9107, 0.9373]",0.0597,0.0111,0.0394,0.0845,0.0451,0.0597 ± 0.0111,"[0.0394, 0.0845]",0.9771,0.0042,0.9677,0.9849,0.0172,0.9771 ± 0.0042,"[0.9677, 0.9849]",200,200,2000
Autoencoder+VQC(IQP_style_encoding+Real_Amplitude_like),Autoencoder,autoencoder,5000,Real_Amplitude_like,IQP_style_encoding,0.4699999999999999,1447,419,114,20,0.9863667348329924,0.2138836772983114,125.3,7,0.9285,0.0055,0.918,0.9385,0.0205,0.9285 ± 0.0055,"[0.9180, 0.9385]",0.9531,0.0035,0.9466,0.9593,0.0128,0.9531 ± 0.0035,"[0.9466, 0.9593]",0.8994,0.0126,0.8729,0.924,0.051,0.8994 ± 0.0126,"[0.8729, 0.9240]",0.9903,0.0024,0.9857,0.9945,0.0089,0.9903 ± 0.0024,"[0.9857, 0.9945]",0.2416,0.0197,0.2044,0.2815,0.0771,0.2416 ± 0.0197,"[0.2044, 0.2815]",0.9186,0.0061,0.9064,0.9301,0.0237,0.9186 ± 0.0061,"[0.9064, 0.9301]",200,200,2000
Autoencoder+VQC(Custom_H_RY_RZ+Real_Amplitude_like),Autoencoder,autoencoder,5000,Real_Amplitude_like,Custom_H_RY_RZ,0.5499999999999999,1384,457,76,83,0.9434219495569188,0.1425891181988743,108.2,6,0.9221,0.0061,0.9105,0.934,0.0235,0.9221 ± 0.0061,"[0.9105, 0.9340]",0.947,0.0042,0.9391,0.9552,0.0161,0.9470 ± 0.0042,"[0.9391, 0.9552]",0.9734,0.0032,0.967,0.9787,0.0117,0.9734 ± 0.0032,"[0.9670, 0.9787]",0.9483,0.0057,0.9359,0.9584,0.0225,0.9483 ± 0.0057,"[0.9359, 0.9584]",0.1499,0.0159,0.1238,0.1802,0.0564,0.1499 ± 0.0159,"[0.1238, 0.1802]",0.9457,0.0055,0.9356,0.9551,0.0195,0.9457 ± 0.0055,"[0.9356, 0.9551]",200,200,2000
Autoencoder+VQC(IQP_style_encoding+custom_ansatz_1),Autoencoder,autoencoder,5000,custom_ansatz_1,IQP_style_encoding,0.5149999999999999,1420,412,121,47,0.9679618268575324,0.2270168855534709,127.2,5,0.9083,0.0056,0.897,0.9205,0.0235,0.9083 ± 0.0056,"[0.8970, 0.9205]",0.9396,0.0036,0.9321,0.9472,0.0152,0.9396 ± 0.0036,"[0.9321, 0.9472]",0.9208,0.0083,0.9047,0.936,0.0313,0.9208 ± 0.0083,"[0.9047, 0.9360]",0.9721,0.0038,0.9645,0.9802,0.0157,0.9721 ± 0.0038,"[0.9645, 0.9802]",0.2673,0.0187,0.2251,0.3039,0.0788,0.2673 ± 0.0187,"[0.2251, 0.3039]",0.9092,0.0058,0.8985,0.922,0.0235,0.9092 ± 0.0058,"[0.8985, 0.9220]",200,200,2000
Autoencoder+VQC(ZZ_Feature_Map_style+EfficientSU2_like),Autoencoder,autoencoder,5000,EfficientSU2_like,ZZ_Feature_Map_style,0.4999999999999999,1420,397,136,47,0.9679618268575324,0.2551594746716698,139.5,5,0.8988,0.0061,0.888,0.9105,0.0225,0.8988 ± 0.0061,"[0.8880, 0.9105]",0.9332,0.0039,0.9261,0.9408,0.0146,0.9332 ± 0.0039,"[0.9261, 0.9408]",0.9588,0.0037,0.951,0.9653,0.0143,0.9588 ± 0.0037,"[0.9510, 0.9653]",0.9639,0.0047,0.9543,0.9727,0.0184,0.9639 ± 0.0047,"[0.9543, 0.9727]",0.2805,0.0187,0.2439,0.3152,0.0713,0.2805 ± 0.0187,"[0.2439, 0.3152]",0.9044,0.0058,0.8938,0.916,0.0221,0.9044 ± 0.0058,"[0.8938, 0.9160]",200,200,2000
Autoencoder+VQC(Amplitude_Embedding+EfficientSU2_like),Autoencoder,autoencoder,5000,EfficientSU2_like,Amplitude_Embedding,0.4849999999999999,1379,435,98,88,0.940013633265167,0.1838649155722326,96.2,7,0.9144,0.0064,0.903,0.9265,0.0235,0.9144 ± 0.0064,"[0.9030, 0.9265]",0.942,0.0043,0.9341,0.9502,0.0161,0.9420 ± 0.0043,"[0.9341, 0.9502]",0.9291,0.0085,0.9124,0.9441,0.0316,0.9291 ± 0.0085,"[0.9124, 0.9441]",0.9479,0.006,0.9346,0.9578,0.0232,0.9479 ± 0.0060,"[0.9346, 0.9578]",0.1777,0.0183,0.1482,0.2139,0.0657,0.1777 ± 0.0183,"[0.1482, 0.2139]",0.9363,0.0061,0.9247,0.9462,0.0214,0.9363 ± 0.0061,"[0.9247, 0.9462]",200,200,2000
Autoencoder+VQC(ZZ_Feature_Map_style+strongly_entangling),Autoencoder,autoencoder,5000,strongly_entangling,ZZ_Feature_Map_style,0.5499999999999999,1336,454,79,131,0.9107021131561008,0.148217636022514,118.5,7,0.8938,0.0067,0.88,0.9065,0.0265,0.8938 ± 0.0067,"[0.8800, 0.9065]",0.926,0.0048,0.9161,0.9352,0.0191,0.9260 ± 0.0048,"[0.9161, 0.9352]",0.9601,0.0038,0.9522,0.9666,0.0144,0.9601 ± 0.0038,"[0.9522, 0.9666]",0.9062,0.0071,0.8922,0.9182,0.026,0.9062 ± 0.0071,"[0.8922, 0.9182]",0.1404,0.0148,0.1106,0.1689,0.0582,0.1404 ± 0.0148,"[0.1106, 0.1689]",0.9467,0.0053,0.9362,0.9576,0.0215,0.9467 ± 0.0053,"[0.9362, 0.9576]",200,200,2000
Autoencoder+VQC(RX_Angle_Encoding+Real_Amplitude_like),Autoencoder,autoencoder,5000,Real_Amplitude_like,RX_Angle_Encoding,0.5249999999999999,1268,521,12,199,0.8643490115882754,0.0225140712945591,90.1,7,0.8993,0.0067,0.8855,0.9115,0.026,0.8993 ± 0.0067,"[0.8855, 0.9115]",0.9271,0.0051,0.9165,0.9366,0.0201,0.9271 ± 0.0051,"[0.9165, 0.9366]",0.9463,0.0059,0.9316,0.9561,0.0245,0.9463 ± 0.0059,"[0.9316, 0.9561]",0.873,0.0088,0.8555,0.8889,0.0334,0.8730 ± 0.0088,"[0.8555, 0.8889]",0.0282,0.0069,0.015,0.0432,0.0281,0.0282 ± 0.0069,"[0.0150, 0.0432]",0.9884,0.0028,0.9825,0.9938,0.0114,0.9884 ± 0.0028,"[0.9825, 0.9938]",200,200,2000
ICA4+VQC(IQP_style_encoding+Real_Amplitude_like),ICA4,ica4,5000,Real_Amplitude_like,IQP_style_encoding,0.4749999999999999,1431,352,181,36,0.9754601226993864,0.3395872420262664,128.1,6,0.8762,0.0068,0.8625,0.889,0.0266,0.8762 ± 0.0068,"[0.8625, 0.8890]",0.9201,0.0042,0.9114,0.9282,0.0168,0.9201 ± 0.0042,"[0.9114, 0.9282]",0.9373,0.0053,0.9272,0.9476,0.0205,0.9373 ± 0.0053,"[0.9272, 0.9476]",0.9712,0.0044,0.9632,0.9796,0.0164,0.9712 ± 0.0044,"[0.9632, 0.9796]",0.3851,0.0218,0.3452,0.4278,0.0826,0.3851 ± 0.0218,"[0.3452, 0.4278]",0.8741,0.0063,0.8618,0.8857,0.024,0.8741 ± 0.0063,"[0.8618, 0.8857]",200,200,2000
ICA4+VQC(ZZ_Feature_Map_style+EfficientSU2_like),ICA4,ica4,5000,EfficientSU2_like,ZZ_Feature_Map_style,0.3749999999999999,1443,334,199,24,0.983640081799591,0.373358348968105,138.0,5,0.8645,0.0065,0.852,0.877,0.025,0.8645 ± 0.0065,"[0.8520, 0.8770]",0.9145,0.0038,0.9074,0.9219,0.0145,0.9145 ± 0.0038,"[0.9074, 0.9219]",0.9276,0.0051,0.918,0.9366,0.0186,0.9276 ± 0.0051,"[0.9180, 0.9366]",0.9878,0.003,0.9816,0.9932,0.0116,0.9878 ± 0.0030,"[0.9816, 0.9932]",0.4749,0.0223,0.4296,0.5142,0.0846,0.4749 ± 0.0223,"[0.4296, 0.5142]",0.8513,0.006,0.8402,0.8629,0.0227,0.8513 ± 0.0060,"[0.8402, 0.8629]",200,200,2000
PCA4+VQC(RY_Angle_Encoding+custom_ansatz_1),PCA4,pca4,5000,custom_ansatz_1,RY_Angle_Encoding,0.4899999999999999,1430,345,188,37,0.974778459441036,0.3527204502814259,84.2,7,0.8346,0.0076,0.8205,0.851,0.0305,0.8346 ± 0.0076,"[0.8205, 0.8510]",0.8801,0.0058,0.8696,0.8924,0.0228,0.8801 ± 0.0058,"[0.8696, 0.8924]",0.9099,0.0077,0.8958,0.9243,0.0285,0.9099 ± 0.0077,"[0.8958, 0.9243]",0.8278,0.0088,0.8111,0.8446,0.0335,0.8278 ± 0.0088,"[0.8111, 0.8446]",0.1468,0.0148,0.122,0.1765,0.0545,0.1468 ± 0.0148,"[0.1220, 0.1765]",0.9395,0.0058,0.9274,0.9492,0.0218,0.9395 ± 0.0058,"[0.9274, 0.9492]",200,200,2000
XGB_PCA4+VQC(RX_Angle_Encoding+EfficientSU2_like),XGB_PCA4,xgb_pca4,5000,EfficientSU2_like,RX_Angle_Encoding,0.4899999999999999,1241,527,6,226,0.8459441036128152,0.0112570356472795,95.6,7,0.8962,0.0064,0.8835,0.909,0.0256,0.8962 ± 0.0064,"[0.8835, 0.9090]",0.9331,0.004,0.9255,0.941,0.0155,0.9331 ± 0.0040,"[0.9255, 0.9410]",0.9813,0.0036,0.9732,0.9884,0.0152,0.9813 ± 0.0036,"[0.9732, 0.9884]",0.9866,0.0032,0.9802,0.9932,0.013,0.9866 ± 0.0032,"[0.9802, 0.9932]",0.3525,0.0219,0.3095,0.3996,0.0901,0.3525 ± 0.0219,"[0.3095, 0.3996]",0.8851,0.0064,0.8717,0.8978,0.0262,0.8851 ± 0.0064,"[0.8717, 0.8978]",200,200,2000
ICA4+VQC(Custom_H_RY_RZ+EfficientSU2_like),ICA4,ica4,5000,EfficientSU2_like,Custom_H_RY_RZ,0.4899999999999999,1429,339,194,38,0.9740967961826856,0.3639774859287054,120.1,7,0.8702,0.0068,0.8575,0.884,0.0265,0.8702 ± 0.0068,"[0.8575, 0.8840]",0.9165,0.0042,0.9087,0.9254,0.0167,0.9165 ± 0.0042,"[0.9087, 0.9254]",0.9363,0.0047,0.9278,0.945,0.0173,0.9363 ± 0.0047,"[0.9278, 0.9450]",0.9713,0.0044,0.9625,0.9796,0.0171,0.9713 ± 0.0044,"[0.9625, 0.9796]",0.4082,0.0216,0.3676,0.4447,0.0771,0.4082 ± 0.0216,"[0.3676, 0.4447]",0.8676,0.0061,0.8573,0.879,0.0217,0.8676 ± 0.0061,"[0.8573, 0.8790]",200,200,2000
XGB_PCA4+VQC(ZZ_Feature_Map_style+Real_Amplitude_like),XGB_PCA4,xgb_pca4,5000,Real_Amplitude_like,ZZ_Feature_Map_style,0.4549999999999999,1240,528,5,227,0.8452624403544649,0.0093808630393996,118.5,7,0.7335,0.0,0.7335,0.7335,0.0,0.7335 ± 0.0000,"[0.7335, 0.7335]",0.8463,0.0,0.8463,0.8463,0.0,0.8463 ± 0.0000,"[0.8463, 0.8463]",0.9614,0.0039,0.9541,0.969,0.0149,0.9614 ± 0.0039,"[0.9541, 0.9690]",1.0,0.0,1.0,1.0,0.0,1.0000 ± 0.0000,"[1.0000, 1.0000]",1.0,0.0,1.0,1.0,0.0,1.0000 ± 0.0000,"[1.0000, 1.0000]",0.7335,0.0,0.7335,0.7335,0.0,0.7335 ± 0.0000,"[0.7335, 0.7335]",200,200,2000
PCA4+VQC(RX_Angle_Encoding+EfficientSU2_like),PCA4,pca4,5000,EfficientSU2_like,RX_Angle_Encoding,0.4949999999999999,1432,335,198,35,0.9761417859577368,0.3714821763602251,104.9,5,0.8516,0.0066,0.8404,0.8645,0.0241,0.8516 ± 0.0066,"[0.8404, 0.8645]",0.9067,0.0039,0.8997,0.9144,0.0147,0.9067 ± 0.0039,"[0.8997, 0.9144]",0.8948,0.0086,0.8769,0.9093,0.0323,0.8948 ± 0.0086,"[0.8769, 0.9093]",0.9829,0.0036,0.9761,0.9898,0.0137,0.9829 ± 0.0036,"[0.9761, 0.9898]",0.5098,0.023,0.4634,0.5536,0.0902,0.5098 ± 0.0230,"[0.4634, 0.5536]",0.8415,0.006,0.8298,0.8535,0.0238,0.8415 ± 0.0060,"[0.8298, 0.8535]",200,200,2000
XGB_PCA4+VQC(ZZ_Feature_Map_style+strongly_entangling),XGB_PCA4,xgb_pca4,5000,strongly_entangling,ZZ_Feature_Map_style,0.4499999999999999,1228,532,1,239,0.8370824812542604,0.0018761726078799,121.0,6,0.8753,0.0068,0.862,0.888,0.026,0.8753 ± 0.0068,"[0.8620, 0.8880]",0.9086,0.0054,0.8983,0.9188,0.0206,0.9086 ± 0.0054,"[0.8983, 0.9188]",0.9422,0.0044,0.9339,0.9509,0.017,0.9422 ± 0.0044,"[0.9339, 0.9509]",0.8454,0.009,0.8275,0.863,0.0355,0.8454 ± 0.0090,"[0.8275, 0.8630]",0.0422,0.0086,0.0263,0.06,0.0338,0.0422 ± 0.0086,"[0.0263, 0.0600]",0.9822,0.0036,0.9753,0.9889,0.0136,0.9822 ± 0.0036,"[0.9753, 0.9889]",200,200,2000
ICA4+VQC(ZZ_Feature_Map_style+custom_ansatz_1),ICA4,ica4,5000,custom_ansatz_1,ZZ_Feature_Map_style,0.4349999999999999,1428,331,202,39,0.9734151329243352,0.3789868667917448,129.1,6,0.8666,0.0066,0.8545,0.8795,0.025,0.8666 ± 0.0066,"[0.8545, 0.8795]",0.9151,0.004,0.908,0.923,0.015,0.9151 ± 0.0040,"[0.9080, 0.9230]",0.922,0.0058,0.9118,0.9328,0.021,0.9220 ± 0.0058,"[0.9118, 0.9328]",0.9801,0.0035,0.9734,0.9864,0.013,0.9801 ± 0.0035,"[0.9734, 0.9864]",0.4456,0.0226,0.4033,0.4879,0.0845,0.4456 ± 0.0226,"[0.4033, 0.4879]",0.8583,0.0062,0.8467,0.8702,0.0235,0.8583 ± 0.0062,"[0.8467, 0.8702]",200,200,2000
XGB_PCA4+VQC(Custom_H_RY_RZ+custom_ansatz_1),XGB_PCA4,xgb_pca4,5000,custom_ansatz_1,Custom_H_RY_RZ,0.3899999999999999,1457,295,238,10,0.9931833674164964,0.4465290806754221,110.6,4,0.732,0.0009,0.73,0.7335,0.0035,0.7320 ± 0.0009,"[0.7300, 0.7335]",0.8453,0.0006,0.8439,0.8463,0.0023,0.8453 ± 0.0006,"[0.8439, 0.8463]",0.9404,0.0047,0.931,0.9502,0.0192,0.9404 ± 0.0047,"[0.9310, 0.9502]",0.998,0.0013,0.9952,1.0,0.0048,0.9980 ± 0.0013,"[0.9952, 1.0000]",1.0,0.0,1.0,1.0,0.0,1.0000 ± 0.0000,"[1.0000, 1.0000]",0.7331,0.0002,0.7326,0.7335,0.0009,0.7331 ± 0.0002,"[0.7326, 0.7335]",200,200,2000
ICA4+VQC(ZZ_Feature_Map_style+Real_Amplitude_like),ICA4,ica4,5000,Real_Amplitude_like,ZZ_Feature_Map_style,0.3749999999999999,1421,328,205,46,0.9686434901158828,0.3846153846153846,118.5,7,0.8617,0.0065,0.85,0.8745,0.0245,0.8617 ± 0.0065,"[0.8500, 0.8745]",0.9111,0.004,0.9039,0.919,0.0151,0.9111 ± 0.0040,"[0.9039, 0.9190]",0.9227,0.0053,0.9134,0.9314,0.018,0.9227 ± 0.0053,"[0.9134, 0.9314]",0.9657,0.0042,0.9584,0.9748,0.0164,0.9657 ± 0.0042,"[0.9584, 0.9748]",0.4245,0.0208,0.3864,0.4616,0.0751,0.4245 ± 0.0208,"[0.3864, 0.4616]",0.8623,0.0059,0.8514,0.8732,0.0218,0.8623 ± 0.0059,"[0.8514, 0.8732]",200,200,2000
PCA4+VQC(IQP_style_encoding+Real_Amplitude_like),PCA4,pca4,5000,Real_Amplitude_like,IQP_style_encoding,0.4699999999999999,1439,310,223,28,0.9809134287661896,0.4183864915572232,120.0,7,0.8733,0.0066,0.8605,0.885,0.0245,0.8733 ± 0.0066,"[0.8605, 0.8850]",0.9193,0.004,0.9116,0.9263,0.0147,0.9193 ± 0.0040,"[0.9116, 0.9263]",0.9234,0.0055,0.9125,0.9336,0.0211,0.9234 ± 0.0055,"[0.9125, 0.9336]",0.9835,0.0035,0.9768,0.9905,0.0136,0.9835 ± 0.0035,"[0.9768, 0.9905]",0.4301,0.0221,0.3921,0.4693,0.0772,0.4301 ± 0.0221,"[0.3921, 0.4693]",0.8629,0.0061,0.8519,0.8736,0.0217,0.8629 ± 0.0061,"[0.8519, 0.8736]",200,200,2000
XGB_PCA4+VQC(ZZ_Feature_Map_style+custom_ansatz_1),XGB_PCA4,xgb_pca4,5000,custom_ansatz_1,ZZ_Feature_Map_style,0.4449999999999999,1222,525,8,245,0.8329925017041582,0.0150093808630394,134.6,6,0.7489,0.0026,0.744,0.754,0.01,0.7489 ± 0.0026,"[0.7440, 0.7540]",0.8537,0.0013,0.8512,0.8564,0.0051,0.8537 ± 0.0013,"[0.8512, 0.8564]",0.9531,0.0041,0.9455,0.9605,0.015,0.9531 ± 0.0041,"[0.9455, 0.9605]",0.9991,0.0008,0.9973,1.0,0.0027,0.9991 ± 0.0008,"[0.9973, 1.0000]",0.9398,0.0095,0.9212,0.9568,0.0356,0.9398 ± 0.0095,"[0.9212, 0.9568]",0.7453,0.0019,0.7418,0.749,0.0072,0.7453 ± 0.0019,"[0.7418, 0.7490]",200,200,2000
XGB_PCA4+VQC(IQP_style_encoding+strongly_entangling),XGB_PCA4,xgb_pca4,5000,strongly_entangling,IQP_style_encoding,0.4749999999999999,1232,513,20,235,0.8398091342876619,0.0375234521575985,124.7,4,0.7335,0.0,0.7335,0.7335,0.0,0.7335 ± 0.0000,"[0.7335, 0.7335]",0.8463,0.0,0.8463,0.8463,0.0,0.8463 ± 0.0000,"[0.8463, 0.8463]",0.9891,0.0025,0.9839,0.994,0.0101,0.9891 ± 0.0025,"[0.9839, 0.9940]",1.0,0.0,1.0,1.0,0.0,1.0000 ± 0.0000,"[1.0000, 1.0000]",1.0,0.0,1.0,1.0,0.0,1.0000 ± 0.0000,"[1.0000, 1.0000]",0.7335,0.0,0.7335,0.7335,0.0,0.7335 ± 0.0000,"[0.7335, 0.7335]",200,200,2000
ICA4+VQC(IQP_style_encoding+custom_ansatz_1),ICA4,ica4,5000,custom_ansatz_1,IQP_style_encoding,0.4699999999999999,1358,385,148,109,0.9256987048398092,0.2776735459662289,131.4,4,0.8713,0.0072,0.8565,0.8855,0.029,0.8713 ± 0.0072,"[0.8565, 0.8855]",0.9143,0.0047,0.9049,0.9239,0.019,0.9143 ± 0.0047,"[0.9049, 0.9239]",0.9159,0.0072,0.9015,0.9299,0.0284,0.9159 ± 0.0072,"[0.9015, 0.9299]",0.9359,0.0061,0.925,0.9475,0.0225,0.9359 ± 0.0061,"[0.9250, 0.9475]",0.3066,0.0197,0.2739,0.3433,0.0694,0.3066 ± 0.0197,"[0.2739, 0.3433]",0.8937,0.0062,0.8815,0.9041,0.0226,0.8937 ± 0.0062,"[0.8815, 0.9041]",200,200,2000
XGB_PCA4+VQC(RY_Angle_Encoding+EfficientSU2_like),XGB_PCA4,xgb_pca4,5000,EfficientSU2_like,RY_Angle_Encoding,0.4749999999999999,1237,498,35,230,0.8432174505794138,0.0656660412757973,100.8,4,0.7629,0.0046,0.7535,0.771,0.0175,0.7629 ± 0.0046,"[0.7535, 0.7710]",0.8597,0.0025,0.8547,0.8642,0.0095,0.8597 ± 0.0025,"[0.8547, 0.8642]",0.9861,0.0031,0.9802,0.9921,0.012,0.9861 ± 0.0031,"[0.9802, 0.9921]",0.9904,0.0027,0.985,0.9952,0.0102,0.9904 ± 0.0027,"[0.9850, 0.9952]",0.8633,0.0155,0.833,0.8968,0.0638,0.8633 ± 0.0155,"[0.8330, 0.8968]",0.7595,0.0033,0.7522,0.7659,0.0137,0.7595 ± 0.0033,"[0.7522, 0.7659]",200,200,2000
PCA4+VQC(ZZ_Feature_Map_style+strongly_entangling),PCA4,pca4,5000,strongly_entangling,ZZ_Feature_Map_style,0.3099999999999999,1465,258,275,2,0.9986366734832992,0.5159474671669794,112.7,7,0.7335,0.0,0.7335,0.7335,0.0,0.7335 ± 0.0000,"[0.7335, 0.7335]",0.8463,0.0,0.8463,0.8463,0.0,0.8463 ± 0.0000,"[0.8463, 0.8463]",0.9242,0.0059,0.9128,0.9345,0.0217,0.9242 ± 0.0059,"[0.9128, 0.9345]",1.0,0.0,1.0,1.0,0.0,1.0000 ± 0.0000,"[1.0000, 1.0000]",1.0,0.0,1.0,1.0,0.0,1.0000 ± 0.0000,"[1.0000, 1.0000]",0.7335,0.0,0.7335,0.7335,0.0,0.7335 ± 0.0000,"[0.7335, 0.7335]",200,200,2000
ICA4+VQC(ZZ_Feature_Map_style+strongly_entangling),ICA4,ica4,5000,strongly_entangling,ZZ_Feature_Map_style,0.4049999999999999,1440,282,251,27,0.98159509202454,0.4709193245778612,116.4,5,0.7335,0.0,0.7335,0.7335,0.0,0.7335 ± 0.0000,"[0.7335, 0.7335]",0.8463,0.0,0.8463,0.8463,0.0,0.8463 ± 0.0000,"[0.8463, 0.8463]",0.9194,0.0056,0.9088,0.9293,0.0205,0.9194 ± 0.0056,"[0.9088, 0.9293]",1.0,0.0,1.0,1.0,0.0,1.0000 ± 0.0000,"[1.0000, 1.0000]",1.0,0.0,1.0,1.0,0.0,1.0000 ± 0.0000,"[1.0000, 1.0000]",0.7335,0.0,0.7335,0.7335,0.0,0.7335 ± 0.0000,"[0.7335, 0.7335]",200,200,2000
XGB_PCA4+VQC(Custom_H_RY_RZ+Real_Amplitude_like),XGB_PCA4,xgb_pca4,5000,Real_Amplitude_like,Custom_H_RY_RZ,0.3199999999999999,1439,283,250,28,0.9809134287661896,0.4690431519699812,115.7,5,0.8369,0.0057,0.8265,0.847,0.0205,0.8369 ± 0.0057,"[0.8265, 0.8470]",0.8991,0.0033,0.8929,0.9052,0.0123,0.8991 ± 0.0033,"[0.8929, 0.9052]",0.802,0.0146,0.7748,0.8299,0.0552,0.8020 ± 0.0146,"[0.7748, 0.8299]",0.991,0.0025,0.9864,0.9952,0.0089,0.9910 ± 0.0025,"[0.9864, 0.9952]",0.5873,0.02,0.5478,0.6249,0.077,0.5873 ± 0.0200,"[0.5478, 0.6249]",0.8229,0.005,0.8139,0.8325,0.0186,0.8229 ± 0.0050,"[0.8139, 0.8325]",200,200,2000
ICA4+VQC(IQP_style_encoding+EfficientSU2_like),ICA4,ica4,5000,EfficientSU2_like,IQP_style_encoding,0.3899999999999999,1456,263,270,11,0.992501704158146,0.5065666041275797,138.7,7,0.8451,0.0059,0.834,0.856,0.022,0.8451 ± 0.0059,"[0.8340, 0.8560]",0.9035,0.0034,0.8975,0.9098,0.0124,0.9035 ± 0.0034,"[0.8975, 0.9098]",0.9292,0.0054,0.9182,0.9404,0.0222,0.9292 ± 0.0054,"[0.9182, 0.9404]",0.9888,0.0026,0.9836,0.9939,0.0102,0.9888 ± 0.0026,"[0.9836, 0.9939]",0.5504,0.0208,0.5121,0.5929,0.0808,0.5504 ± 0.0208,"[0.5121, 0.5929]",0.8318,0.0053,0.8209,0.8418,0.0209,0.8318 ± 0.0053,"[0.8209, 0.8418]",200,200,2000
XGB_PCA4+VQC(IQP_style_encoding+EfficientSU2_like),XGB_PCA4,xgb_pca4,5000,EfficientSU2_like,IQP_style_encoding,0.3899999999999999,1445,274,259,22,0.9850034083162916,0.4859287054409005,124.2,7,0.7332,0.0004,0.732,0.7335,0.0015,0.7332 ± 0.0004,"[0.7320, 0.7335]",0.8461,0.0003,0.8453,0.8463,0.001,0.8461 ± 0.0003,"[0.8453, 0.8463]",0.8842,0.0077,0.8693,0.8991,0.0297,0.8842 ± 0.0077,"[0.8693, 0.8991]",0.9996,0.0005,0.998,1.0,0.002,0.9996 ± 0.0005,"[0.9980, 1.0000]",1.0,0.0,1.0,1.0,0.0,1.0000 ± 0.0000,"[1.0000, 1.0000]",0.7334,0.0001,0.7331,0.7335,0.0004,0.7334 ± 0.0001,"[0.7331, 0.7335]",200,200,2000
PCA4+VQC(Custom_H_RY_RZ+strongly_entangling),PCA4,pca4,5000,strongly_entangling,Custom_H_RY_RZ,0.3999999999999999,1463,255,278,4,0.9972733469665984,0.5215759849906192,105.1,5,0.8466,0.0057,0.836,0.8575,0.0215,0.8466 ± 0.0057,"[0.8360, 0.8575]",0.9046,0.0033,0.8985,0.911,0.0125,0.9046 ± 0.0033,"[0.8985, 0.9110]",0.8946,0.007,0.8783,0.9076,0.0293,0.8946 ± 0.0070,"[0.8783, 0.9076]",0.9915,0.0025,0.9857,0.9959,0.0102,0.9915 ± 0.0025,"[0.9857, 0.9959]",0.5521,0.0204,0.5141,0.5892,0.0751,0.5521 ± 0.0204,"[0.5141, 0.5892]",0.8318,0.0052,0.8224,0.8417,0.0193,0.8318 ± 0.0052,"[0.8224, 0.8417]",200,200,2000
PCA4+VQC(Custom_H_RY_RZ+EfficientSU2_like),PCA4,pca4,5000,EfficientSU2_like,Custom_H_RY_RZ,0.3649999999999999,1463,252,281,4,0.9972733469665984,0.5272045028142589,120.4,4,0.7331,0.0004,0.732,0.7335,0.0015,0.7331 ± 0.0004,"[0.7320, 0.7335]",0.846,0.0003,0.8453,0.8463,0.001,0.8460 ± 0.0003,"[0.8453, 0.8463]",0.9138,0.0061,0.902,0.925,0.023,0.9138 ± 0.0061,"[0.9020, 0.9250]",0.9994,0.0006,0.998,1.0,0.002,0.9994 ± 0.0006,"[0.9980, 1.0000]",1.0,0.0,1.0,1.0,0.0,1.0000 ± 0.0000,"[1.0000, 1.0000]",0.7334,0.0001,0.7331,0.7335,0.0004,0.7334 ± 0.0001,"[0.7331, 0.7335]",200,200,2000
