DRM+VQC(Encoding+Ansatz),DRM,feature_set,train_size,ansatz,encoding,threshold,TP,TN,FP,FN,TPR_point,FPR_point,elapsed_s,gpu_id,accuracy_mean_B,accuracy_std_B,accuracy_ci_low_B,accuracy_ci_high_B,accuracy_ci_width_B,accuracy_pm_B,accuracy_ci_str_B,f1_mean_B,f1_std_B,f1_ci_low_B,f1_ci_high_B,f1_ci_width_B,f1_pm_B,f1_ci_str_B,auc_mean_B,auc_std_B,auc_ci_low_B,auc_ci_high_B,auc_ci_width_B,auc_pm_B,auc_ci_str_B,tpr_mean_B,tpr_std_B,tpr_ci_low_B,tpr_ci_high_B,tpr_ci_width_B,tpr_pm_B,tpr_ci_str_B,fpr_mean_B,fpr_std_B,fpr_ci_low_B,fpr_ci_high_B,fpr_ci_width_B,fpr_pm_B,fpr_ci_str_B,prec_mean_B,prec_std_B,prec_ci_low_B,prec_ci_high_B,prec_ci_width_B,prec_pm_B,prec_ci_str_B,n_subsets,n_valid,subset_size
Autoencoder+VQC(Amplitude_Embedding+custom_ansatz_1),Autoencoder,autoencoder,5000,custom_ansatz_1,Amplitude_Embedding,0.5049999999999999,1454,473,60,13,0.9911383776414452,0.1125703564727955,77.4,4,0.9629,0.0044,0.954,0.9705,0.0165,0.9629 ± 0.0044,"[0.9540, 0.9705]",0.9751,0.0029,0.9692,0.9801,0.0109,0.9751 ± 0.0029,"[0.9692, 0.9801]",0.9446,0.0087,0.9286,0.9625,0.0339,0.9446 ± 0.0087,"[0.9286, 0.9625]",0.9883,0.0029,0.9823,0.9939,0.0116,0.9883 ± 0.0029,"[0.9823, 0.9939]",0.107,0.0149,0.0807,0.137,0.0563,0.1070 ± 0.0149,"[0.0807, 0.1370]",0.9622,0.0051,0.9523,0.9712,0.0189,0.9622 ± 0.0051,"[0.9523, 0.9712]",200,200,2000
Autoencoder+VQC(Custom_H_RY_RZ+custom_ansatz_1),Autoencoder,autoencoder,5000,custom_ansatz_1,Custom_H_RY_RZ,0.5149999999999999,1422,504,29,45,0.9693251533742332,0.0544090056285178,110.7,4,0.922,0.0058,0.912,0.9326,0.0206,0.9220 ± 0.0058,"[0.9120, 0.9326]",0.9443,0.0044,0.9366,0.9521,0.0155,0.9443 ± 0.0044,"[0.9366, 0.9521]",0.983,0.0026,0.9781,0.9877,0.0096,0.9830 ± 0.0026,"[0.9781, 0.9877]",0.9024,0.0075,0.8875,0.9149,0.0274,0.9024 ± 0.0075,"[0.8875, 0.9149]",0.0242,0.0068,0.0131,0.0394,0.0263,0.0242 ± 0.0068,"[0.0131, 0.0394]",0.9904,0.0027,0.9841,0.9948,0.0106,0.9904 ± 0.0027,"[0.9841, 0.9948]",200,200,2000
Autoencoder+VQC(Amplitude_Embedding+Real_Amplitude_like),Autoencoder,autoencoder,5000,Real_Amplitude_like,Amplitude_Embedding,0.5049999999999999,1449,477,56,18,0.9877300613496932,0.1050656660412758,84.6,6,0.9636,0.0043,0.9545,0.9715,0.017,0.9636 ± 0.0043,"[0.9545, 0.9715]",0.9755,0.0029,0.9695,0.9808,0.0113,0.9755 ± 0.0029,"[0.9695, 0.9808]",0.9494,0.0081,0.9339,0.9651,0.0312,0.9494 ± 0.0081,"[0.9339, 0.9651]",0.9867,0.0031,0.9796,0.9925,0.013,0.9867 ± 0.0031,"[0.9796, 0.9925]",0.1001,0.0142,0.0768,0.1276,0.0508,0.1001 ± 0.0142,"[0.0768, 0.1276]",0.9645,0.0049,0.9552,0.9725,0.0172,0.9645 ± 0.0049,"[0.9552, 0.9725]",200,200,2000
XGB_PCA4+VQC(RX_Angle_Encoding+Real_Amplitude_like),XGB_PCA4,xgb_pca4,5000,Real_Amplitude_like,RX_Angle_Encoding,0.5249999999999999,1420,498,35,47,0.9679618268575324,0.0656660412757973,94.6,6,0.9667,0.0042,0.958,0.9745,0.0165,0.9667 ± 0.0042,"[0.9580, 0.9745]",0.9772,0.0029,0.9711,0.9826,0.0115,0.9772 ± 0.0029,"[0.9711, 0.9826]",0.9791,0.0035,0.971,0.985,0.014,0.9791 ± 0.0035,"[0.9710, 0.9850]",0.9721,0.0046,0.9625,0.9802,0.0177,0.9721 ± 0.0046,"[0.9625, 0.9802]",0.0482,0.0091,0.0318,0.0675,0.0357,0.0482 ± 0.0091,"[0.0318, 0.0675]",0.9823,0.0033,0.9755,0.9883,0.0128,0.9823 ± 0.0033,"[0.9755, 0.9883]",200,200,2000
Autoencoder+VQC(Amplitude_Embedding+strongly_entangling),Autoencoder,autoencoder,5000,strongly_entangling,Amplitude_Embedding,0.4999999999999999,1457,452,81,10,0.9931833674164964,0.1519699812382739,77.4,5,0.9513,0.0046,0.943,0.96,0.017,0.9513 ± 0.0046,"[0.9430, 0.9600]",0.9677,0.003,0.9624,0.9733,0.0109,0.9677 ± 0.0030,"[0.9624, 0.9733]",0.9333,0.0092,0.9157,0.9514,0.0357,0.9333 ± 0.0092,"[0.9157, 0.9514]",0.9935,0.002,0.9891,0.9973,0.0082,0.9935 ± 0.0020,"[0.9891, 0.9973]",0.165,0.0169,0.1331,0.1951,0.062,0.1650 ± 0.0169,"[0.1331, 0.1951]",0.9431,0.0055,0.9334,0.9536,0.0201,0.9431 ± 0.0055,"[0.9334, 0.9536]",200,200,2000
Autoencoder+VQC(ZZ_Feature_Map_style+custom_ansatz_1),Autoencoder,autoencoder,5000,custom_ansatz_1,ZZ_Feature_Map_style,0.5149999999999999,1411,490,43,56,0.961826857532379,0.0806754221388367,129.1,6,0.9583,0.0043,0.949,0.9665,0.0175,0.9583 ± 0.0043,"[0.9490, 0.9665]",0.9715,0.003,0.9649,0.9771,0.0122,0.9715 ± 0.0030,"[0.9649, 0.9771]",0.9868,0.0021,0.9828,0.9904,0.0076,0.9868 ± 0.0021,"[0.9828, 0.9904]",0.967,0.0047,0.9577,0.9755,0.0177,0.9670 ± 0.0047,"[0.9577, 0.9755]",0.0655,0.0099,0.0487,0.0845,0.0357,0.0655 ± 0.0099,"[0.0487, 0.0845]",0.976,0.0035,0.9692,0.9821,0.0129,0.9760 ± 0.0035,"[0.9692, 0.9821]",200,200,2000
Autoencoder+VQC(IQP_style_encoding+strongly_entangling),Autoencoder,autoencoder,5000,strongly_entangling,IQP_style_encoding,0.5049999999999999,1412,489,44,55,0.9625085207907292,0.0825515947467167,120.9,6,0.8228,0.0081,0.8064,0.8365,0.0301,0.8228 ± 0.0081,"[0.8064, 0.8365]",0.8628,0.0071,0.8482,0.8748,0.0265,0.8628 ± 0.0071,"[0.8482, 0.8748]",0.9925,0.0019,0.9886,0.9955,0.0069,0.9925 ± 0.0019,"[0.9886, 0.9955]",0.7599,0.011,0.7375,0.7785,0.041,0.7599 ± 0.0110,"[0.7375, 0.7785]",0.004,0.0025,0.0,0.0094,0.0094,0.0040 ± 0.0025,"[0.0000, 0.0094]",0.9981,0.0012,0.9955,1.0,0.0045,0.9981 ± 0.0012,"[0.9955, 1.0000]",200,200,2000
XGB_PCA4+VQC(ZZ_Feature_Map_style+EfficientSU2_like),XGB_PCA4,xgb_pca4,5000,EfficientSU2_like,ZZ_Feature_Map_style,0.3999999999999999,1364,528,5,103,0.9297886843899114,0.0093808630393996,141.1,4,0.9449,0.0048,0.9355,0.953,0.0175,0.9449 ± 0.0048,"[0.9355, 0.9530]",0.9612,0.0035,0.9544,0.967,0.0127,0.9612 ± 0.0035,"[0.9544, 0.9670]",0.9813,0.0021,0.9768,0.9851,0.0083,0.9813 ± 0.0021,"[0.9768, 0.9851]",0.9307,0.0061,0.9188,0.9407,0.0219,0.9307 ± 0.0061,"[0.9188, 0.9407]",0.0161,0.0053,0.0075,0.0263,0.0189,0.0161 ± 0.0053,"[0.0075, 0.0263]",0.9938,0.0021,0.9898,0.9971,0.0074,0.9938 ± 0.0021,"[0.9898, 0.9971]",200,200,2000
Autoencoder+VQC(RX_Angle_Encoding+custom_ansatz_1),Autoencoder,autoencoder,5000,custom_ansatz_1,RX_Angle_Encoding,0.5049999999999999,1383,498,35,84,0.9427402862985684,0.0656660412757973,91.8,5,0.9417,0.0049,0.931,0.95,0.019,0.9417 ± 0.0049,"[0.9310, 0.9500]",0.9596,0.0034,0.9523,0.9657,0.0135,0.9596 ± 0.0034,"[0.9523, 0.9657]",0.9552,0.0055,0.9435,0.965,0.0216,0.9552 ± 0.0055,"[0.9435, 0.9650]",0.9458,0.0057,0.9339,0.9571,0.0232,0.9458 ± 0.0057,"[0.9339, 0.9571]",0.0697,0.0103,0.0525,0.0919,0.0394,0.0697 ± 0.0103,"[0.0525, 0.0919]",0.9739,0.0037,0.966,0.9804,0.0144,0.9739 ± 0.0037,"[0.9660, 0.9804]",200,200,2000
Autoencoder+VQC(ZZ_Feature_Map_style+Real_Amplitude_like),Autoencoder,autoencoder,5000,Real_Amplitude_like,ZZ_Feature_Map_style,0.5399999999999999,1400,473,60,67,0.9543285616905248,0.1125703564727955,130.6,4,0.6829,0.0097,0.6655,0.701,0.0356,0.6829 ± 0.0097,"[0.6655, 0.7010]",0.7296,0.0102,0.7087,0.749,0.0403,0.7296 ± 0.0102,"[0.7087, 0.7490]",0.9533,0.006,0.9414,0.9654,0.024,0.9533 ± 0.0060,"[0.9414, 0.9654]",0.5835,0.0127,0.5575,0.6081,0.0505,0.5835 ± 0.0127,"[0.5575, 0.6081]",0.0435,0.0089,0.0281,0.0619,0.0338,0.0435 ± 0.0089,"[0.0281, 0.0619]",0.9736,0.0053,0.9631,0.9832,0.0202,0.9736 ± 0.0053,"[0.9631, 0.9832]",200,200,2000
