feature_set,train_size,ansatz,encoding,accuracy,f1,auc,precision,recall,threshold,best_epoch,validation_accuracy,validation_f1,validation_auc
autoencoder,5000,custom_ansatz_1,ry_embedding,0.994,0.9959072305593452,0.9974153068571743,0.9965870307167235,0.9952283571915473,0.4799999999999999,16,0.993,0.9952153110047847,0.9968473923284844
autoencoder,5000,strongly_entangling,rx_embedding,0.9855,0.9900718931872646,0.9954265894711801,0.9944979367262724,0.9856850715746421,0.4799999999999999,19,0.988,0.9917920656634747,0.9944203442831522
autoencoder,5000,strongly_entangling,ry_embedding,0.9745,0.9827527899898546,0.9941655763891287,0.9751677852348993,0.9904567143830948,0.4799999999999999,13,0.982,0.9877384196185286,0.9942874953375129
autoencoder,5000,real_amplitudes,ry_embedding,0.9745,0.9824077268023457,0.9939737386991614,0.994413407821229,0.9706884798909339,0.5249999999999999,20,0.974,0.9820689655172414,0.9937407708304593
autoencoder,5000,strongly_entangling,iqp_embedding,0.9745,0.9824802473376847,0.990580769422607,0.9903047091412742,0.9747784594410361,0.5549999999999999,14,0.982,0.9877049180327869,0.9941137697932155
autoencoder,5000,real_amplitudes,custom_h_ry_rz,0.969,0.9791806581598388,0.9190265899827473,0.9649238914626076,0.9938650306748467,0.4799999999999999,20,0.982,0.9878378378378379,0.9544123733464137
autoencoder,5000,real_amplitudes,rx_embedding,0.9665,0.9768566493955095,0.9854650976901462,0.9901960784313726,0.9638718473074301,0.5049999999999999,16,0.956,0.9694019471488178,0.9843493722887319
xgb_pca4,5000,real_amplitudes,amplitude_embedding,0.965,0.9755586592178771,0.9816539222494631,1.0,0.9522835719154737,0.49999999999999994,1,0.977,0.9840609840609841,0.9884932374777096
xgb_pca4,5000,custom_ansatz_1,amplitude_embedding,0.9595,0.9720785935884177,0.9784643009242738,0.9832635983263598,0.9611451942740287,0.49499999999999994,4,0.964,0.9754098360655737,0.9858975734629122
autoencoder,5000,custom_ansatz_1,rx_embedding,0.9575,0.9708604730887899,0.9844355687539887,0.976551724137931,0.9652351738241309,0.49999999999999994,19,0.951,0.966183574879227,0.9825303636484408
autoencoder,5000,efficient_su2_like,custom_h_ry_rz,0.953,0.968561872909699,0.9290047076969118,0.9507550886408405,0.9870483980913429,0.5149999999999999,20,0.967,0.9777777777777777,0.960605178043135
xgb_pca4,5000,strongly_entangling,amplitude_embedding,0.949,0.965470548408937,0.9803212897631572,0.9589778076664425,0.9720518064076347,0.49499999999999994,6,0.955,0.9697377269670477,0.9878698693481716
autoencoder,5000,real_amplitudes,iqp_embedding,0.948,0.9643591501028101,0.9799810975929485,0.9696760854583046,0.9591002044989775,0.5149999999999999,10,0.954,0.9682320441988951,0.9828471572880421
