DRM+VQC,Perf. Rank (of 112),f1_pm,Rank_F1,deploy_coverage,Rank_C,sigma_epi_mean,Rank_S,JSC_score,JSC_Rank
PCA4+VQC(Custom_H_RY_RZ+strongly_entangling),50,0.9046 ± 0.0033,38,0.132,44,0.0214104475458704,2,84,45
ICA4+VQC(IQP_style_encoding+custom_ansatz_1),43,0.9143 ± 0.0047,33,0.0,58,0.0182668992538938,2,93,46
XGB_PCA4+VQC(Custom_H_RY_RZ+Real_Amplitude_like),47,0.8991 ± 0.0033,43,0.08,48,0.0190088878725028,2,93,47
PCA4+VQC(RX_Angle_Encoding+strongly_entangling),61,0.8955 ± 0.0039,47,0.128,45,0.0033001505196147,1,93,48
ICA4+VQC(RX_Angle_Encoding+EfficientSU2_like),58,0.8981 ± 0.0038,44,0.065,49,0.0062012390843279,1,94,49
PCA4+VQC(Custom_H_RY_RZ+Real_Amplitude_like),70,0.9006 ± 0.0045,42,0.062,50,0.0228946650669806,2,94,50
PCA4+VQC(Amplitude_Embedding+EfficientSU2_like),55,0.8718 ± 0.0059,56,0.133,43,0.0151235564735113,2,101,51
ICA4+VQC(Amplitude_Embedding+strongly_entangling),67,0.8653 ± 0.0031,59,0.1905,42,0.0123661987094969,2,103,52
PCA4+VQC(RY_Angle_Encoding+strongly_entangling),72,0.8754 ± 0.0049,54,0.121,47,0.0135897726976223,2,103,53
ICA4+VQC(Amplitude_Embedding+Real_Amplitude_like),73,0.8969 ± 0.0034,46,0.0005,57,0.0063171578145725,1,104,54
PCA4+VQC(IQP_style_encoding+custom_ansatz_1),68,0.8463 ± 0.0000,71,0.5905,32,0.0175262416434453,2,105,55
PCA4+VQC(RY_Angle_Encoding+custom_ansatz_1),31,0.8801 ± 0.0058,50,0.0025,54,0.0221441031558755,2,106,56
ICA4+VQC(Amplitude_Embedding+custom_ansatz_1),75,0.8826 ± 0.0044,49,0.0005,57,0.0053649008321117,1,107,57
XGB_PCA4+VQC(RY_Angle_Encoding+custom_ansatz_1),87,0.8599 ± 0.0025,64,0.213,41,0.0205225316712456,2,107,58
XGB_PCA4+VQC(ZZ_Feature_Map_style+custom_ansatz_1),41,0.8537 ± 0.0013,67,0.439,38,0.0412412332731392,3,108,59
XGB_PCA4+VQC(Amplitude_Embedding+Real_Amplitude_like),82,0.8651 ± 0.0032,60,0.125,46,0.0157046209836667,2,108,60
PCA4+VQC(ZZ_Feature_Map_style+custom_ansatz_1),66,0.8463 ± 0.0000,71,0.5715,35,0.0371109734965044,3,109,61
XGB_PCA4+VQC(ZZ_Feature_Map_style+Real_Amplitude_like),34,0.8463 ± 0.0000,71,0.462,36,0.0345748841376476,3,110,62
Autoencoder+VQC(ZZ_Feature_Map_style+Real_Amplitude_like),20,0.7296 ± 0.0102,79,0.6015,31,0.0231865087792511,2,112,63
ICA4+VQC(Custom_H_RY_RZ+strongly_entangling),74,0.8791 ± 0.0055,51,0.0,58,0.0327692049556872,3,112,64
ICA4+VQC(Amplitude_Embedding+EfficientSU2_like),76,0.8759 ± 0.0046,53,0.0,58,0.013758179564888,2,113,65
ICA4+VQC(RX_Angle_Encoding+custom_ansatz_1),77,0.8725 ± 0.0042,55,0.001,56,0.0116791254569727,2,113,66
XGB_PCA4+VQC(IQP_style_encoding+EfficientSU2_like),49,0.8461 ± 0.0003,73,0.3215,39,0.0482548946343595,3,115,67
