feature_set,train_size,ansatz,encoding,accuracy,f1,auc,precision,recall,threshold,best_epoch,validation_accuracy,validation_f1,validation_auc
xgb_pca4,5000,custom_ansatz_1,zz_feature_map,0.979,0.9854972375690608,0.9921845325107332,0.9986004198740378,0.972733469665985,0.4799999999999999,20,0.989,0.9924398625429554,0.9907159025297505
xgb_pca4,5000,real_amplitudes,amplitude_embedding,0.9715,0.980697595665425,0.9879218990396604,0.9744279946164199,0.9870483980913429,0.5049999999999999,19,0.972,0.9811320754716981,0.994287495337513
autoencoder,5000,strongly_entangling,iqp_embedding,0.9675,0.9776247848537005,0.9890985035381265,0.9874826147426982,0.9679618268575324,0.5449999999999999,18,0.975,0.9828649760109665,0.9918451185676838
autoencoder,5000,efficient_su2_like,custom_h_ry_rz,0.9665,0.9772495755517827,0.9835198635138782,0.9736129905277402,0.9809134287661895,0.5349999999999999,17,0.979,0.9857045609257998,0.9907005738052537
autoencoder,5000,real_amplitudes,iqp_embedding,0.9585,0.9716045159083134,0.9888503934591022,0.9752747252747253,0.9679618268575324,0.5449999999999999,12,0.97,0.9795640326975477,0.9931531697247473
xgb_pca4,5000,strongly_entangling,amplitude_embedding,0.954,0.9692101740294511,0.98393934859594,0.9520052596975674,0.9870483980913429,0.5049999999999999,9,0.964,0.9759036144578314,0.9930254303539402
autoencoder,5000,custom_ansatz_1,iqp_embedding,0.948,0.9645293315143247,0.9773081591127379,0.9651877133105802,0.9638718473074301,0.5349999999999999,14,0.956,0.9699863574351978,0.984170537169602
autoencoder,5000,efficient_su2_like,iqp_embedding,0.9345,0.9558773997979118,0.9787175266750308,0.9447403462050599,0.967280163599182,0.5199999999999999,5,0.925,0.950033311125916,0.9773237068943493
autoencoder,5000,real_amplitudes,custom_h_ry_rz,0.9335,0.95434260212839,0.9763668755139652,0.9612724757952974,0.9475119291070211,0.5199999999999999,20,0.935,0.9553264604810997,0.9762455866047385
xgb_pca4,5000,real_amplitudes,zz_feature_map,0.933,0.9546991210277215,0.856359611260105,0.9470154258886653,0.9625085207907293,0.49499999999999994,19,0.949,0.9653297076818491,0.8941091711758664
autoencoder,5000,strongly_entangling,ry_embedding,0.932,0.9534565366187543,0.9742080620428668,0.9573883161512028,0.9495569188820723,0.48999999999999994,20,0.946,0.963013698630137,0.9830464307065009
xgb_pca4,5000,efficient_su2_like,zz_feature_map,0.9295,0.9519591141396934,0.9626850114654992,0.9516348773841962,0.9522835719154737,0.42499999999999993,5,0.944,0.9616438356164384,0.9729754587120805
autoencoder,5000,strongly_entangling,zz_feature_map,0.9295,0.9537553296162676,0.8762199278434503,0.9190897597977244,0.9911383776414451,0.48999999999999994,20,0.935,0.9573210768220617,0.9033472824726255
autoencoder,5000,real_amplitudes,ry_embedding,0.9235,0.9487437185929648,0.9652581943469271,0.932806324110672,0.9652351738241309,0.5299999999999999,20,0.921,0.9471571906354515,0.9669819274338183
autoencoder,5000,custom_ansatz_1,ry_embedding,0.914,0.9436435124508519,0.9100051028825532,0.9085173501577287,0.9815950920245399,0.4799999999999999,20,0.917,0.9458577951728636,0.9321601749518422
xgb_pca4,5000,custom_ansatz_1,amplitude_embedding,0.908,0.9332849891225525,0.9713266599395585,0.9969016266460109,0.8773006134969326,0.5099999999999999,20,0.918,0.9409221902017291,0.9683410743392041
xgb_pca4,5000,strongly_entangling,zz_feature_map,0.904,0.9365079365079365,0.9652914462131881,0.9094412331406551,0.9652351738241309,0.4549999999999999,8,0.904,0.9362549800796812,0.9656329996780969
autoencoder,5000,strongly_entangling,rx_embedding,0.8855,0.9257216996432047,0.8463162687313519,0.8830445544554455,0.972733469665985,0.4749999999999999,20,0.87,0.9163449163449163,0.8467306385435669
ica4,5000,real_amplitudes,iqp_embedding,0.885,0.9259497746297489,0.9431405876116337,0.8773642464917633,0.9802317655078391,0.44499999999999995,17,0.87,0.917617237008872,0.9329725973501746
autoencoder,5000,efficient_su2_like,rx_embedding,0.885,0.9246889325474787,0.9046246951379378,0.8897290485192186,0.9625085207907293,0.5249999999999999,20,0.872,0.9172056921086675,0.8918430747377512
ica4,5000,custom_ansatz_1,iqp_embedding,0.884,0.9242819843342036,0.9348288999643183,0.886662492172824,0.9652351738241309,0.4699999999999999,20,0.863,0.9121231558691469,0.9214913827020452
ica4,5000,strongly_entangling,iqp_embedding,0.8835,0.9250080463469584,0.945112679064497,0.876219512195122,0.9795501022494888,0.4549999999999999,20,0.867,0.9155555555555556,0.9318893674857316
autoencoder,5000,efficient_su2_like,zz_feature_map,0.882,0.9217506631299734,0.8801538794057125,0.8973531310522918,0.9475119291070211,0.5099999999999999,15,0.867,0.9134677944046844,0.8455017857964037
ica4,5000,real_amplitudes,custom_h_ry_rz,0.8765,0.9213125199107997,0.9276106871498162,0.8648325358851675,0.9856850715746421,0.4749999999999999,15,0.854,0.9081761006289308,0.9073327508418024
pca4,5000,custom_ansatz_1,amplitude_embedding,0.8725,0.9114890662964249,0.9370439858244737,0.9285714285714286,0.8950238582140423,0.5049999999999999,19,0.865,0.9072164948453608,0.9299196263878884
pca4,5000,real_amplitudes,amplitude_embedding,0.8715,0.9101712687871374,0.9372831434779663,0.9340028694404591,0.8875255623721882,0.5049999999999999,17,0.866,0.9068150208623088,0.9312200131827032
pca4,5000,efficient_su2_like,iqp_embedding,0.871,0.916504854368932,0.9332622254962523,0.8724584103512015,0.9652351738241309,0.5249999999999999,16,0.851,0.905276541640178,0.9177102973261595
ica4,5000,strongly_entangling,zz_feature_map,0.8645,0.9110600590744995,0.9268612412410107,0.8784810126582279,0.9461486025903204,0.43999999999999995,20,0.842,0.8974025974025974,0.9054064411300335
ica4,5000,custom_ansatz_1,custom_h_ry_rz,0.8605,0.9124568559774082,0.91219205254818,0.8453488372093023,0.9911383776414451,0.48499999999999993,9,0.847,0.9044347282948157,0.9109017888621488
pca4,5000,strongly_entangling,amplitude_embedding,0.8595,0.9003899326479972,0.9263490346087981,0.9379615952732644,0.8657123381049762,0.5099999999999999,19,0.859,0.9003533568904594,0.9182749053451262
pca4,5000,efficient_su2_like,amplitude_embedding,0.859,0.9112649465072372,0.9059138444145178,0.8462887200467563,0.9870483980913429,0.41999999999999993,5,0.854,0.9089775561097256,0.9218643816648017
ica4,5000,efficient_su2_like,custom_h_ry_rz,0.8585,0.9064462809917355,0.9001331353568374,0.87997432605905,0.934560327198364,0.48499999999999993,20,0.842,0.8961892247043364,0.8792454179887692
pca4,5000,strongly_entangling,custom_h_ry_rz,0.8585,0.9117555347676957,0.8688623129742389,0.8402298850574713,0.9965916837082481,0.4649999999999999,16,0.844,0.9028642590286425,0.867544491622852
autoencoder,5000,real_amplitudes,zz_feature_map,0.858,0.9027397260273973,0.9194921161104013,0.9070887818306951,0.8984321745057942,0.5349999999999999,20,0.842,0.8925170068027211,0.9050947570652647
ica4,5000,efficient_su2_like,iqp_embedding,0.858,0.9106356198867213,0.9119861467609485,0.8457042665108124,0.9863667348329925,0.3999999999999999,19,0.838,0.899002493765586,0.8988917332188788
pca4,5000,real_amplitudes,zz_feature_map,0.857,0.9106808244846971,0.9113991234296486,0.8403458213256484,0.9938650306748467,0.3549999999999999,19,0.846,0.9041095890410958,0.8951413052919867
pca4,5000,custom_ansatz_1,custom_h_ry_rz,0.857,0.9106808244846971,0.9090932343962421,0.8403458213256484,0.9938650306748467,0.5099999999999999,17,0.844,0.9029850746268657,0.8949726893225215
pca4,5000,efficient_su2_like,zz_feature_map,0.854,0.9090342679127725,0.9114733006697693,0.8370625358577166,0.994546693933197,0.31999999999999995,18,0.845,0.9037864680322781,0.8930208317365912
pca4,5000,efficient_su2_like,custom_h_ry_rz,0.8535,0.9089213552999689,0.9010334935817503,0.8354285714285714,0.9965916837082481,0.37499999999999994,20,0.846,0.9044665012406948,0.8909872209533445
pca4,5000,real_amplitudes,custom_h_ry_rz,0.8525,0.908071050171393,0.899828752888756,0.8363949483352469,0.9931833674164963,0.42499999999999993,19,0.843,0.9025450031036624,0.8836089948955348
ica4,5000,strongly_entangling,custom_h_ry_rz,0.852,0.9081315952824333,0.9245898829917982,0.8336182336182336,0.9972733469665985,0.48999999999999994,16,0.839,0.900555898702903,0.9183745420543556
xgb_pca4,5000,efficient_su2_like,ry_embedding,0.849,0.9062693978895097,0.8803585062750108,0.8319088319088319,0.9952283571915473,0.41999999999999993,20,0.857,0.911014312383323,0.8830775991129778
pca4,5000,real_amplitudes,iqp_embedding,0.848,0.9018087855297158,0.8689902047675502,0.8569674647022714,0.9516019086571234,0.49999999999999994,17,0.826,0.8893129770992366,0.8311311065806215
xgb_pca4,5000,custom_ansatz_1,custom_h_ry_rz,0.845,0.904320987654321,0.7809188002215086,0.826283135927806,0.9986366734832992,0.31499999999999995,17,0.851,0.9077399380804954,0.8104245545728139
autoencoder,5000,custom_ansatz_1,custom_h_ry_rz,0.843,0.8937753721244925,0.8498761367981776,0.8871725990597716,0.9004771642808452,0.5099999999999999,20,0.847,0.8954203691045797,0.8692204321678394
autoencoder,5000,strongly_entangling,custom_h_ry_rz,0.8425,0.8996495699267283,0.8437756982572187,0.8444976076555024,0.9625085207907293,0.49999999999999994,20,0.845,0.9013367281985997,0.8440302282447079
pca4,5000,efficient_su2_like,ry_embedding,0.8405,0.9017554665845395,0.7755128141182308,0.8224719101123595,0.9979550102249489,0.4699999999999999,19,0.83,0.8960880195599022,0.7883460817225398
autoencoder,5000,custom_ansatz_1,zz_feature_map,0.84,0.8951507208387942,0.8318555436616188,0.8618296529968454,0.9311520109066121,0.5049999999999999,19,0.837,0.8925510876730389,0.8572895749344698
pca4,5000,strongly_entangling,iqp_embedding,0.836,0.8979464841319228,0.7706356605802962,0.8259874069834001,0.983640081799591,0.48499999999999993,2,0.826,0.8923267326732673,0.7830270143221384
pca4,5000,custom_ansatz_1,zz_feature_map,0.835,0.8954372623574145,0.8216574520629587,0.8365896980461812,0.9631901840490797,0.3999999999999999,1,0.82,0.8866498740554156,0.8285328877784081
pca4,5000,strongly_entangling,zz_feature_map,0.8335,0.8969996906897618,0.8886318263843328,0.8210645526613817,0.9884117246080436,0.32999999999999996,20,0.822,0.8901234567901235,0.8768336986679339
xgb_pca4,5000,efficient_su2_like,iqp_embedding,0.8325,0.8922483113541332,0.7904608069204806,0.8447015834348356,0.94546693933197,0.44499999999999995,9,0.827,0.8894568690095846,0.8061171829892034
ica4,5000,efficient_su2_like,zz_feature_map,0.8285,0.89086859688196,0.8587486299591642,0.8353221957040573,0.9543285616905249,0.3449999999999999,20,0.826,0.8887468030690537,0.8456090868678818
ica4,5000,real_amplitudes,zz_feature_map,0.8265,0.8895959274578428,0.8658466244879532,0.834128878281623,0.9529652351738241,0.4099999999999999,20,0.824,0.8873239436619719,0.8515004266494985
pca4,5000,custom_ansatz_1,iqp_embedding,0.8265,0.8919339769542198,0.7357250377600519,0.8211009174311926,0.9761417859577369,0.49499999999999994,7,0.808,0.8810408921933085,0.7276085656912488
autoencoder,5000,efficient_su2_like,ry_embedding,0.8245,0.8896573404589752,0.7002548883440699,0.8255542590431738,0.9645535105657805,0.4749999999999999,20,0.809,0.8809968847352025,0.6443327150747786
xgb_pca4,5000,strongly_entangling,iqp_embedding,0.821,0.8888198757763975,0.7700710183128258,0.8163148887621221,0.9754601226993865,0.33999999999999997,9,0.827,0.8918073796122576,0.8022952210146593
xgb_pca4,5000,strongly_entangling,custom_h_ry_rz,0.8175,0.8892932969366091,0.7762533076015046,0.8010928961748633,0.9993183367416496,0.32499999999999996,20,0.825,0.8933577087141986,0.8055755680569819
xgb_pca4,5000,efficient_su2_like,rx_embedding,0.817,0.8761002031144212,0.873096810250783,0.8702084734364492,0.8820722563053851,0.48999999999999994,19,0.802,0.8662162162162163,0.8948142925027209
xgb_pca4,5000,custom_ansatz_1,iqp_embedding,0.816,0.8848560700876095,0.7644284323919219,0.8178137651821862,0.9638718473074301,0.4149999999999999,13,0.823,0.8887492143306097,0.7995156123059001
xgb_pca4,5000,real_amplitudes,iqp_embedding,0.805,0.8769716088328076,0.8442265168286416,0.8162066940692895,0.9475119291070211,0.41999999999999993,5,0.812,0.8810126582278481,0.8565180291347956
ica4,5000,custom_ansatz_1,zz_feature_map,0.8025,0.876446668751955,0.8555078519166504,0.8098265895953757,0.9550102249488752,0.42499999999999993,19,0.795,0.8711502199874293,0.8548523077394731
ica4,5000,efficient_su2_like,rx_embedding,0.8025,0.8714611129189717,0.7615425540758476,0.8337484433374844,0.912747102931152,0.4749999999999999,20,0.801,0.8716956802063185,0.7658486237360189
xgb_pca4,5000,real_amplitudes,custom_h_ry_rz,0.8005,0.8521674694331234,0.7768211471638077,0.9334415584415584,0.7839127471029311,0.48499999999999993,13,0.811,0.8582145536384096,0.8069244958127034
xgb_pca4,5000,efficient_su2_like,custom_h_ry_rz,0.7975,0.8499444238606891,0.8331498086099313,0.9310064935064936,0.78186775732788,0.5249999999999999,16,0.811,0.8584269662921349,0.8468915901507835
autoencoder,5000,real_amplitudes,rx_embedding,0.7975,0.8766372220530003,0.5390037996651794,0.7924008810572687,0.9809134287661895,0.48999999999999994,17,0.782,0.8673965936739659,0.4820219609526291
autoencoder,5000,custom_ansatz_1,rx_embedding,0.7955,0.8738043813637766,0.5007993237081969,0.798196166854566,0.9652351738241309,0.48999999999999994,17,0.783,0.8666256914566687,0.4399957079571408
ica4,5000,real_amplitudes,ry_embedding,0.768,0.8540880503144654,0.7036670413896211,0.7927612375948628,0.9256987048398091,0.48999999999999994,20,0.769,0.8560747663551402,0.7108287219420473
ica4,5000,strongly_entangling,ry_embedding,0.7635,0.8598518518518519,0.47603691468722137,0.760482180293501,0.989093387866394,0.38499999999999995,1,0.76,0.8591549295774648,0.47977885760125893
ica4,5000,strongly_entangling,rx_embedding,0.7635,0.8599348534201955,0.4231133722380168,0.7602094240837697,0.9897750511247444,0.38999999999999996,1,0.76,0.8591549295774648,0.4355248299788975
ica4,5000,real_amplitudes,rx_embedding,0.7635,0.8598518518518519,0.3918265633812543,0.760482180293501,0.989093387866394,0.3999999999999999,1,0.76,0.8591549295774648,0.4085718227386299
ica4,5000,custom_ansatz_1,rx_embedding,0.763,0.8595139300533492,0.3824418635880554,0.7603565810173046,0.9884117246080436,0.38499999999999995,1,0.76,0.8591549295774648,0.40014613384020314
ica4,5000,efficient_su2_like,ry_embedding,0.7625,0.8593426117856086,0.6606154664661323,0.7596858638743456,0.989093387866394,0.43499999999999994,1,0.759,0.8584850264239577,0.6711682020939038
ica4,5000,custom_ansatz_1,ry_embedding,0.762,0.8591715976331361,0.44085068505239083,0.7590172503920544,0.9897750511247444,0.37499999999999994,1,0.76,0.8591549295774648,0.44832942450858665
ica4,5000,custom_ansatz_1,amplitude_embedding,0.759,0.8568033273915627,0.5206206332945821,0.7593470247498684,0.9829584185412407,0.4499999999999999,1,0.754,0.8551236749116607,0.5077026840596593
ica4,5000,real_amplitudes,amplitude_embedding,0.7575,0.8560403680617394,0.4692503366751459,0.7581493165089379,0.9829584185412407,0.43499999999999994,1,0.754,0.8551236749116607,0.4597646529832252
ica4,5000,efficient_su2_like,amplitude_embedding,0.757,0.8556149732620321,0.6395363410925284,0.7582938388625592,0.9815950920245399,0.4649999999999999,18,0.756,0.8564705882352941,0.6348595633357348
ica4,5000,strongly_entangling,amplitude_embedding,0.7565,0.855532482942747,0.5206372592277126,0.7573529411764706,0.9829584185412407,0.44499999999999995,2,0.754,0.8551236749116607,0.5078457521549632
autoencoder,5000,efficient_su2_like,amplitude_embedding,0.754,0.8547815820543093,0.29016729525483076,0.7537740760020822,0.9870483980913429,0.4149999999999999,1,0.741,0.8484493856056173,0.28240109140518416
xgb_pca4,5000,real_amplitudes,ry_embedding,0.7495,0.8499550763701708,0.2961360052486792,0.7580128205128205,0.967280163599182,0.4799999999999999,1,0.736,0.8428571428571429,0.26232557188916317
autoencoder,5000,real_amplitudes,amplitude_embedding,0.748,0.8520258367586612,0.2908802920025425,0.7483238782877772,0.989093387866394,0.4549999999999999,1,0.735,0.8456610366919045,0.2876971657188406
xgb_pca4,5000,custom_ansatz_1,ry_embedding,0.7475,0.8484848484848485,0.30867515612390667,0.7577706323687031,0.9638718473074301,0.565,1,0.735,0.8421679571173317,0.28583472569247514
xgb_pca4,5000,custom_ansatz_1,rx_embedding,0.7465,0.8480671261612227,0.31213910534574907,0.7566844919786097,0.9645535105657805,0.615,1,0.737,0.843545508625818,0.2965546136905948
xgb_pca4,5000,real_amplitudes,rx_embedding,0.7465,0.8480671261612227,0.31143825831840194,0.7566844919786097,0.9645535105657805,0.605,1,0.737,0.843545508625818,0.2960973067431059
xgb_pca4,5000,strongly_entangling,rx_embedding,0.7455,0.8471012316010814,0.33549406518133135,0.757250268528464,0.9611451942740287,0.58,1,0.734,0.8414779499404053,0.3194403993643689
xgb_pca4,5000,efficient_su2_like,amplitude_embedding,0.7335,0.8462647822324777,0.6630793018642787,0.7335,1.0,0.05,2,0.733,0.845931909982689,0.6851173413860232
autoencoder,5000,real_amplitudes,rz_embedding,0.7335,0.8462647822324777,0.5261212593249103,0.7335,1.0,0.05,7,0.733,0.845931909982689,0.5139619132292003
xgb_pca4,5000,custom_ansatz_1,rz_embedding,0.7335,0.8462647822324777,0.5175282097323097,0.7335,1.0,0.05,8,0.733,0.845931909982689,0.5291271313314019
autoencoder,5000,strongly_entangling,rz_embedding,0.7335,0.8462647822324777,0.5158630585833938,0.7335,1.0,0.05,8,0.733,0.845931909982689,0.5166240017168171
ica4,5000,real_amplitudes,rz_embedding,0.7335,0.8462647822324777,0.5151136126745883,0.7335,1.0,0.05,7,0.733,0.845931909982689,0.4888585720782173
xgb_pca4,5000,real_amplitudes,rz_embedding,0.7335,0.8462647822324777,0.5132777259816014,0.7335,1.0,0.05,7,0.733,0.845931909982689,0.5280311275298782
autoencoder,5000,custom_ansatz_1,rz_embedding,0.7335,0.8462647822324777,0.5131907595621497,0.7335,1.0,0.05,8,0.733,0.845931909982689,0.5052424237779174
pca4,5000,strongly_entangling,rz_embedding,0.7335,0.8462647822324777,0.511023633124486,0.7335,1.0,0.05,8,0.733,0.845931909982689,0.4836340318122129
ica4,5000,strongly_entangling,rz_embedding,0.7335,0.8462647822324777,0.5108509792035155,0.7335,1.0,0.05,8,0.733,0.845931909982689,0.48462528932967486
xgb_pca4,5000,efficient_su2_like,rz_embedding,0.7335,0.8462647822324777,0.5090387524922914,0.7335,1.0,0.05,8,0.733,0.845931909982689,0.5384546601877258
pca4,5000,custom_ansatz_1,rz_embedding,0.7335,0.8462647822324777,0.5086486825226911,0.7335,1.0,0.05,8,0.733,0.845931909982689,0.4906929094430053
ica4,5000,efficient_su2_like,rz_embedding,0.7335,0.8462647822324777,0.5061375271610197,0.7335,1.0,0.05,8,0.733,0.845931909982689,0.4891983588045638
ica4,5000,custom_ansatz_1,rz_embedding,0.7335,0.8462647822324777,0.5052103116595111,0.7335,1.0,0.05,8,0.733,0.845931909982689,0.4775459733995534
autoencoder,5000,efficient_su2_like,rz_embedding,0.7335,0.8462647822324777,0.5009591884498364,0.7335,1.0,0.05,8,0.733,0.845931909982689,0.49186555686701305
pca4,5000,real_amplitudes,rz_embedding,0.7335,0.8462647822324777,0.4977746827963796,0.7335,1.0,0.05,7,0.733,0.845931909982689,0.46935787973082765
pca4,5000,efficient_su2_like,rz_embedding,0.7335,0.8462647822324777,0.49561075365354884,0.7335,1.0,0.05,8,0.733,0.845931909982689,0.4938812841383468
xgb_pca4,5000,strongly_entangling,rz_embedding,0.7335,0.8462647822324777,0.49390339821284013,0.7335,1.0,0.05,8,0.733,0.845931909982689,0.48524354788438057
pca4,5000,efficient_su2_like,rx_embedding,0.7335,0.8462647822324777,0.48566013267494645,0.7335,1.0,0.05,1,0.733,0.845931909982689,0.45068749329368296
xgb_pca4,5000,strongly_entangling,ry_embedding,0.7335,0.8462647822324777,0.3250094959656533,0.7335,1.0,0.05,1,0.733,0.845931909982689,0.3013984906315945
pca4,5000,custom_ansatz_1,ry_embedding,0.7335,0.8462647822324777,0.2130926665566797,0.7335,1.0,0.05,1,0.733,0.845931909982689,0.16459217928476166
pca4,5000,real_amplitudes,ry_embedding,0.7335,0.8462647822324777,0.2055387377847351,0.7335,1.0,0.05,1,0.733,0.845931909982689,0.16261221903725392
pca4,5000,strongly_entangling,ry_embedding,0.7335,0.8462647822324777,0.1940233607149663,0.7335,1.0,0.05,1,0.733,0.845931909982689,0.14424840709004602
autoencoder,5000,custom_ansatz_1,amplitude_embedding,0.7335,0.8462647822324777,0.18040544256315616,0.7335,1.0,0.05,1,0.733,0.845931909982689,0.145055719913546
autoencoder,5000,strongly_entangling,amplitude_embedding,0.7335,0.8462647822324777,0.15803333115917284,0.7335,1.0,0.05,1,0.733,0.845931909982689,0.12188890762399662
pca4,5000,strongly_entangling,rx_embedding,0.7335,0.8462647822324777,0.14710625633863703,0.7335,1.0,0.05,1,0.733,0.845931909982689,0.11230845481347493
pca4,5000,custom_ansatz_1,rx_embedding,0.7335,0.8462647822324777,0.10526837453367456,0.7335,1.0,0.05,1,0.733,0.845931909982689,0.08649999233563778
pca4,5000,real_amplitudes,rx_embedding,0.7335,0.8462647822324777,0.09247983466148961,0.7335,1.0,0.05,1,0.733,0.845931909982689,0.07306692010157836
