feature_set,train_size,ansatz,encoding,accuracy,f1,auc,precision,recall,threshold,best_epoch,validation_accuracy,validation_f1,validation_auc
xgb_pca4,5000,real_amplitudes,custom_h_ry_rz,0.983,0.988458927359131,0.9751800396720343,0.9844489519945909,0.9925017041581459,0.43499999999999994,6,0.98,0.986449864498645,0.9852077808605546
autoencoder,5000,real_amplitudes,custom_h_ry_rz,0.9785,0.9852890865549093,0.9861147880001687,0.989010989010989,0.9815950920245399,0.5099999999999999,20,0.98,0.9863201094391245,0.988610757698852
autoencoder,5000,efficient_su2_like,custom_h_ry_rz,0.9785,0.9854385370809347,0.9716310424076398,0.9791386271870794,0.9918200408997955,0.5149999999999999,20,0.978,0.9851551956815114,0.963946839983445
xgb_pca4,5000,custom_ansatz_1,custom_h_ry_rz,0.976,0.9836065573770492,0.9703546823103908,0.9856262833675564,0.9815950920245399,0.43999999999999995,8,0.979,0.9857045609257998,0.969127948863375
autoencoder,5000,real_amplitudes,iqp_embedding,0.976,0.9838274932614556,0.9598905757816427,0.9726848767488341,0.9952283571915473,0.4149999999999999,20,0.977,0.9845117845117846,0.9599511524646034
autoencoder,5000,efficient_su2_like,iqp_embedding,0.9735,0.9822087948976167,0.9570692828211906,0.9675925925925926,0.9972733469665985,0.4049999999999999,18,0.974,0.9825503355704698,0.9528590625974013
xgb_pca4,5000,strongly_entangling,custom_h_ry_rz,0.9725,0.9813242784380306,0.9677655129547992,0.9776725304465493,0.9850034083162917,0.42499999999999993,1,0.974,0.9824324324324324,0.9668388593385144
xgb_pca4,5000,real_amplitudes,amplitude_embedding,0.9685,0.9788803218236675,0.9459094449368278,0.9630606860158312,0.9952283571915473,0.25499999999999995,16,0.967,0.9778968519758875,0.9475859813704902
xgb_pca4,5000,efficient_su2_like,amplitude_embedding,0.9685,0.9787950185122855,0.935771462481024,0.9667553191489362,0.9911383776414451,0.25499999999999995,7,0.963,0.9751511081262593,0.9344339357522061
ica4,5000,strongly_entangling,iqp_embedding,0.968,0.9783491204330176,0.9612750044442397,0.9711215580926796,0.9856850715746421,0.4549999999999999,19,0.959,0.9722033898305085,0.9532473902846544
autoencoder,5000,strongly_entangling,amplitude_embedding,0.968,0.9781569965870307,0.9533437948820263,0.9794941900205059,0.9768234492160872,0.4049999999999999,20,0.971,0.9802855200543847,0.9543101818497682
xgb_pca4,5000,custom_ansatz_1,amplitude_embedding,0.968,0.978523489932886,0.9390864177636584,0.9636483807005949,0.9938650306748467,0.24999999999999994,17,0.966,0.9772423025435074,0.9384960477438673
xgb_pca4,5000,strongly_entangling,amplitude_embedding,0.966,0.9772117962466488,0.9357586733016928,0.9611074489123269,0.9938650306748467,0.25499999999999995,18,0.965,0.9765886287625418,0.9364419986612914
autoencoder,5000,custom_ansatz_1,amplitude_embedding,0.965,0.976271186440678,0.9535740001099869,0.9710047201618341,0.9815950920245399,0.38999999999999996,17,0.97,0.979757085020243,0.9542999627001038
autoencoder,5000,efficient_su2_like,amplitude_embedding,0.957,0.970886932972241,0.9509291978243049,0.9643577673167452,0.9775051124744376,0.41999999999999993,1,0.963,0.975016880486158,0.9525678168319615
xgb_pca4,5000,efficient_su2_like,iqp_embedding,0.9555,0.9694473051836594,0.978296762675036,0.9764868603042877,0.9625085207907293,0.3999999999999999,19,0.961,0.9732693625771076,0.9812529699403713
xgb_pca4,5000,custom_ansatz_1,iqp_embedding,0.9555,0.9695726495726495,0.9754972113194468,0.9725651577503429,0.9665985003408316,0.48999999999999994,20,0.958,0.9712722298221614,0.9723572001573748
pca4,5000,real_amplitudes,ry_embedding,0.951,0.965782122905028,0.9710529715018715,0.9899785254115963,0.9427402862985685,0.5049999999999999,16,0.947,0.9630146545708305,0.9727506374194603
autoencoder,5000,real_amplitudes,amplitude_embedding,0.95,0.9661933739012847,0.9509547761829671,0.9584171696847753,0.9740967961826857,0.42499999999999993,20,0.96,0.9730458221024259,0.9522152561685342
pca4,5000,real_amplitudes,iqp_embedding,0.949,0.9654002713704206,0.9724636179820978,0.9608372721134368,0.9700068166325835,0.4099999999999999,20,0.936,0.9562841530054644,0.961320518519654
autoencoder,5000,real_amplitudes,ry_embedding,0.9485,0.9648823729969315,0.9485625601890753,0.9652114597544338,0.9645535105657805,0.5099999999999999,20,0.955,0.9693669162695712,0.9524758444849805
autoencoder,5000,strongly_entangling,iqp_embedding,0.944,0.961512027491409,0.9517298004504349,0.9695079695079695,0.9536468984321745,0.4649999999999999,17,0.961,0.973487423521414,0.9516480933621513
ica4,5000,real_amplitudes,iqp_embedding,0.94,0.9587061252580867,0.9762683988331152,0.9680333564975677,0.9495569188820723,0.3999999999999999,20,0.931,0.9525120440467997,0.9630117877891381
xgb_pca4,5000,real_amplitudes,iqp_embedding,0.9395,0.9577366398882291,0.9685526869426316,0.9820916905444126,0.934560327198364,0.4699999999999999,5,0.942,0.9594405594405594,0.9726331171983179
xgb_pca4,5000,real_amplitudes,ry_embedding,0.9395,0.9582326544701415,0.9656623324137914,0.9706293706293706,0.9461486025903204,0.41999999999999993,20,0.936,0.9559228650137741,0.9617548323803976
autoencoder,5000,custom_ansatz_1,iqp_embedding,0.938,0.9594240837696335,0.9492256791373954,0.9225928256765261,0.9993183367416496,0.36999999999999994,4,0.936,0.9581699346405229,0.9507999039399931
autoencoder,5000,strongly_entangling,custom_h_ry_rz,0.937,0.9559132260321903,0.9789253508391622,0.9820273184759166,0.9311520109066121,0.5099999999999999,19,0.943,0.9603891591382905,0.9793675368272607
ica4,5000,strongly_entangling,custom_h_ry_rz,0.9345,0.956836902800659,0.9567054306692193,0.9260204081632653,0.9897750511247444,0.4799999999999999,20,0.931,0.9546946815495733,0.962367981360271
ica4,5000,efficient_su2_like,custom_h_ry_rz,0.93,0.9534574468085106,0.9606962940795053,0.9305645684620376,0.9775051124744376,0.39499999999999996,20,0.935,0.956982131039047,0.9644169208680147
autoencoder,5000,strongly_entangling,zz_feature_map,0.9265,0.9517874713020662,0.947423683769636,0.9171934260429836,0.989093387866394,0.44499999999999995,19,0.928,0.9528178243774574,0.9502071932594489
pca4,5000,strongly_entangling,amplitude_embedding,0.9195,0.9458094917536183,0.9628730124016672,0.9341755319148937,0.9577368779822768,0.4049999999999999,17,0.914,0.9417344173441734,0.949144401694335
pca4,5000,real_amplitudes,amplitude_embedding,0.9195,0.9458459468550285,0.9628717334837341,0.9335989375830013,0.9584185412406271,0.4099999999999999,20,0.914,0.9417344173441734,0.9489144708268826
pca4,5000,custom_ansatz_1,amplitude_embedding,0.9195,0.9458459468550285,0.9628474340430049,0.9335989375830013,0.9584185412406271,0.38999999999999996,20,0.914,0.9417344173441734,0.9489195804017146
autoencoder,5000,efficient_su2_like,zz_feature_map,0.919,0.9448228882833788,0.9606476951980468,0.9441797140912185,0.94546693933197,0.4749999999999999,11,0.93,0.9525101763907734,0.9622146941153027
pca4,5000,efficient_su2_like,amplitude_embedding,0.9185,0.9452468928451461,0.9627527941159543,0.9317880794701987,0.9591002044989775,0.4049999999999999,1,0.908,0.937584803256445,0.9472742973057212
autoencoder,5000,real_amplitudes,zz_feature_map,0.917,0.9452867501647989,0.9234861768155199,0.9151244416081685,0.9775051124744376,0.43999999999999995,3,0.916,0.9447368421052632,0.9195344155412829
xgb_pca4,5000,efficient_su2_like,custom_h_ry_rz,0.9165,0.9409685401201838,0.9158740572776185,0.9772393538913363,0.907293796864349,0.4599999999999999,20,0.928,0.9492957746478873,0.9433654725590284
pca4,5000,strongly_entangling,iqp_embedding,0.9145,0.9422492401215805,0.9542595001221367,0.9337349397590361,0.950920245398773,0.3999999999999999,18,0.902,0.9333333333333333,0.9422413660959272
pca4,5000,custom_ansatz_1,ry_embedding,0.9095,0.9358383551931939,0.9440984971435367,0.9748892171344166,0.8997955010224948,0.5599999999999999,19,0.914,0.9396914446002805,0.9478465696869364
autoencoder,5000,custom_ansatz_1,custom_h_ry_rz,0.9085,0.9385699899295066,0.9658631225292903,0.9246031746031746,0.9529652351738241,0.49499999999999994,1,0.922,0.9477911646586346,0.970834546857356
pca4,5000,strongly_entangling,ry_embedding,0.908,0.9346126510305615,0.9429513077575324,0.9762435040831478,0.896387184730743,0.5599999999999999,16,0.913,0.9388615600843289,0.947126119635585
ica4,5000,custom_ansatz_1,custom_h_ry_rz,0.898,0.9298004129387474,0.9410047946633313,0.9388464211257818,0.9209270620313565,0.5249999999999999,20,0.899,0.9312457454050375,0.936671929528744
pca4,5000,strongly_entangling,rx_embedding,0.8925,0.9226896799712334,0.9277769464811213,0.9764079147640792,0.874573960463531,0.5449999999999999,20,0.903,0.9312544294826365,0.9344594836263674
ica4,5000,efficient_su2_like,iqp_embedding,0.8875,0.927536231884058,0.9428924775326092,0.8791208791208791,0.9815950920245399,0.37499999999999994,17,0.879,0.922286448298009,0.9267593543541242
xgb_pca4,5000,strongly_entangling,iqp_embedding,0.8825,0.9150090415913201,0.9453595102255884,0.9745762711864406,0.8623040218132243,0.48499999999999993,15,0.901,0.9290322580645162,0.9496451400278983
