feature_set,train_size,ansatz,encoding,threshold,TP,TN,FP,FN,TPR_point,FPR_point,elapsed_s,gpu_id,accuracy_mean_B,accuracy_std_B,accuracy_ci_low_B,accuracy_ci_high_B,accuracy_ci_width_B,accuracy_pm_B,accuracy_ci_str_B,f1_mean_B,f1_std_B,f1_ci_low_B,f1_ci_high_B,f1_ci_width_B,f1_pm_B,f1_ci_str_B,auc_mean_B,auc_std_B,auc_ci_low_B,auc_ci_high_B,auc_ci_width_B,auc_pm_B,auc_ci_str_B,tpr_mean_B,tpr_std_B,tpr_ci_low_B,tpr_ci_high_B,tpr_ci_width_B,tpr_pm_B,tpr_ci_str_B,fpr_mean_B,fpr_std_B,fpr_ci_low_B,fpr_ci_high_B,fpr_ci_width_B,fpr_pm_B,fpr_ci_str_B,prec_mean_B,prec_std_B,prec_ci_low_B,prec_ci_high_B,prec_ci_width_B,prec_pm_B,prec_ci_str_B,n_subsets,n_valid,subset_size
pca4,5000,strongly_entangling,iqp_embedding,0.42999999999999994,1433,445,88,34,0.9768234492160872,0.1651031894934334,127.9,6,0.7334,0.0003,0.7325,0.7335,0.0010,0.7334 ± 0.0003,"[0.7325, 0.7335]",0.8462,0.0002,0.8456,0.8463,0.0007,0.8462 ± 0.0002,"[0.8456, 0.8463]",0.9724,0.0052,0.9627,0.9816,0.0188,0.9724 ± 0.0052,"[0.9627, 0.9816]",0.9998,0.0003,0.9986,1.0000,0.0014,0.9998 ± 0.0003,"[0.9986, 1.0000]",1.0000,0.0000,1.0000,1.0000,0.0000,1.0000 ± 0.0000,"[1.0000, 1.0000]",0.7335,0.0001,0.7332,0.7335,0.0003,0.7335 ± 0.0001,"[0.7332, 0.7335]",200,200,2000
xgb_pca4,5000,custom_ansatz_1,zz_feature_map,0.39499999999999996,1385,491,42,82,0.9441036128152692,0.07879924953095685,129.4,6,0.9340,0.0051,0.9240,0.9440,0.0200,0.9340 ± 0.0051,"[0.9240, 0.9440]",0.9543,0.0036,0.9476,0.9613,0.0137,0.9543 ± 0.0036,"[0.9476, 0.9613]",0.9736,0.0042,0.9649,0.9805,0.0155,0.9736 ± 0.0042,"[0.9649, 0.9805]",0.9396,0.0050,0.9298,0.9482,0.0184,0.9396 ± 0.0050,"[0.9298, 0.9482]",0.0814,0.0116,0.0600,0.1032,0.0432,0.0814 ± 0.0116,"[0.0600, 0.1032]",0.9695,0.0042,0.9616,0.9774,0.0157,0.9695 ± 0.0042,"[0.9616, 0.9774]",200,200,2000
autoencoder,5000,efficient_su2_like,zz_feature_map,0.4549999999999999,1389,476,57,78,0.9468302658486708,0.10694183864915573,135.4,5,0.9394,0.0054,0.9280,0.9505,0.0225,0.9394 ± 0.0054,"[0.9280, 0.9505]",0.9595,0.0035,0.9523,0.9669,0.0146,0.9595 ± 0.0035,"[0.9523, 0.9669]",0.9637,0.0052,0.9523,0.9727,0.0204,0.9637 ± 0.0052,"[0.9523, 0.9727]",0.9792,0.0039,0.9714,0.9857,0.0143,0.9792 ± 0.0039,"[0.9714, 0.9857]",0.1702,0.0173,0.1350,0.2045,0.0695,0.1702 ± 0.0173,"[0.1350, 0.2045]",0.9406,0.0057,0.9297,0.9526,0.0229,0.9406 ± 0.0057,"[0.9297, 0.9526]",200,200,2000
xgb_pca4,5000,strongly_entangling,ry_embedding,0.43499999999999994,1369,496,37,98,0.9331970006816632,0.06941838649155722,82.5,7,0.9337,0.0052,0.9240,0.9445,0.0205,0.9337 ± 0.0052,"[0.9240, 0.9445]",0.9541,0.0036,0.9472,0.9618,0.0147,0.9541 ± 0.0036,"[0.9472, 0.9618]",0.9620,0.0051,0.9525,0.9713,0.0189,0.9620 ± 0.0051,"[0.9525, 0.9713]",0.9399,0.0054,0.9291,0.9489,0.0198,0.9399 ± 0.0054,"[0.9291, 0.9489]",0.0835,0.0124,0.0600,0.1107,0.0507,0.0835 ± 0.0124,"[0.0600, 0.1107]",0.9688,0.0045,0.9587,0.9774,0.0187,0.9688 ± 0.0045,"[0.9587, 0.9774]",200,200,2000
autoencoder,5000,efficient_su2_like,custom_h_ry_rz,0.5249999999999999,1373,491,42,94,0.9359236537150648,0.07879924953095685,121.4,7,0.9239,0.0057,0.9145,0.9355,0.0211,0.9239 ± 0.0057,"[0.9145, 0.9355]",0.9470,0.0040,0.9401,0.9553,0.0152,0.9470 ± 0.0040,"[0.9401, 0.9553]",0.9535,0.0069,0.9381,0.9659,0.0278,0.9535 ± 0.0069,"[0.9381, 0.9659]",0.9279,0.0064,0.9155,0.9414,0.0259,0.9279 ± 0.0064,"[0.9155, 0.9414]",0.0872,0.0130,0.0637,0.1126,0.0488,0.0872 ± 0.0130,"[0.0637, 0.1126]",0.9670,0.0047,0.9573,0.9759,0.0186,0.9670 ± 0.0047,"[0.9573, 0.9759]",200,200,2000
autoencoder,5000,real_amplitudes,zz_feature_map,0.4649999999999999,1367,495,38,100,0.9318336741649625,0.07129455909943715,130.0,4,0.9400,0.0052,0.9295,0.9500,0.0205,0.9400 ± 0.0052,"[0.9295, 0.9500]",0.9594,0.0035,0.9522,0.9661,0.0139,0.9594 ± 0.0035,"[0.9522, 0.9661]",0.9646,0.0044,0.9566,0.9728,0.0162,0.9646 ± 0.0044,"[0.9566, 0.9728]",0.9658,0.0050,0.9564,0.9755,0.0191,0.9658 ± 0.0050,"[0.9564, 0.9755]",0.1310,0.0140,0.1032,0.1576,0.0545,0.1310 ± 0.0140,"[0.1032, 0.1576]",0.9530,0.0048,0.9440,0.9626,0.0186,0.9530 ± 0.0048,"[0.9440, 0.9626]",200,200,2000
ica4,5000,custom_ansatz_1,custom_h_ry_rz,0.4549999999999999,1455,404,129,12,0.9918200408997955,0.24202626641651032,116.3,4,0.9349,0.0048,0.9245,0.9435,0.0190,0.9349 ± 0.0048,"[0.9245, 0.9435]",0.9572,0.0031,0.9506,0.9626,0.0120,0.9572 ± 0.0031,"[0.9506, 0.9626]",0.9375,0.0077,0.9218,0.9519,0.0301,0.9375 ± 0.0077,"[0.9218, 0.9519]",0.9914,0.0025,0.9864,0.9952,0.0089,0.9914 ± 0.0025,"[0.9864, 0.9952]",0.2207,0.0166,0.1895,0.2534,0.0639,0.2207 ± 0.0166,"[0.1895, 0.2534]",0.9252,0.0052,0.9148,0.9349,0.0201,0.9252 ± 0.0052,"[0.9148, 0.9349]",200,200,2000
autoencoder,5000,efficient_su2_like,rx_embedding,0.4599999999999999,1427,428,105,40,0.972733469665985,0.19699812382739212,100.6,4,0.9370,0.0049,0.9285,0.9465,0.0180,0.9370 ± 0.0049,"[0.9285, 0.9465]",0.9579,0.0032,0.9524,0.9643,0.0119,0.9579 ± 0.0032,"[0.9524, 0.9643]",0.9510,0.0071,0.9375,0.9652,0.0277,0.9510 ± 0.0071,"[0.9375, 0.9652]",0.9768,0.0039,0.9693,0.9843,0.0150,0.9768 ± 0.0039,"[0.9693, 0.9843]",0.1728,0.0157,0.1463,0.2045,0.0583,0.1728 ± 0.0157,"[0.1463, 0.2045]",0.9396,0.0051,0.9291,0.9485,0.0194,0.9396 ± 0.0051,"[0.9291, 0.9485]",200,200,2000
ica4,5000,real_amplitudes,iqp_embedding,0.38499999999999995,1408,445,88,59,0.9597818677573279,0.1651031894934334,133.9,7,0.9254,0.0056,0.9150,0.9355,0.0205,0.9254 ± 0.0056,"[0.9150, 0.9355]",0.9497,0.0038,0.9429,0.9566,0.0137,0.9497 ± 0.0038,"[0.9429, 0.9566]",0.9711,0.0036,0.9645,0.9782,0.0136,0.9711 ± 0.0036,"[0.9645, 0.9782]",0.9609,0.0051,0.9496,0.9700,0.0204,0.9609 ± 0.0051,"[0.9496, 0.9700]",0.1723,0.0161,0.1426,0.2064,0.0638,0.1723 ± 0.0161,"[0.1426, 0.2064]",0.9389,0.0053,0.9280,0.9490,0.0210,0.9389 ± 0.0053,"[0.9280, 0.9490]",200,200,2000
autoencoder,5000,strongly_entangling,zz_feature_map,0.4549999999999999,1362,491,42,105,0.9284253578732107,0.07879924953095685,122.9,7,0.9381,0.0056,0.9275,0.9490,0.0215,0.9381 ± 0.0056,"[0.9275, 0.9490]",0.9572,0.0040,0.9496,0.9649,0.0153,0.9572 ± 0.0040,"[0.9496, 0.9649]",0.9718,0.0037,0.9647,0.9786,0.0139,0.9718 ± 0.0037,"[0.9647, 0.9786]",0.9438,0.0064,0.9304,0.9550,0.0246,0.9438 ± 0.0064,"[0.9304, 0.9550]",0.0775,0.0114,0.0563,0.1014,0.0451,0.0775 ± 0.0114,"[0.0563, 0.1014]",0.9710,0.0041,0.9622,0.9790,0.0168,0.9710 ± 0.0041,"[0.9622, 0.9790]",200,200,2000
