feature_set,train_size,ansatz,encoding,threshold,TP,TN,FP,FN,TPR_point,FPR_point,elapsed_s,gpu_id,accuracy_mean_B,accuracy_std_B,accuracy_ci_low_B,accuracy_ci_high_B,accuracy_ci_width_B,accuracy_pm_B,accuracy_ci_str_B,f1_mean_B,f1_std_B,f1_ci_low_B,f1_ci_high_B,f1_ci_width_B,f1_pm_B,f1_ci_str_B,auc_mean_B,auc_std_B,auc_ci_low_B,auc_ci_high_B,auc_ci_width_B,auc_pm_B,auc_ci_str_B,tpr_mean_B,tpr_std_B,tpr_ci_low_B,tpr_ci_high_B,tpr_ci_width_B,tpr_pm_B,tpr_ci_str_B,fpr_mean_B,fpr_std_B,fpr_ci_low_B,fpr_ci_high_B,fpr_ci_width_B,fpr_pm_B,fpr_ci_str_B,prec_mean_B,prec_std_B,prec_ci_low_B,prec_ci_high_B,prec_ci_width_B,prec_pm_B,prec_ci_str_B,n_subsets,n_valid,subset_size
ica4,5000,real_amplitudes,custom_h_ry_rz,0.41999999999999993,1397,425,108,70,0.9522835719154737,0.2026266416510319,114.6,7,0.9133,0.0055,0.9020,0.9240,0.0220,0.9133 ± 0.0055,"[0.9020, 0.9240]",0.9418,0.0036,0.9341,0.9488,0.0147,0.9418 ± 0.0036,"[0.9341, 0.9488]",0.9064,0.0098,0.8850,0.9247,0.0396,0.9064 ± 0.0098,"[0.8850, 0.9247]",0.9569,0.0050,0.9475,0.9666,0.0191,0.9569 ± 0.0050,"[0.9475, 0.9666]",0.2067,0.0156,0.1726,0.2383,0.0657,0.2067 ± 0.0156,"[0.1726, 0.2383]",0.9273,0.0051,0.9168,0.9386,0.0218,0.9273 ± 0.0051,"[0.9168, 0.9386]",200,200,2000
ica4,5000,strongly_entangling,custom_h_ry_rz,0.4049999999999999,1439,382,151,28,0.9809134287661895,0.28330206378986866,105.3,4,0.9130,0.0063,0.9010,0.9245,0.0235,0.9130 ± 0.0063,"[0.9010, 0.9245]",0.9428,0.0040,0.9352,0.9502,0.0150,0.9428 ± 0.0040,"[0.9352, 0.9502]",0.9601,0.0042,0.9529,0.9687,0.0158,0.9601 ± 0.0042,"[0.9529, 0.9687]",0.9772,0.0038,0.9700,0.9843,0.0143,0.9772 ± 0.0038,"[0.9700, 0.9843]",0.2636,0.0204,0.2270,0.3021,0.0751,0.2636 ± 0.0204,"[0.2270, 0.3021]",0.9108,0.0063,0.8991,0.9219,0.0229,0.9108 ± 0.0063,"[0.8991, 0.9219]",200,200,2000
xgb_pca4,5000,strongly_entangling,zz_feature_map,0.38999999999999996,1360,460,73,107,0.9270620313565099,0.13696060037523453,115.4,7,0.9016,0.0062,0.8900,0.9140,0.0240,0.9016 ± 0.0062,"[0.8900, 0.9140]",0.9319,0.0044,0.9238,0.9408,0.0170,0.9319 ± 0.0044,"[0.9238, 0.9408]",0.9362,0.0051,0.9263,0.9463,0.0200,0.9362 ± 0.0051,"[0.9263, 0.9463]",0.9182,0.0063,0.9073,0.9318,0.0245,0.9182 ± 0.0063,"[0.9073, 0.9318]",0.1442,0.0149,0.1163,0.1745,0.0582,0.1442 ± 0.0149,"[0.1163, 0.1745]",0.9460,0.0053,0.9354,0.9559,0.0206,0.9460 ± 0.0053,"[0.9354, 0.9559]",200,200,2000
autoencoder,5000,custom_ansatz_1,iqp_embedding,0.585,1344,474,59,123,0.9161554192229039,0.11069418386491557,129.7,5,0.9110,0.0061,0.8975,0.9215,0.0240,0.9110 ± 0.0061,"[0.8975, 0.9215]",0.9382,0.0044,0.9285,0.9454,0.0168,0.9382 ± 0.0044,"[0.9285, 0.9454]",0.9634,0.0039,0.9555,0.9704,0.0150,0.9634 ± 0.0039,"[0.9555, 0.9704]",0.9202,0.0069,0.9059,0.9332,0.0273,0.9202 ± 0.0069,"[0.9059, 0.9332]",0.1142,0.0139,0.0901,0.1445,0.0545,0.1142 ± 0.0139,"[0.0901, 0.1445]",0.9569,0.0050,0.9461,0.9659,0.0198,0.9569 ± 0.0050,"[0.9461, 0.9659]",200,200,2000
pca4,5000,efficient_su2_like,custom_h_ry_rz,0.4799999999999999,1327,481,52,140,0.9045671438309475,0.0975609756097561,118.8,5,0.9103,0.0065,0.8975,0.9225,0.0250,0.9103 ± 0.0065,"[0.8975, 0.9225]",0.9376,0.0046,0.9285,0.9462,0.0177,0.9376 ± 0.0046,"[0.9285, 0.9462]",0.9453,0.0059,0.9337,0.9573,0.0236,0.9453 ± 0.0059,"[0.9337, 0.9573]",0.9191,0.0068,0.9066,0.9319,0.0253,0.9191 ± 0.0068,"[0.9066, 0.9319]",0.1142,0.0140,0.0881,0.1426,0.0545,0.1142 ± 0.0140,"[0.0881, 0.1426]",0.9568,0.0051,0.9465,0.9664,0.0199,0.9568 ± 0.0051,"[0.9465, 0.9664]",200,200,2000
xgb_pca4,5000,strongly_entangling,rx_embedding,0.43999999999999995,1301,498,35,166,0.8868438991138378,0.06566604127579738,82.8,6,0.9078,0.0057,0.8970,0.9195,0.0225,0.9078 ± 0.0057,"[0.8970, 0.9195]",0.9350,0.0041,0.9271,0.9433,0.0162,0.9350 ± 0.0041,"[0.9271, 0.9433]",0.9461,0.0055,0.9357,0.9567,0.0210,0.9461 ± 0.0055,"[0.9357, 0.9567]",0.9035,0.0063,0.8916,0.9162,0.0246,0.9035 ± 0.0063,"[0.8916, 0.9162]",0.0804,0.0123,0.0600,0.1070,0.0470,0.0804 ± 0.0123,"[0.0600, 0.1070]",0.9687,0.0046,0.9586,0.9765,0.0179,0.9687 ± 0.0046,"[0.9586, 0.9765]",200,200,2000
pca4,5000,custom_ansatz_1,iqp_embedding,0.4049999999999999,1452,323,210,15,0.9897750511247444,0.39399624765478425,130.3,4,0.8583,0.0058,0.8480,0.8705,0.0225,0.8583 ± 0.0058,"[0.8480, 0.8705]",0.9117,0.0033,0.9059,0.9188,0.0129,0.9117 ± 0.0033,"[0.9059, 0.9188]",0.9388,0.0056,0.9275,0.9492,0.0217,0.9388 ± 0.0056,"[0.9275, 0.9492]",0.9978,0.0012,0.9959,1.0000,0.0041,0.9978 ± 0.0012,"[0.9959, 1.0000]",0.5259,0.0214,0.4803,0.5666,0.0864,0.5259 ± 0.0214,"[0.4803, 0.5666]",0.8393,0.0055,0.8292,0.8509,0.0218,0.8393 ± 0.0055,"[0.8292, 0.8509]",200,200,2000
pca4,5000,efficient_su2_like,amplitude_embedding,0.42499999999999993,1381,388,145,86,0.9413769597818678,0.27204502814258913,94.3,5,0.2680,0.0009,0.2665,0.2700,0.0035,0.2680 ± 0.0009,"[0.2665, 0.2700]",0.0042,0.0024,0.0000,0.0095,0.0095,0.0042 ± 0.0024,"[0.0000, 0.0095]",0.9324,0.0059,0.9222,0.9436,0.0214,0.9324 ± 0.0059,"[0.9222, 0.9436]",0.0021,0.0012,0.0000,0.0048,0.0048,0.0021 ± 0.0012,"[0.0000, 0.0048]",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000 ± 0.0000,"[0.0000, 0.0000]",0.9700,0.1706,0.0000,1.0000,1.0000,0.9700 ± 0.1706,"[0.0000, 1.0000]",200,200,2000
pca4,5000,custom_ansatz_1,amplitude_embedding,0.42999999999999994,1379,387,146,88,0.940013633265167,0.27392120075046905,87.7,7,0.8695,0.0068,0.8565,0.8835,0.0271,0.8695 ± 0.0068,"[0.8565, 0.8835]",0.9127,0.0045,0.9041,0.9224,0.0184,0.9127 ± 0.0045,"[0.9041, 0.9224]",0.9266,0.0060,0.9158,0.9390,0.0232,0.9266 ± 0.0060,"[0.9158, 0.9390]",0.9296,0.0058,0.9195,0.9421,0.0225,0.9296 ± 0.0058,"[0.9195, 0.9421]",0.2961,0.0195,0.2514,0.3340,0.0826,0.2961 ± 0.0195,"[0.2514, 0.3340]",0.8963,0.0062,0.8843,0.9098,0.0256,0.8963 ± 0.0062,"[0.8843, 0.9098]",200,200,2000
pca4,5000,real_amplitudes,amplitude_embedding,0.43499999999999994,1381,384,149,86,0.9413769597818678,0.2795497185741088,85.7,7,0.8706,0.0070,0.8555,0.8855,0.0300,0.8706 ± 0.0070,"[0.8555, 0.8855]",0.9139,0.0046,0.9042,0.9228,0.0186,0.9139 ± 0.0046,"[0.9042, 0.9228]",0.9262,0.0061,0.9153,0.9387,0.0233,0.9262 ± 0.0061,"[0.9153, 0.9387]",0.9356,0.0056,0.9243,0.9455,0.0211,0.9356 ± 0.0056,"[0.9243, 0.9455]",0.3082,0.0203,0.2644,0.3434,0.0790,0.3082 ± 0.0203,"[0.2644, 0.3434]",0.8931,0.0064,0.8820,0.9057,0.0237,0.8931 ± 0.0064,"[0.8820, 0.9057]",200,200,2000
pca4,5000,strongly_entangling,amplitude_embedding,0.4099999999999999,1355,401,132,112,0.923653715064758,0.24765478424015008,78.5,5,0.8768,0.0067,0.8625,0.8910,0.0285,0.8768 ± 0.0067,"[0.8625, 0.8910]",0.9172,0.0045,0.9081,0.9267,0.0187,0.9172 ± 0.0045,"[0.9081, 0.9267]",0.9311,0.0058,0.9214,0.9436,0.0222,0.9311 ± 0.0058,"[0.9214, 0.9436]",0.9297,0.0056,0.9202,0.9421,0.0218,0.9297 ± 0.0056,"[0.9202, 0.9421]",0.2688,0.0189,0.2326,0.3021,0.0695,0.2688 ± 0.0189,"[0.2326, 0.3021]",0.9050,0.0061,0.8937,0.9168,0.0231,0.9050 ± 0.0061,"[0.8937, 0.9168]",200,200,2000
ica4,5000,strongly_entangling,ry_embedding,0.33499999999999996,1403,346,187,64,0.956373551465576,0.350844277673546,84.4,6,0.8728,0.0070,0.8590,0.8875,0.0285,0.8728 ± 0.0070,"[0.8590, 0.8875]",0.9171,0.0044,0.9084,0.9264,0.0180,0.9171 ± 0.0044,"[0.9084, 0.9264]",0.9275,0.0058,0.9170,0.9389,0.0219,0.9275 ± 0.0058,"[0.9170, 0.9389]",0.9592,0.0048,0.9489,0.9686,0.0198,0.9592 ± 0.0048,"[0.9489, 0.9686]",0.3649,0.0212,0.3263,0.4053,0.0790,0.3649 ± 0.0212,"[0.3263, 0.4053]",0.8786,0.0063,0.8664,0.8906,0.0242,0.8786 ± 0.0063,"[0.8664, 0.8906]",200,200,2000
xgb_pca4,5000,custom_ansatz_1,ry_embedding,0.42999999999999994,1267,475,58,200,0.863667348329925,0.10881801125703565,92.7,6,0.8758,0.0062,0.8645,0.8870,0.0225,0.8758 ± 0.0062,"[0.8645, 0.8870]",0.9120,0.0045,0.9041,0.9204,0.0163,0.9120 ± 0.0045,"[0.9041, 0.9204]",0.9138,0.0061,0.9030,0.9266,0.0236,0.9138 ± 0.0061,"[0.9030, 0.9266]",0.8773,0.0065,0.8650,0.8896,0.0246,0.8773 ± 0.0065,"[0.8650, 0.8896]",0.1283,0.0152,0.0994,0.1558,0.0563,0.1283 ± 0.0152,"[0.0994, 0.1558]",0.9496,0.0057,0.9396,0.9601,0.0205,0.9496 ± 0.0057,"[0.9396, 0.9601]",200,200,2000
ica4,5000,strongly_entangling,rx_embedding,0.33499999999999996,1415,323,210,52,0.9645535105657805,0.39399624765478425,83.7,5,0.8661,0.0072,0.8520,0.8810,0.0290,0.8661 ± 0.0072,"[0.8520, 0.8810]",0.9140,0.0044,0.9053,0.9231,0.0178,0.9140 ± 0.0044,"[0.9053, 0.9231]",0.9211,0.0061,0.9098,0.9327,0.0229,0.9211 ± 0.0061,"[0.9098, 0.9327]",0.9702,0.0044,0.9611,0.9782,0.0171,0.9702 ± 0.0044,"[0.9611, 0.9782]",0.4202,0.0230,0.3770,0.4672,0.0902,0.4202 ± 0.0230,"[0.3770, 0.4672]",0.8641,0.0065,0.8511,0.8772,0.0262,0.8641 ± 0.0065,"[0.8511, 0.8772]",200,200,2000
ica4,5000,efficient_su2_like,zz_feature_map,0.38499999999999995,1412,325,208,55,0.9625085207907293,0.3902439024390244,143.6,6,0.8660,0.0065,0.8535,0.8800,0.0266,0.8660 ± 0.0065,"[0.8535, 0.8800]",0.9139,0.0040,0.9058,0.9226,0.0168,0.9139 ± 0.0040,"[0.9058, 0.9226]",0.9117,0.0071,0.8977,0.9273,0.0296,0.9117 ± 0.0071,"[0.8977, 0.9273]",0.9693,0.0044,0.9604,0.9768,0.0164,0.9693 ± 0.0044,"[0.9604, 0.9768]",0.4182,0.0213,0.3752,0.4541,0.0788,0.4182 ± 0.0213,"[0.3752, 0.4541]",0.8645,0.0060,0.8537,0.8760,0.0223,0.8645 ± 0.0060,"[0.8537, 0.8760]",200,200,2000
autoencoder,5000,strongly_entangling,custom_h_ry_rz,0.5049999999999999,1286,447,86,181,0.8766189502385822,0.16135084427767354,102.5,5,0.8578,0.0081,0.8410,0.8735,0.0325,0.8578 ± 0.0081,"[0.8410, 0.8735]",0.8996,0.0059,0.8876,0.9109,0.0233,0.8996 ± 0.0059,"[0.8876, 0.9109]",0.8955,0.0081,0.8779,0.9109,0.0329,0.8955 ± 0.0081,"[0.8779, 0.9109]",0.8687,0.0085,0.8521,0.8842,0.0321,0.8687 ± 0.0085,"[0.8521, 0.8842]",0.1723,0.0164,0.1425,0.2083,0.0657,0.1723 ± 0.0164,"[0.1425, 0.2083]",0.9328,0.0061,0.9200,0.9444,0.0244,0.9328 ± 0.0061,"[0.9200, 0.9444]",200,200,2000
autoencoder,5000,strongly_entangling,ry_embedding,0.5149999999999999,1315,412,121,152,0.896387184730743,0.2270168855534709,84.8,7,0.8674,0.0063,0.8555,0.8790,0.0235,0.8674 ± 0.0063,"[0.8555, 0.8790]",0.9085,0.0044,0.9000,0.9169,0.0169,0.9085 ± 0.0044,"[0.9000, 0.9169]",0.9286,0.0064,0.9177,0.9411,0.0234,0.9286 ± 0.0064,"[0.9177, 0.9411]",0.8973,0.0067,0.8841,0.9100,0.0259,0.8973 ± 0.0067,"[0.8841, 0.9100]",0.2146,0.0180,0.1819,0.2459,0.0639,0.2146 ± 0.0180,"[0.1819, 0.2459]",0.9201,0.0061,0.9091,0.9314,0.0223,0.9201 ± 0.0061,"[0.9091, 0.9314]",200,200,2000
pca4,5000,strongly_entangling,ry_embedding,0.49999999999999994,1279,437,96,188,0.8718473074301295,0.1801125703564728,83.4,7,0.7403,0.0041,0.7325,0.7480,0.0156,0.7403 ± 0.0041,"[0.7325, 0.7480]",0.8470,0.0024,0.8424,0.8515,0.0091,0.8470 ± 0.0024,"[0.8424, 0.8515]",0.9490,0.0056,0.9380,0.9595,0.0215,0.9490 ± 0.0056,"[0.9380, 0.9595]",0.9803,0.0036,0.9734,0.9877,0.0144,0.9803 ± 0.0036,"[0.9734, 0.9877]",0.9204,0.0119,0.8968,0.9400,0.0432,0.9204 ± 0.0119,"[0.8968, 0.9400]",0.7457,0.0025,0.7413,0.7505,0.0092,0.7457 ± 0.0025,"[0.7413, 0.7505]",200,200,2000
autoencoder,5000,real_amplitudes,amplitude_embedding,0.5199999999999999,1277,436,97,190,0.8704839809134287,0.18198874296435272,85.7,6,0.8648,0.0060,0.8540,0.8760,0.0220,0.8648 ± 0.0060,"[0.8540, 0.8760]",0.9045,0.0042,0.8969,0.9127,0.0158,0.9045 ± 0.0042,"[0.8969, 0.9127]",0.9235,0.0056,0.9109,0.9329,0.0221,0.9235 ± 0.0056,"[0.9109, 0.9329]",0.8730,0.0055,0.8636,0.8835,0.0198,0.8730 ± 0.0055,"[0.8636, 0.8835]",0.1577,0.0161,0.1295,0.1896,0.0601,0.1577 ± 0.0161,"[0.1295, 0.1896]",0.9384,0.0059,0.9271,0.9490,0.0219,0.9384 ± 0.0059,"[0.9271, 0.9490]",200,200,2000
xgb_pca4,5000,custom_ansatz_1,custom_h_ry_rz,0.48499999999999993,1245,465,68,222,0.8486707566462167,0.1275797373358349,112.7,4,0.8640,0.0064,0.8515,0.8770,0.0255,0.8640 ± 0.0064,"[0.8515, 0.8770]",0.9031,0.0047,0.8942,0.9125,0.0183,0.9031 ± 0.0047,"[0.8942, 0.9125]",0.9034,0.0059,0.8928,0.9158,0.0230,0.9034 ± 0.0059,"[0.8928, 0.9158]",0.8647,0.0075,0.8493,0.8780,0.0287,0.8647 ± 0.0075,"[0.8493, 0.8780]",0.1381,0.0148,0.1106,0.1670,0.0564,0.1381 ± 0.0148,"[0.1106, 0.1670]",0.9452,0.0055,0.9348,0.9556,0.0208,0.9452 ± 0.0055,"[0.9348, 0.9556]",200,200,2000
autoencoder,5000,custom_ansatz_1,amplitude_embedding,0.5349999999999999,1272,434,99,195,0.8670756646216768,0.18574108818011256,87.1,4,0.8603,0.0056,0.8495,0.8715,0.0221,0.8603 ± 0.0056,"[0.8495, 0.8715]",0.9013,0.0039,0.8943,0.9092,0.0149,0.9013 ± 0.0039,"[0.8943, 0.9092]",0.9101,0.0063,0.8965,0.9209,0.0244,0.9101 ± 0.0063,"[0.8965, 0.9209]",0.8698,0.0048,0.8609,0.8793,0.0184,0.8698 ± 0.0048,"[0.8609, 0.8793]",0.1657,0.0160,0.1369,0.2008,0.0638,0.1657 ± 0.0160,"[0.1369, 0.2008]",0.9353,0.0058,0.9226,0.9462,0.0236,0.9353 ± 0.0058,"[0.9226, 0.9462]",200,200,2000
xgb_pca4,5000,efficient_su2_like,ry_embedding,0.43499999999999994,1260,442,91,207,0.8588957055214724,0.17073170731707318,100.4,5,0.8551,0.0069,0.8430,0.8685,0.0255,0.8551 ± 0.0069,"[0.8430, 0.8685]",0.8985,0.0048,0.8899,0.9083,0.0184,0.8985 ± 0.0048,"[0.8899, 0.9083]",0.8911,0.0070,0.8783,0.9039,0.0256,0.8911 ± 0.0070,"[0.8783, 0.9039]",0.8741,0.0065,0.8616,0.8868,0.0252,0.8741 ± 0.0065,"[0.8616, 0.8868]",0.1972,0.0178,0.1614,0.2290,0.0676,0.1972 ± 0.0178,"[0.1614, 0.2290]",0.9243,0.0064,0.9123,0.9368,0.0245,0.9243 ± 0.0064,"[0.9123, 0.9368]",200,200,2000
autoencoder,5000,real_amplitudes,custom_h_ry_rz,0.5349999999999999,1211,480,53,256,0.825494205862304,0.09943714821763602,112.5,6,0.8600,0.0073,0.8435,0.8760,0.0325,0.8600 ± 0.0073,"[0.8435, 0.8760]",0.8978,0.0057,0.8850,0.9097,0.0247,0.8978 ± 0.0057,"[0.8850, 0.9097]",0.9136,0.0068,0.8995,0.9285,0.0290,0.9136 ± 0.0068,"[0.8995, 0.9285]",0.8385,0.0093,0.8207,0.8555,0.0348,0.8385 ± 0.0093,"[0.8207, 0.8555]",0.0807,0.0112,0.0582,0.1013,0.0432,0.0807 ± 0.0112,"[0.0582, 0.1013]",0.9662,0.0045,0.9579,0.9752,0.0173,0.9662 ± 0.0045,"[0.9579, 0.9752]",200,200,2000
autoencoder,5000,custom_ansatz_1,custom_h_ry_rz,0.49499999999999994,1296,395,138,171,0.8834355828220859,0.2589118198874296,102.9,4,0.8716,0.0070,0.8585,0.8850,0.0265,0.8716 ± 0.0070,"[0.8585, 0.8850]",0.9112,0.0049,0.9016,0.9202,0.0186,0.9112 ± 0.0049,"[0.9016, 0.9202]",0.9043,0.0074,0.8891,0.9179,0.0287,0.9043 ± 0.0074,"[0.8891, 0.9179]",0.8981,0.0074,0.8834,0.9115,0.0280,0.8981 ± 0.0074,"[0.8834, 0.9115]",0.2012,0.0171,0.1688,0.2327,0.0639,0.2012 ± 0.0171,"[0.1688, 0.2327]",0.9248,0.0059,0.9131,0.9366,0.0235,0.9248 ± 0.0059,"[0.9131, 0.9366]",200,200,2000
xgb_pca4,5000,real_amplitudes,rx_embedding,0.4149999999999999,1253,427,106,214,0.8541240627130198,0.19887429643527205,91.6,7,0.8416,0.0072,0.8280,0.8545,0.0265,0.8416 ± 0.0072,"[0.8280, 0.8545]",0.8894,0.0050,0.8799,0.8981,0.0182,0.8894 ± 0.0050,"[0.8799, 0.8981]",0.8895,0.0067,0.8775,0.9027,0.0252,0.8895 ± 0.0067,"[0.8775, 0.9027]",0.8687,0.0068,0.8555,0.8814,0.0260,0.8687 ± 0.0068,"[0.8555, 0.8814]",0.2331,0.0198,0.1969,0.2721,0.0752,0.2331 ± 0.0198,"[0.1969, 0.2721]",0.9112,0.0069,0.8978,0.9242,0.0264,0.9112 ± 0.0069,"[0.8978, 0.9242]",200,200,2000
xgb_pca4,5000,efficient_su2_like,rx_embedding,0.4549999999999999,1194,411,122,273,0.8139059304703476,0.22889305816135083,103.4,4,0.8088,0.0078,0.7945,0.8240,0.0295,0.8088 ± 0.0078,"[0.7945, 0.8240]",0.8645,0.0056,0.8548,0.8753,0.0205,0.8645 ± 0.0056,"[0.8548, 0.8753]",0.8656,0.0073,0.8521,0.8778,0.0257,0.8656 ± 0.0073,"[0.8521, 0.8778]",0.8314,0.0075,0.8180,0.8453,0.0273,0.8314 ± 0.0075,"[0.8180, 0.8453]",0.2537,0.0194,0.2195,0.2927,0.0732,0.2537 ± 0.0194,"[0.2195, 0.2927]",0.9002,0.0070,0.8873,0.9125,0.0251,0.9002 ± 0.0070,"[0.8873, 0.9125]",200,200,2000
xgb_pca4,5000,custom_ansatz_1,rx_embedding,0.37999999999999995,1254,335,198,213,0.8548057259713702,0.3714821763602251,92.0,5,0.7892,0.0076,0.7755,0.8045,0.0290,0.7892 ± 0.0076,"[0.7755, 0.8045]",0.8576,0.0051,0.8486,0.8682,0.0196,0.8576 ± 0.0051,"[0.8486, 0.8682]",0.8496,0.0074,0.8351,0.8634,0.0283,0.8496 ± 0.0074,"[0.8351, 0.8634]",0.8655,0.0068,0.8541,0.8794,0.0253,0.8655 ± 0.0068,"[0.8541, 0.8794]",0.4208,0.0224,0.3752,0.4615,0.0863,0.4208 ± 0.0224,"[0.3752, 0.4615]",0.8499,0.0068,0.8375,0.8638,0.0263,0.8499 ± 0.0068,"[0.8375, 0.8638]",200,200,2000
xgb_pca4,5000,strongly_entangling,custom_h_ry_rz,0.4649999999999999,1358,210,323,109,0.9256987048398091,0.6060037523452158,105.6,5,0.7953,0.0070,0.7810,0.8120,0.0310,0.7953 ± 0.0070,"[0.7810, 0.8120]",0.8705,0.0043,0.8614,0.8804,0.0190,0.8705 ± 0.0043,"[0.8614, 0.8804]",0.8050,0.0106,0.7856,0.8260,0.0404,0.8050 ± 0.0106,"[0.7856, 0.8260]",0.9379,0.0059,0.9264,0.9489,0.0225,0.9379 ± 0.0059,"[0.9264, 0.9489]",0.5970,0.0217,0.5534,0.6343,0.0809,0.5970 ± 0.0217,"[0.5534, 0.6343]",0.8122,0.0056,0.8019,0.8240,0.0221,0.8122 ± 0.0056,"[0.8019, 0.8240]",200,200,2000
autoencoder,5000,strongly_entangling,rx_embedding,0.4749999999999999,1417,139,394,50,0.9659168370824812,0.7392120075046904,84.5,6,0.7753,0.0061,0.7640,0.7865,0.0225,0.7753 ± 0.0061,"[0.7640, 0.7865]",0.8628,0.0036,0.8562,0.8696,0.0134,0.8628 ± 0.0036,"[0.8562, 0.8696]",0.6084,0.0162,0.5798,0.6395,0.0597,0.6084 ± 0.0162,"[0.5798, 0.6395]",0.9631,0.0047,0.9536,0.9721,0.0184,0.9631 ± 0.0047,"[0.9536, 0.9721]",0.7418,0.0191,0.7035,0.7824,0.0789,0.7418 ± 0.0191,"[0.7035, 0.7824]",0.7814,0.0044,0.7723,0.7899,0.0176,0.7814 ± 0.0044,"[0.7723, 0.7899]",200,200,2000
pca4,5000,strongly_entangling,custom_h_ry_rz,0.43499999999999994,1217,222,311,250,0.8295841854124063,0.5834896810506567,103.7,5,0.7145,0.0039,0.7070,0.7220,0.0150,0.7145 ± 0.0039,"[0.7070, 0.7220]",0.8325,0.0025,0.8279,0.8371,0.0092,0.8325 ± 0.0025,"[0.8279, 0.8371]",0.0941,0.0081,0.0795,0.1103,0.0308,0.0941 ± 0.0081,"[0.0795, 0.1103]",0.9671,0.0047,0.9591,0.9768,0.0177,0.9671 ± 0.0047,"[0.9591, 0.9768]",0.9805,0.0059,0.9681,0.9907,0.0226,0.9805 ± 0.0059,"[0.9681, 0.9907]",0.7308,0.0016,0.7278,0.7338,0.0059,0.7308 ± 0.0016,"[0.7278, 0.7338]",200,200,2000
