feature_set,train_size,ansatz,encoding,accuracy,f1,auc,precision,recall,threshold,best_epoch,validation_accuracy,validation_f1,validation_auc
autoencoder,5000,efficient_su2_like,custom_h_ry_rz,0.987,0.991156462585034,0.9908135324864339,0.9891378139850645,0.9931833674164963,0.4699999999999999,16,0.989,0.9925322471147319,0.9893414268998677
autoencoder,5000,strongly_entangling,ry_embedding,0.9825,0.9882115190299764,0.9549641839032832,0.9766977363515313,1.0,0.4699999999999999,20,0.98,0.9865229110512129,0.9527721998252526
ica4,5000,efficient_su2_like,custom_h_ry_rz,0.9815,0.9874021109976167,0.9879641033314532,0.9863945578231292,0.9884117246080436,0.44499999999999995,20,0.975,0.9829816201497618,0.9848705489216242
autoencoder,5000,custom_ansatz_1,ry_embedding,0.9815,0.987537891545975,0.9536839870522348,0.9760319573901465,0.9993183367416496,0.4699999999999999,20,0.98,0.9865410497981157,0.9519291199779267
autoencoder,5000,real_amplitudes,ry_embedding,0.9805,0.9868109570510653,0.9547940878181788,0.9791946308724833,0.994546693933197,0.49499999999999994,13,0.979,0.98583951449764,0.9557970681259612
autoencoder,5000,strongly_entangling,rx_embedding,0.979,0.9858108108108108,0.9580335869427595,0.9772270596115205,0.994546693933197,0.48499999999999993,20,0.977,0.9844699527346388,0.9567934352182554
xgb_pca4,5000,strongly_entangling,custom_h_ry_rz,0.9775,0.984646878198567,0.973766835355942,0.985655737704918,0.983640081799591,0.43499999999999994,5,0.979,0.9857239972807614,0.9714936820107198
autoencoder,5000,custom_ansatz_1,custom_h_ry_rz,0.974,0.9821795750514051,0.981206300972873,0.9875947622329428,0.9768234492160872,0.49999999999999994,17,0.975,0.9828884325804244,0.9823821859783046
xgb_pca4,5000,custom_ansatz_1,iqp_embedding,0.9735,0.9819543752128022,0.9747247448878453,0.9809523809523809,0.9829584185412407,0.41999999999999993,19,0.966,0.976775956284153,0.9843289339894027
xgb_pca4,5000,efficient_su2_like,custom_h_ry_rz,0.9725,0.9812350733538041,0.9682009845110249,0.98224043715847,0.9802317655078391,0.4749999999999999,18,0.973,0.9816201497617427,0.9711360117724603
xgb_pca4,5000,custom_ansatz_1,custom_h_ry_rz,0.9715,0.980697595665425,0.9716399948331715,0.9744279946164199,0.9870483980913429,0.43499999999999994,6,0.971,0.9804713804713805,0.9709214096295048
autoencoder,5000,strongly_entangling,custom_h_ry_rz,0.971,0.9802047781569966,0.9795424287418901,0.9815447710184553,0.9788684389911384,0.48499999999999993,7,0.972,0.9809264305177112,0.9827807328152225
xgb_pca4,5000,real_amplitudes,custom_h_ry_rz,0.971,0.9803523035230353,0.9689312466508336,0.9744107744107744,0.9863667348329925,0.44499999999999995,1,0.974,0.9824324324324324,0.9700016861596945
autoencoder,5000,efficient_su2_like,amplitude_embedding,0.9655,0.9764263751281175,0.9526276008394817,0.9787671232876712,0.9740967961826857,0.42999999999999994,7,0.97,0.9796195652173914,0.9537481286182178
autoencoder,5000,custom_ansatz_1,amplitude_embedding,0.965,0.9762228260869565,0.953364257568956,0.97291807718348,0.9795501022494888,0.39499999999999996,20,0.97,0.979702300405954,0.9538043339413727
autoencoder,5000,strongly_entangling,amplitude_embedding,0.9635,0.9752626228397153,0.9531877668941862,0.9696765498652291,0.9809134287661895,0.39499999999999996,19,0.969,0.9790964261631827,0.9539474020366765
autoencoder,5000,real_amplitudes,custom_h_ry_rz,0.96,0.9728629579375848,0.9733422346021479,0.9682646860229575,0.9775051124744376,0.49999999999999994,4,0.958,0.9715447154471545,0.9805938347870073
