feature_set,train_size,ansatz,encoding,accuracy,f1,auc,precision,recall,threshold,best_epoch,validation_accuracy,validation_f1,validation_auc
autoencoder,5000,custom_ansatz_1,custom_h_ry_rz,0.9865,0.9908752957080095,0.9574043593196667,0.982573726541555,0.9993183367416496,0.4549999999999999,7,0.985,0.9898717083051992,0.9530532264410279
xgb_pca4,5000,efficient_su2_like,iqp_embedding,0.985,0.9898167006109979,0.9785857981279198,0.9858012170385395,0.9938650306748467,0.35999999999999993,18,0.987,0.9911864406779661,0.9877472395521969
xgb_pca4,5000,real_amplitudes,custom_h_ry_rz,0.9835,0.9888400405816706,0.9684311897389857,0.9812080536912752,0.9965916837082481,0.41999999999999993,16,0.982,0.9878542510121457,0.9717236128781724
autoencoder,5000,strongly_entangling,custom_h_ry_rz,0.9815,0.9875462807135644,0.9575539927178414,0.9753989361702128,1.0,0.44499999999999995,5,0.983,0.9885367498314228,0.9541313467306385
autoencoder,5000,real_amplitudes,custom_h_ry_rz,0.975,0.9832327297116029,0.9582215878789274,0.9676567656765677,0.9993183367416496,0.4499999999999999,1,0.976,0.9838492597577388,0.9578715555078662
autoencoder,5000,efficient_su2_like,custom_h_ry_rz,0.974,0.9825503355704698,0.9614994545415014,0.9676140118968936,0.9979550102249489,0.4699999999999999,20,0.969,0.9791526563550773,0.9564408745548283
autoencoder,5000,efficient_su2_like,iqp_embedding,0.9705,0.9801946962067808,0.959560614954899,0.9656084656084656,0.9952283571915473,0.4749999999999999,20,0.979,0.9858585858585859,0.9579481991303505
xgb_pca4,5000,strongly_entangling,custom_h_ry_rz,0.9665,0.9773877826527169,0.9555486493987169,0.9679144385026738,0.9870483980913429,0.4149999999999999,1,0.967,0.9778374748153122,0.9545758797410467
xgb_pca4,5000,custom_ansatz_1,custom_h_ry_rz,0.9665,0.9774638412378069,0.9542786838911334,0.9648074369189907,0.9904567143830948,0.41999999999999993,2,0.969,0.9791806581598388,0.953681704145398
autoencoder,5000,real_amplitudes,ry_embedding,0.9665,0.9771564950562563,0.9532645019701732,0.9774897680763983,0.9768234492160872,0.4799999999999999,20,0.966,0.9769959404600812,0.9517809423077905
xgb_pca4,5000,real_amplitudes,amplitude_embedding,0.9645,0.9762303314362236,0.9323375678306097,0.9592105263157895,0.9938650306748467,0.27999999999999997,20,0.966,0.9772423025435074,0.9331309941699751
xgb_pca4,5000,efficient_su2_like,custom_h_ry_rz,0.9635,0.9749054657958062,0.9627834881463493,0.9833564493758669,0.9665985003408316,0.4499999999999999,13,0.971,0.9802047781569966,0.9729090342392609
autoencoder,5000,strongly_entangling,iqp_embedding,0.953,0.9681355932203389,0.9541955542254809,0.9629130141604855,0.9734151329243353,0.4549999999999999,20,0.962,0.9743935309973046,0.9529357062198855
autoencoder,5000,real_amplitudes,zz_feature_map,0.9515,0.967438737831487,0.9302529315996322,0.953042328042328,0.9822767552828903,0.4649999999999999,17,0.946,0.9634641407307172,0.9248228254926908
xgb_pca4,5000,custom_ansatz_1,amplitude_embedding,0.9515,0.967720465890183,0.9277999670039172,0.9453836150845254,0.9911383776414451,0.26499999999999996,20,0.958,0.9720372836218375,0.9326302558364119
xgb_pca4,5000,efficient_su2_like,amplitude_embedding,0.9505,0.9671641791044776,0.9221273265115851,0.9418604651162791,0.9938650306748467,0.27999999999999997,10,0.954,0.9694148936170213,0.9257885351359914
xgb_pca4,5000,real_amplitudes,ry_embedding,0.9495,0.9650639916983743,0.9685040880611732,0.9796348314606742,0.950920245398773,0.42499999999999993,20,0.95,0.9655172413793104,0.9666906816683785
autoencoder,5000,custom_ansatz_1,amplitude_embedding,0.9485,0.9643968199101279,0.9471026753684244,0.9782608695652174,0.950920245398773,0.36999999999999994,20,0.961,0.9733424470266575,0.9470085994144427
autoencoder,5000,strongly_entangling,amplitude_embedding,0.9475,0.9636552440290758,0.9487588740918084,0.9789029535864979,0.9488752556237219,0.36999999999999994,20,0.961,0.973305954825462,0.9485108144151325
xgb_pca4,5000,strongly_entangling,amplitude_embedding,0.9465,0.964534305601591,0.9181249528399013,0.9387096774193548,0.9918200408997955,0.26999999999999996,20,0.953,0.9688122096881221,0.9278860156046416
