feature_set,train_size,ansatz,encoding,accuracy,f1,auc,precision,recall,TPR,FPR,TP,TN,FP,FN,threshold,best_epoch,validation_accuracy,validation_f1,validation_auc
autoencoder,5000,custom_ansatz_1,ZZ_Feature_Map_style,0.947,0.9633724948168624,0.9739215844258492,0.97687456201822,0.9502385821404228,0.9502385821404228,0.0619136960600375,1394,500,33,73,0.4899999999999999,13,0.949,0.9650924024640656,0.976306901502726
pca4,5000,Real_Amplitude_like,ZZ_Feature_Map_style,0.9395,0.9600528227137668,0.972590230857476,0.9308578745198464,0.9911383776414452,0.9911383776414452,0.2026266416510319,1454,425,108,13,0.3799999999999999,18,0.931,0.9543348775645268,0.964278962347543
pca4,5000,strongly_entangling,ZZ_Feature_Map_style,0.9405,0.9595650696568128,0.977776243076258,0.956639566395664,0.9625085207907292,0.9625085207907292,0.1200750469043152,1412,469,64,55,0.4049999999999999,20,0.939,0.9588116137744768,0.9707681223845364
pca4,5000,strongly_entangling,rx_embedding,0.942,0.959412176347096,0.9683071346994734,0.9856218547807332,0.934560327198364,0.934560327198364,0.0375234521575985,1371,513,20,96,0.5149999999999999,15,0.942,0.9595536959553695,0.9684330466861852
autoencoder,5000,EfficientSU2_like,ZZ_Feature_Map_style,0.94,0.9593220338983052,0.9672724900915832,0.9541469993256912,0.9645535105657804,0.9645535105657804,0.1275797373358349,1415,465,68,52,0.4199999999999999,15,0.938,0.95822102425876,0.976179162131919
pca4,5000,strongly_entangling,IQP_style_encoding,0.939,0.9591700133868808,0.975965295282967,0.9421433267587114,0.9768234492160872,0.9768234492160872,0.1651031894934334,1433,445,88,34,0.4299999999999999,5,0.939,0.9590878604963112,0.97252581612684
xgb_pca4,5000,custom_ansatz_1,ZZ_Feature_Map_style,0.938,0.9571527297857636,0.9759959893133616,0.9705676243868256,0.9441036128152692,0.9441036128152692,0.0787992495309568,1385,491,42,82,0.3949999999999999,20,0.936,0.955617198335645,0.9666906816683783
xgb_pca4,5000,Real_Amplitude_like,amplitude_embedding,0.9335,0.9559164733178654,0.9358571499825428,0.9303225806451612,0.9829584185412408,0.9829584185412408,0.2026266416510319,1442,425,108,25,0.3899999999999999,20,0.941,0.9608493696084937,0.9409230957891992
xgb_pca4,5000,EfficientSU2_like,ZZ_Feature_Map_style,0.9335,0.9557109557109555,0.9721323782374208,0.9342447916666666,0.978186775732788,0.978186775732788,0.1894934333958724,1435,432,101,32,0.3599999999999999,20,0.93,0.9533333333333334,0.9696746733704288
xgb_pca4,5000,Real_Amplitude_like,ZZ_Feature_Map_style,0.9335,0.9541853255253188,0.978675322383238,0.964484679665738,0.9441036128152692,0.9441036128152692,0.0956848030018761,1385,482,51,82,0.4099999999999999,8,0.927,0.9491997216423104,0.9692710169586788
ica4,5000,custom_ansatz_1,custom_h_ry_rz,0.9295,0.9537856440511308,0.922149068116448,0.918560606060606,0.9918200408997956,0.9918200408997956,0.2420262664165103,1455,404,129,12,0.4549999999999999,20,0.931,0.9544554455445544,0.932063093030029
autoencoder,5000,EfficientSU2_like,custom_h_ry_rz,0.932,0.9528105482303956,0.9570859087543212,0.9703180212014134,0.9359236537150648,0.9359236537150648,0.0787992495309568,1373,491,42,94,0.5249999999999999,20,0.934,0.9544198895027624,0.9454757269647592
autoencoder,5000,EfficientSU2_like,rx_embedding,0.9275,0.9516505501833944,0.9375721789308504,0.9314621409921672,0.972733469665985,0.972733469665985,0.1969981238273921,1427,428,105,40,0.4599999999999999,20,0.942,0.9611780455153948,0.9465845047033636
autoencoder,5000,Real_Amplitude_like,ZZ_Feature_Map_style,0.928,0.9498607242339832,0.9566344507239316,0.9708185053380785,0.9297886843899114,0.9297886843899114,0.0769230769230769,1364,492,41,103,0.4799999999999999,7,0.933,0.9535689535689535,0.960620506767632
ica4,5000,Real_Amplitude_like,IQP_style_encoding,0.9245,0.948969246367016,0.9721362149912202,0.941018766756032,0.9570552147239264,0.9570552147239264,0.1651031894934334,1404,445,88,63,0.3899999999999999,20,0.909,0.9382213170400544,0.9609015333834072
autoencoder,5000,strongly_entangling,ZZ_Feature_Map_style,0.9265,0.9487983281086728,0.9634536411433016,0.97008547008547,0.9284253578732108,0.9284253578732108,0.0787992495309568,1362,491,42,105,0.4549999999999999,20,0.94,0.9587912087912088,0.9686834158529668
pca4,5000,Real_Amplitude_like,IQP_style_encoding,0.921,0.9472277889111556,0.9665780376539018,0.928618205631958,0.9665985003408316,0.9665985003408316,0.2045028142589118,1418,424,109,49,0.4249999999999999,20,0.92,0.9464524765729584,0.965030069847888
ica4,5000,custom_ansatz_1,ZZ_Feature_Map_style,0.92,0.9465597862391448,0.951119756596339,0.9279633267845449,0.9659168370824812,0.9659168370824812,0.2063789868667917,1417,423,110,50,0.3999999999999999,20,0.922,0.9475100942126514,0.938490938169035
autoencoder,5000,Real_Amplitude_like,IQP_style_encoding,0.922,0.946058091286307,0.9619432390642924,0.96,0.9325153374233128,0.9325153374233128,0.1069418386491557,1368,476,57,99,0.5349999999999999,3,0.934,0.9546703296703296,0.9624088579589292
autoencoder,5000,EfficientSU2_like,IQP_style_encoding,0.9205,0.9452290733723734,0.9545664404260844,0.9554317548746518,0.9352419904567144,0.9352419904567144,0.1200750469043152,1372,469,64,95,0.4599999999999999,19,0.934,0.9551020408163264,0.9582036778719644
ica4,5000,strongly_entangling,ZZ_Feature_Map_style,0.919,0.9444825222755312,0.9601681009731288,0.9496898690558236,0.9393319700068168,0.9393319700068168,0.1369606003752345,1378,460,73,89,0.4549999999999999,10,0.904,0.9346049046321526,0.9511882316272464
pca4,5000,EfficientSU2_like,IQP_style_encoding,0.915,0.94314381270903,0.96574801991531,0.9258043335521996,0.9611451942740288,0.9611451942740288,0.2120075046904315,1410,420,113,57,0.4299999999999999,20,0.912,0.941018766756032,0.9625723643535622
xgb_pca4,5000,strongly_entangling,ry_embedding,0.919,0.94311797752809,0.9583418061646404,0.9724837074583637,0.9154737559645536,0.9154737559645536,0.0712945590994371,1343,495,38,124,0.4399999999999999,20,0.916,0.94109396914446,0.9518371476309456
ica4,5000,custom_ansatz_1,IQP_style_encoding,0.917,0.9426399447131996,0.9645100273560544,0.9558514365802384,0.9297886843899114,0.9297886843899114,0.1181988742964352,1364,470,63,103,0.4199999999999999,10,0.898,0.9284712482468443,0.9518933529541008
ica4,5000,strongly_entangling,custom_h_ry_rz,0.9105,0.9414458619561662,0.9587293182983742,0.9050314465408804,0.9809134287661896,0.9809134287661896,0.2833020637898686,1439,382,151,28,0.4049999999999999,20,0.926,0.95112285336856,0.9587555119538504
xgb_pca4,5000,Real_Amplitude_like,ry_embedding,0.915,0.9400564174894216,0.9548452445355036,0.9737034331628928,0.9086571233810498,0.9086571233810498,0.0675422138836773,1333,497,36,134,0.4549999999999999,20,0.918,0.9422535211267604,0.9500181389906546
ica4,5000,Real_Amplitude_like,ZZ_Feature_Map_style,0.912,0.9399727148703956,0.940890970967284,0.9406143344709896,0.9393319700068168,0.9393319700068168,0.1632270168855534,1378,446,87,89,0.4649999999999999,17,0.909,0.937968643490116,0.9354354124193324
autoencoder,5000,Real_Amplitude_like,custom_h_ry_rz,0.9085,0.9384873949579832,0.9575910813379016,0.9257294429708224,0.9516019086571234,0.9516019086571234,0.2101313320825516,1396,421,112,71,0.5099999999999999,20,0.919,0.9458917835671342,0.9526955562027684
xgb_pca4,5000,strongly_entangling,ZZ_Feature_Map_style,0.91,0.9379310344827586,0.9435830932164916,0.9490579204466156,0.92706203135651,0.92706203135651,0.1369606003752345,1360,460,73,107,0.3899999999999999,20,0.89,0.922425952045134,0.9160394663560044
ica4,5000,Real_Amplitude_like,custom_h_ry_rz,0.907,0.937917222963952,0.8820773719771178,0.9189012426422498,0.9577368779822768,0.9577368779822768,0.2326454033771107,1405,409,124,62,0.4149999999999999,20,0.913,0.942115768463074,0.8957340159725309
autoencoder,5000,custom_ansatz_1,IQP_style_encoding,0.909,0.9365853658536586,0.958761291246702,0.9579472558802566,0.916155419222904,0.916155419222904,0.1106941838649155,1344,474,59,123,0.585,20,0.92,0.9449793672627236,0.9581525821236416
autoencoder,5000,strongly_entangling,ry_embedding,0.8975,0.9301056938288442,0.9388447022742996,0.9304229195088676,0.9297886843899114,0.9297886843899114,0.1913696060037523,1364,431,102,103,0.5099999999999999,20,0.915,0.9426063470627954,0.9316492174686144
xgb_pca4,5000,strongly_entangling,rx_embedding,0.8995,0.9283422459893048,0.9493036931313156,0.9730941704035876,0.8875255623721882,0.8875255623721882,0.0675422138836773,1302,497,36,165,0.4299999999999999,20,0.904,0.9317211948790896,0.9396916882546202
pca4,5000,EfficientSU2_like,custom_h_ry_rz,0.8975,0.928246412320616,0.9289356461285236,0.953956834532374,0.9038854805725972,0.9038854805725972,0.1200750469043152,1326,469,64,141,0.4749999999999999,20,0.909,0.9371980676328504,0.9289718002565006
pca4,5000,custom_ansatz_1,IQP_style_encoding,0.8875,0.928092042186002,0.9362395464445442,0.8736462093862816,0.9897750511247444,0.9897750511247444,0.3939962476547842,1452,323,210,15,0.4049999999999999,14,0.883,0.9256198347107438,0.9385164860431964
ica4,5000,strongly_entangling,ry_embedding,0.884,0.9238845144356956,0.942423114651156,0.8905755850727388,0.959781867757328,0.959781867757328,0.324577861163227,1408,360,173,59,0.3649999999999999,19,0.879,0.920655737704918,0.936452217810956
pca4,5000,EfficientSU2_like,amplitude_embedding,0.8845,0.9228199131306382,0.9430254849976532,0.9049803407601572,0.9413769597818678,0.9413769597818678,0.2720450281425891,1381,388,145,86,0.4249999999999999,14,0.881,0.9208250166334,0.925839630884314
pca4,5000,custom_ansatz_1,amplitude_embedding,0.883,0.9217914438502672,0.938269189204398,0.9042622950819672,0.940013633265167,0.940013633265167,0.273921200750469,1379,387,146,88,0.4299999999999999,19,0.872,0.9140939597315436,0.9193044846738304
ica4,5000,EfficientSU2_like,ZZ_Feature_Map_style,0.884,0.9191073919107392,0.9419396836724384,0.940756602426838,0.8984321745057942,0.8984321745057942,0.1557223264540337,1318,450,83,149,0.4599999999999999,20,0.899,0.9301038062283736,0.944479359872465
pca4,5000,Real_Amplitude_like,amplitude_embedding,0.8795,0.9186085781830464,0.9385876397697436,0.9103078982597056,0.92706203135651,0.92706203135651,0.2514071294559099,1360,399,134,107,0.4349999999999999,20,0.878,0.9172320217096336,0.9201833315449822
pca4,5000,strongly_entangling,amplitude_embedding,0.878,0.917400135409614,0.9367549503715896,0.9112306657700068,0.923653715064758,0.923653715064758,0.24765478424015,1355,401,132,112,0.4099999999999999,20,0.883,0.9212121212121211,0.920254865592634
ica4,5000,strongly_entangling,rx_embedding,0.8695,0.914622178606477,0.919866839064804,0.879245283018868,0.952965235173824,0.952965235173824,0.3602251407129456,1398,341,192,69,0.3599999999999999,19,0.866,0.912303664921466,0.910684631931777
autoencoder,5000,Real_Amplitude_like,amplitude_embedding,0.873,0.9121107266435986,0.9180130475207536,0.9262122276879832,0.8984321745057942,0.8984321745057942,0.1969981238273921,1318,428,105,149,0.4999999999999999,20,0.895,0.9273356401384084,0.9341988953099212
autoencoder,5000,strongly_entangling,rx_embedding,0.8585,0.909958638243716,0.8962394697094683,0.8532219570405728,0.974778459441036,0.974778459441036,0.4615384615384615,1430,287,246,37,0.4899999999999999,20,0.861,0.91163382072473,0.8930872562094107
xgb_pca4,5000,custom_ansatz_1,ry_embedding,0.871,0.9075931232091692,0.9182502867973464,0.9562264150943396,0.863667348329925,0.863667348329925,0.1088180112570356,1267,475,58,200,0.4299999999999999,20,0.868,0.906515580736544,0.9086561307233626
autoencoder,5000,strongly_entangling,custom_h_ry_rz,0.8665,0.9059528002817894,0.9015591288522606,0.9373177842565598,0.8766189502385822,0.8766189502385822,0.1613508442776735,1286,447,86,181,0.5049999999999999,20,0.864,0.904494382022472,0.8995764162464042
pca4,5000,strongly_entangling,ry_embedding,0.858,0.900070372976777,0.9175264192472034,0.9301818181818182,0.8718473074301295,0.8718473074301295,0.1801125703564728,1279,437,96,188,0.4999999999999999,13,0.861,0.9024561403508772,0.9051049762149292
autoencoder,5000,custom_ansatz_1,amplitude_embedding,0.853,0.8964059196617337,0.9028188630163791,0.9277899343544858,0.8670756646216768,0.8670756646216768,0.1857410881801125,1272,434,99,195,0.5349999999999999,20,0.871,0.9085754783841248,0.9170664908972924
xgb_pca4,5000,custom_ansatz_1,custom_h_ry_rz,0.855,0.89568345323741,0.8982774254358872,0.9482102056359482,0.8486707566462167,0.8486707566462167,0.1275797373358349,1245,465,68,222,0.4849999999999999,20,0.866,0.9048295454545454,0.9167956834311818
xgb_pca4,5000,EfficientSU2_like,ry_embedding,0.853,0.895448079658606,0.9027683457580212,0.9360594795539032,0.858214042263122,0.858214042263122,0.1613508442776735,1259,447,86,208,0.4249999999999999,20,0.847,0.8926315789473684,0.8931638998318949
autoencoder,5000,custom_ansatz_1,custom_h_ry_rz,0.8455,0.8934850051706308,0.8821796854117667,0.9037656903765692,0.8834355828220859,0.8834355828220859,0.2589118198874296,1296,395,138,171,0.4949999999999999,20,0.882,0.9190672153635115,0.9112466851633276
