feature_set,train_size,ansatz,encoding,accuracy,f1,auc,precision,recall,TPR,FPR,TP,TN,FP,FN,threshold,best_epoch,validation_accuracy,validation_f1,validation_auc
xgb_pca4,5000,EfficientSU2_like,IQP_style_encoding,0.903,0.9411764705882352,0.7454546875000001,0.9140164899882216,0.97,0.97,0.365,1552,254,146,48,0.3949999999999999,2,0.909,0.9447480267152398,0.7712125
ica4,5000,Real_Amplitude_like,custom_h_ry_rz,0.9015,0.9391035548686244,0.9294171875,0.929051987767584,0.949375,0.949375,0.29,1519,284,116,81,0.565,5,0.909,0.9435833849969002,0.93853125
autoencoder,5000,custom_ansatz_1,ry_embedding,0.9,0.9406175771971496,0.7096484375,0.8959276018099548,0.99,0.99,0.46,1584,216,184,16,0.4499999999999999,2,0.907,0.9444776119402986,0.7369375
autoencoder,5000,Real_Amplitude_like,ry_embedding,0.898,0.9392857142857144,0.7043140625000001,0.8965909090909091,0.98625,0.98625,0.455,1578,218,182,22,0.4449999999999999,8,0.906,0.9437125748502994,0.7312875
ica4,5000,EfficientSU2_like,ry_embedding,0.887,0.9294631710362048,0.7277921875,0.9283042394014964,0.930625,0.930625,0.2875,1489,285,115,111,0.595,1,0.89,0.9311639549436797,0.756075
xgb_pca4,5000,custom_ansatz_1,IQP_style_encoding,0.8865,0.9320562705776714,0.7020328124999999,0.8943136128661688,0.973125,0.973125,0.46,1557,216,184,43,0.2549999999999999,8,0.895,0.9367850692354004,0.7335562499999999
ica4,5000,EfficientSU2_like,rx_embedding,0.886,0.9288833437305052,0.7033171875,0.927148194271482,0.930625,0.930625,0.2925,1489,283,117,111,0.615,5,0.889,0.9305816135084428,0.7296187500000001
pca4,5000,custom_ansatz_1,rx_embedding,0.8855,0.926342875522676,0.89149765625,0.9542743538767396,0.9,0.9,0.1725,1440,331,69,160,0.5099999999999999,19,0.889,0.9282482223658696,0.89278125
autoencoder,5000,custom_ansatz_1,rx_embedding,0.8855,0.932627243306855,0.6913078125,0.8810450250138966,0.990625,0.990625,0.535,1585,186,214,15,0.4749999999999999,2,0.897,0.939304655274013,0.71704375
xgb_pca4,5000,Real_Amplitude_like,amplitude_embedding,0.885,0.9283042394014964,0.7634328125000001,0.925995024875622,0.930625,0.930625,0.2975,1489,281,119,111,0.565,20,0.89,0.9311639549436797,0.7889
ica4,5000,strongly_entangling,ry_embedding,0.885,0.9282595134123518,0.6748281249999999,0.9265255292652552,0.93,0.93,0.295,1488,282,118,112,0.59,1,0.889,0.9305816135084428,0.7023625
xgb_pca4,5000,EfficientSU2_like,amplitude_embedding,0.884,0.9276807980049876,0.763815625,0.9253731343283582,0.93,0.93,0.3,1488,280,120,112,0.4249999999999999,8,0.891,0.9317470256731372,0.7928875
xgb_pca4,5000,custom_ansatz_1,amplitude_embedding,0.884,0.9277258566978192,0.7628546875000001,0.9248447204968944,0.930625,0.930625,0.3025,1489,279,121,111,0.5599999999999999,19,0.888,0.93,0.78790625
ica4,5000,strongly_entangling,rx_embedding,0.884,0.9276807980049876,0.6717453125,0.9253731343283582,0.93,0.93,0.3,1488,280,120,112,0.585,1,0.889,0.9305816135084428,0.6973625
xgb_pca4,5000,strongly_entangling,amplitude_embedding,0.8835,0.9274369355341016,0.7740539062500001,0.9242706393544382,0.930625,0.930625,0.305,1489,278,122,111,0.4699999999999999,1,0.887,0.929419113054341,0.7889
autoencoder,5000,EfficientSU2_like,ry_embedding,0.8835,0.927346429685064,0.6761546875000001,0.925326695706285,0.929375,0.929375,0.3,1487,280,120,113,0.5349999999999999,14,0.887,0.929419113054341,0.6939125
autoencoder,5000,Real_Amplitude_like,rx_embedding,0.8825,0.929535232383808,0.6886953125,0.8933717579250721,0.96875,0.96875,0.4625,1550,215,185,50,0.4649999999999999,1,0.894,0.9362214199759326,0.7139437500000001
xgb_pca4,5000,strongly_entangling,IQP_style_encoding,0.88,0.9282296650717704,0.7859156250000001,0.8899082568807339,0.97,0.97,0.48,1552,208,192,48,0.2099999999999999,1,0.893,0.9356584485868912,0.8141562499999999
pca4,5000,custom_ansatz_1,amplitude_embedding,0.8785,0.9245575908103072,0.64938125,0.918568784700802,0.930625,0.930625,0.33,1489,268,132,111,0.4599999999999999,20,0.882,0.9266169154228856,0.67039375
autoencoder,5000,strongly_entangling,rx_embedding,0.8765,0.9269446909198462,0.700534375,0.879842784952274,0.979375,0.979375,0.535,1567,186,214,33,0.4799999999999999,14,0.885,0.9317507418397626,0.72146875
autoencoder,5000,EfficientSU2_like,rx_embedding,0.876,0.9230291744258224,0.6688578125000001,0.9167694204685574,0.929375,0.929375,0.3375,1487,265,135,113,0.5449999999999999,20,0.88,0.9253731343283582,0.6796749999999999
