feature_set,train_size,ansatz,encoding,accuracy,f1,auc,precision,recall,TPR,FPR,TP,TN,FP,FN,threshold,best_epoch,validation_accuracy,validation_f1,validation_auc
pca4,5000,strongly_entangling,ZZ_Feature_Map_style,0.925,0.9517684887459807,0.9130515625,0.9801324503311258,0.925,0.925,0.075,1480,370,30,120,0.6599999999999999,7,0.92,0.9484536082474226,0.9162
pca4,5000,EfficientSU2_like,IQP_style_encoding,0.9235,0.9508828250401284,0.91156875,0.9775577557755776,0.925625,0.925625,0.085,1481,366,34,119,0.5549999999999999,6,0.916,0.945945945945946,0.91931875
pca4,5000,Real_Amplitude_like,custom_h_ry_rz,0.922,0.9492847854356308,0.9089398437499998,0.989159891598916,0.9125,0.9125,0.04,1460,384,16,140,0.5449999999999999,20,0.921,0.9485342019543974,0.9133875
autoencoder,5000,strongly_entangling,ZZ_Feature_Map_style,0.921,0.9495851946394384,0.929053125,0.970013037809648,0.93,0.93,0.115,1488,354,46,112,0.57,20,0.931,0.9560229445506692,0.9323875
ica4,5000,custom_ansatz_1,amplitude_embedding,0.9205,0.9490547901313682,0.91280390625,0.9737015121630508,0.925625,0.925625,0.1,1481,360,40,119,0.5499999999999999,13,0.916,0.9460154241645244,0.92548125
autoencoder,5000,Real_Amplitude_like,custom_h_ry_rz,0.9165,0.9483451902257964,0.8624515625,0.9387630128597672,0.958125,0.958125,0.25,1533,300,100,67,0.5099999999999999,14,0.917,0.9485430874147552,0.88148125
xgb_pca4,5000,Real_Amplitude_like,ZZ_Feature_Map_style,0.916,0.9490909090909092,0.9463734375,0.9211764705882352,0.97875,0.97875,0.335,1566,266,134,34,0.5049999999999999,20,0.92,0.9515151515151516,0.947
autoencoder,5000,strongly_entangling,IQP_style_encoding,0.916,0.947858472998138,0.917434375,0.941430332922318,0.954375,0.954375,0.2375,1527,305,95,73,0.5549999999999999,19,0.929,0.9556527170518426,0.94211875
xgb_pca4,5000,custom_ansatz_1,custom_h_ry_rz,0.916,0.9486866218692732,0.8448765625,0.9277180406212664,0.970625,0.970625,0.3025,1553,279,121,47,0.5149999999999999,5,0.922,0.9522058823529412,0.8699625000000002
autoencoder,5000,custom_ansatz_1,custom_h_ry_rz,0.9155,0.9465697122984508,0.834796875,0.9577735124760076,0.935625,0.935625,0.165,1497,334,66,103,0.5149999999999999,8,0.914,0.9454314720812182,0.8608500000000001
xgb_pca4,5000,Real_Amplitude_like,custom_h_ry_rz,0.9155,0.9483338428615102,0.8341999999999999,0.9281867145421904,0.969375,0.969375,0.3,1551,280,120,49,0.4799999999999999,3,0.922,0.9522058823529412,0.8601375000000001
xgb_pca4,5000,EfficientSU2_like,custom_h_ry_rz,0.915,0.9480757483200978,0.7877609375000001,0.927120669056153,0.97,0.97,0.305,1552,278,122,48,0.4899999999999999,18,0.919,0.9504587155963304,0.80945625
xgb_pca4,5000,strongly_entangling,custom_h_ry_rz,0.9145,0.9478499542543458,0.7393328125000002,0.9255509231685528,0.97125,0.97125,0.3125,1554,275,125,46,0.4649999999999999,18,0.916,0.9487179487179488,0.7615374999999999
autoencoder,5000,strongly_entangling,custom_h_ry_rz,0.9125,0.9447426586675088,0.8831390625000001,0.9546904913848118,0.935,0.935,0.1775,1496,329,71,104,0.4149999999999999,19,0.919,0.9486366518706404,0.9045125
autoencoder,5000,EfficientSU2_like,IQP_style_encoding,0.9105,0.944599195295574,0.937225,0.9356223175965666,0.95375,0.95375,0.2625,1526,295,105,74,0.4799999999999999,11,0.917,0.9486068111455108,0.92956875
autoencoder,5000,custom_ansatz_1,IQP_style_encoding,0.9065,0.9423017587164456,0.9164562500000002,0.9305301645338208,0.954375,0.954375,0.285,1527,286,114,73,0.5099999999999999,16,0.918,0.9491945477075588,0.93130625
pca4,5000,Real_Amplitude_like,IQP_style_encoding,0.9065,0.9406160685932042,0.9091609375,0.9561007101355712,0.925625,0.925625,0.17,1481,332,68,119,0.5149999999999999,8,0.907,0.9405750798722043,0.91404375
pca4,5000,strongly_entangling,IQP_style_encoding,0.906,0.9403174603174604,0.9049312500000002,0.955483870967742,0.925625,0.925625,0.1725,1481,331,69,119,0.5299999999999999,17,0.906,0.9399744572158364,0.9081375
pca4,5000,custom_ansatz_1,ry_embedding,0.9055,0.9402087946852262,0.90791875,0.951953875720692,0.92875,0.92875,0.1875,1486,325,75,114,0.5049999999999999,19,0.911,0.9434920634920636,0.9170437500000002
ica4,5000,Real_Amplitude_like,ZZ_Feature_Map_style,0.905,0.939911448450348,0.94114921875,0.9513444302176696,0.92875,0.92875,0.19,1486,324,76,114,0.4299999999999999,12,0.91,0.9428934010152284,0.95300625
pca4,5000,custom_ansatz_1,IQP_style_encoding,0.905,0.9397208121827412,0.89904765625,0.9542525773195876,0.925625,0.925625,0.1775,1481,329,71,119,0.5099999999999999,8,0.906,0.9399744572158364,0.90099375
