feature_set,train_size,ansatz,encoding,accuracy,f1,auc,precision,recall,threshold,best_epoch,validation_accuracy,validation_f1,validation_auc
xgb_pca4,5000,real_amplitudes,zz_feature_map,0.962,0.9767156862745098,0.979121875,0.9579326923076923,0.99625,0.4149999999999999,3,0.954,0.9719512195121951,0.9794125
xgb_pca4,5000,efficient_su2_like,custom_h_ry_rz,0.956,0.9720989220038047,0.946265625,0.9864864864864865,0.958125,0.5099999999999999,20,0.959,0.974001268230818,0.9533343749999998
ica4,5000,real_amplitudes,iqp_embedding,0.9525,0.9696388622563119,0.9650671875000001,0.9921517331589274,0.948125,0.59,12,0.954,0.9706632653061225,0.9701375
xgb_pca4,5000,efficient_su2_like,zz_feature_map,0.9435,0.9655802619555285,0.8702812500000002,0.9417706476530006,0.990625,0.49499999999999994,16,0.934,0.9599514563106796,0.8282125
autoencoder,5000,efficient_su2_like,custom_h_ry_rz,0.9425,0.962843295638126,0.974190625,0.9966555183946488,0.93125,0.5399999999999999,14,0.937,0.9592760180995475,0.9704437499999999
autoencoder,5000,custom_ansatz_1,iqp_embedding,0.942,0.9627488760436738,0.9397375000000001,0.9900924702774109,0.936875,0.585,19,0.949,0.9672447013487476,0.95415
ica4,5000,efficient_su2_like,custom_h_ry_rz,0.9405,0.9621621621621622,0.9307078125,0.9792880258899677,0.945625,0.5549999999999999,13,0.94,0.9617346938775511,0.9465749999999999
ica4,5000,strongly_entangling,custom_h_ry_rz,0.94,0.9618320610687023,0.9358265625000001,0.9792746113989638,0.945,0.49499999999999994,14,0.938,0.9605095541401274,0.94395
ica4,5000,strongly_entangling,iqp_embedding,0.936,0.9586028460543338,0.9521453125000002,0.9932975871313673,0.92625,0.59,20,0.93,0.9545454545454546,0.9491999999999999
xgb_pca4,5000,strongly_entangling,amplitude_embedding,0.9345,0.9577827908475669,0.9005515625000001,0.9886892880904857,0.92875,0.31999999999999995,20,0.932,0.9561290322580646,0.9040124999999999
ica4,5000,strongly_entangling,zz_feature_map,0.934,0.9573367808661927,0.9141781250000001,0.9912985274431058,0.925625,0.605,13,0.931,0.9551656920077972,0.9227375000000001
ica4,5000,real_amplitudes,amplitude_embedding,0.934,0.9573367808661927,0.9118031249999999,0.9912985274431058,0.925625,0.57,20,0.932,0.9558441558441558,0.9245249999999999
ica4,5000,strongly_entangling,amplitude_embedding,0.934,0.9573367808661927,0.9114718749999999,0.9912985274431058,0.925625,0.57,19,0.932,0.9558441558441558,0.9243875
ica4,5000,custom_ansatz_1,amplitude_embedding,0.9335,0.9569996766892984,0.9118437499999998,0.9912926992632284,0.925,0.5599999999999999,19,0.932,0.9558441558441558,0.9245312499999999
xgb_pca4,5000,strongly_entangling,zz_feature_map,0.9325,0.9572649572649573,0.926275,0.9698524695317511,0.945,0.5099999999999999,17,0.925,0.952561669829222,0.9150937499999999
ica4,5000,real_amplitudes,zz_feature_map,0.932,0.9560723514211886,0.9116328125,0.9893048128342246,0.925,0.605,2,0.927,0.9526895657809462,0.9207187499999999
xgb_pca4,5000,custom_ansatz_1,amplitude_embedding,0.932,0.9561007101355713,0.9003640625000001,0.9886515353805073,0.925625,0.32499999999999996,19,0.928,0.9533678756476683,0.9042125
pca4,5000,real_amplitudes,zz_feature_map,0.925,0.9519230769230769,0.9093421875,0.9769736842105263,0.928125,0.5349999999999999,18,0.925,0.9519538757206919,0.9189499999999999
autoencoder,5000,real_amplitudes,custom_h_ry_rz,0.925,0.9551435406698564,0.8629421875,0.9157110091743119,0.998125,0.41999999999999993,10,0.936,0.9614457831325302,0.8676999999999999
pca4,5000,efficient_su2_like,zz_feature_map,0.9245,0.9514625522340083,0.9082046875000002,0.9794837855724685,0.925,0.5349999999999999,19,0.922,0.9496774193548387,0.91956875
ica4,5000,efficient_su2_like,zz_feature_map,0.9235,0.9508512688724703,0.9120390625,0.9781890284203569,0.925,0.5449999999999999,15,0.918,0.9471649484536082,0.9179937499999999
pca4,5000,efficient_su2_like,custom_h_ry_rz,0.9235,0.9508828250401284,0.903034375,0.9775577557755776,0.925625,0.5549999999999999,3,0.917,0.9465550547327752,0.91231875
