feature_set,train_size,ansatz,encoding,threshold,TP,TN,FP,FN,TPR_point,FPR_point,elapsed_s,gpu_id,accuracy_mean_B,accuracy_std_B,accuracy_ci_low_B,accuracy_ci_high_B,accuracy_ci_width_B,accuracy_pm_B,accuracy_ci_str_B,f1_mean_B,f1_std_B,f1_ci_low_B,f1_ci_high_B,f1_ci_width_B,f1_pm_B,f1_ci_str_B,auc_mean_B,auc_std_B,auc_ci_low_B,auc_ci_high_B,auc_ci_width_B,auc_pm_B,auc_ci_str_B,tpr_mean_B,tpr_std_B,tpr_ci_low_B,tpr_ci_high_B,tpr_ci_width_B,tpr_pm_B,tpr_ci_str_B,fpr_mean_B,fpr_std_B,fpr_ci_low_B,fpr_ci_high_B,fpr_ci_width_B,fpr_pm_B,fpr_ci_str_B,prec_mean_B,prec_std_B,prec_ci_low_B,prec_ci_high_B,prec_ci_width_B,prec_pm_B,prec_ci_str_B,n_subsets,n_valid,subset_size
ica4,5000,efficient_su2_like,zz_feature_map,0.37999999999999995,1550,313,87,50,0.96875,0.2175,134.8,7,0.9232,0.0051,0.9140,0.9330,0.0191,0.9232 ± 0.0051,"[0.9140, 0.9330]",0.9528,0.0031,0.9473,0.9589,0.0116,0.9528 ± 0.0031,"[0.9473, 0.9589]",0.9643,0.0049,0.9543,0.9739,0.0197,0.9643 ± 0.0049,"[0.9543, 0.9739]",0.9679,0.0039,0.9607,0.9763,0.0156,0.9679 ± 0.0039,"[0.9607, 0.9763]",0.2563,0.0211,0.2186,0.2965,0.0779,0.2563 ± 0.0211,"[0.2186, 0.2965]",0.9383,0.0048,0.9292,0.9471,0.0179,0.9383 ± 0.0048,"[0.9292, 0.9471]",200,200,2000
ica4,5000,strongly_entangling,iqp_embedding,0.6649999999999999,1485,371,29,115,0.928125,0.0725,123.5,7,0.1990,0.0000,0.1990,0.1990,0.0000,0.1990 ± 0.0000,"[0.1990, 0.1990]",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000 ± 0.0000,"[0.0000, 0.0000]",0.9728,0.0043,0.9646,0.9808,0.0162,0.9728 ± 0.0043,"[0.9646, 0.9808]",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000 ± 0.0000,"[0.0000, 0.0000]",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000 ± 0.0000,"[0.0000, 0.0000]",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000 ± 0.0000,"[0.0000, 0.0000]",200,200,2000
autoencoder,5000,efficient_su2_like,custom_h_ry_rz,0.5199999999999999,1538,317,83,62,0.96125,0.2075,120.8,6,0.8863,0.0056,0.8760,0.8965,0.0205,0.8863 ± 0.0056,"[0.8760, 0.8965]",0.9320,0.0033,0.9258,0.9378,0.0120,0.9320 ± 0.0033,"[0.9258, 0.9378]",0.9525,0.0058,0.9396,0.9624,0.0229,0.9525 ± 0.0058,"[0.9396, 0.9624]",0.9725,0.0041,0.9650,0.9801,0.0151,0.9725 ± 0.0041,"[0.9650, 0.9801]",0.4606,0.0243,0.4194,0.5101,0.0906,0.4606 ± 0.0243,"[0.4194, 0.5101]",0.8947,0.0049,0.8852,0.9042,0.0190,0.8947 ± 0.0049,"[0.8852, 0.9042]",200,200,2000
pca4,5000,real_amplitudes,zz_feature_map,0.5449999999999999,1481,369,31,119,0.925625,0.0775,126.3,5,0.4505,0.0057,0.4400,0.4605,0.0205,0.4505 ± 0.0057,"[0.4400, 0.4605]",0.4808,0.0079,0.4651,0.4956,0.0305,0.4808 ± 0.0079,"[0.4651, 0.4956]",0.9244,0.0076,0.9106,0.9395,0.0289,0.9244 ± 0.0076,"[0.9106, 0.9395]",0.3177,0.0069,0.3040,0.3309,0.0269,0.3177 ± 0.0069,"[0.3040, 0.3309]",0.0146,0.0059,0.0050,0.0252,0.0202,0.0146 ± 0.0059,"[0.0050, 0.0252]",0.9887,0.0045,0.9803,0.9962,0.0159,0.9887 ± 0.0045,"[0.9803, 0.9962]",200,200,2000
pca4,5000,strongly_entangling,zz_feature_map,0.6599999999999999,1480,370,30,120,0.925,0.075,122.1,7,0.1990,0.0000,0.1990,0.1990,0.0000,0.1990 ± 0.0000,"[0.1990, 0.1990]",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000 ± 0.0000,"[0.0000, 0.0000]",0.9102,0.0078,0.8962,0.9267,0.0305,0.9102 ± 0.0078,"[0.8962, 0.9267]",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000 ± 0.0000,"[0.0000, 0.0000]",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000 ± 0.0000,"[0.0000, 0.0000]",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000 ± 0.0000,"[0.0000, 0.0000]",200,200,2000
pca4,5000,efficient_su2_like,iqp_embedding,0.5549999999999999,1481,366,34,119,0.925625,0.085,144.9,5,0.1990,0.0000,0.1990,0.1990,0.0000,0.1990 ± 0.0000,"[0.1990, 0.1990]",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000 ± 0.0000,"[0.0000, 0.0000]",0.9059,0.0081,0.8913,0.9196,0.0283,0.9059 ± 0.0081,"[0.8913, 0.9196]",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000 ± 0.0000,"[0.0000, 0.0000]",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000 ± 0.0000,"[0.0000, 0.0000]",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000 ± 0.0000,"[0.0000, 0.0000]",200,200,2000
pca4,5000,real_amplitudes,custom_h_ry_rz,0.5449999999999999,1460,384,16,140,0.9125,0.04,110.1,7,0.9152,0.0057,0.9050,0.9270,0.0221,0.9152 ± 0.0057,"[0.9050, 0.9270]",0.9447,0.0039,0.9376,0.9528,0.0153,0.9447 ± 0.0039,"[0.9376, 0.9528]",0.9066,0.0084,0.8903,0.9220,0.0317,0.9066 ± 0.0084,"[0.8903, 0.9220]",0.9043,0.0068,0.8920,0.9170,0.0250,0.9043 ± 0.0068,"[0.8920, 0.9170]",0.0407,0.0093,0.0226,0.0578,0.0352,0.0407 ± 0.0093,"[0.0226, 0.0578]",0.9889,0.0025,0.9843,0.9938,0.0095,0.9889 ± 0.0025,"[0.9843, 0.9938]",200,200,2000
autoencoder,5000,strongly_entangling,zz_feature_map,0.57,1488,354,46,112,0.93,0.115,116.5,5,0.9176,0.0058,0.9055,0.9275,0.0220,0.9176 ± 0.0058,"[0.9055, 0.9275]",0.9473,0.0038,0.9394,0.9538,0.0144,0.9473 ± 0.0038,"[0.9394, 0.9538]",0.9241,0.0071,0.9107,0.9383,0.0276,0.9241 ± 0.0071,"[0.9107, 0.9383]",0.9247,0.0064,0.9113,0.9363,0.0250,0.9247 ± 0.0064,"[0.9113, 0.9363]",0.1111,0.0147,0.0804,0.1357,0.0553,0.1111 ± 0.0147,"[0.0804, 0.1357]",0.9710,0.0037,0.9647,0.9790,0.0143,0.9710 ± 0.0037,"[0.9647, 0.9790]",200,200,2000
ica4,5000,custom_ansatz_1,amplitude_embedding,0.5499999999999999,1481,360,40,119,0.925625,0.1,85.1,6,0.9154,0.0055,0.9050,0.9270,0.0220,0.9154 ± 0.0055,"[0.9050, 0.9270]",0.9469,0.0035,0.9401,0.9543,0.0142,0.9469 ± 0.0035,"[0.9401, 0.9543]",0.9598,0.0055,0.9491,0.9685,0.0194,0.9598 ± 0.0055,"[0.9491, 0.9685]",0.9415,0.0054,0.9313,0.9526,0.0212,0.9415 ± 0.0054,"[0.9313, 0.9526]",0.1899,0.0186,0.1557,0.2261,0.0704,0.1899 ± 0.0186,"[0.1557, 0.2261]",0.9523,0.0044,0.9438,0.9604,0.0166,0.9523 ± 0.0044,"[0.9438, 0.9604]",200,200,2000
autoencoder,5000,real_amplitudes,custom_h_ry_rz,0.5099999999999999,1533,300,100,67,0.958125,0.25,110.3,5,0.9120,0.0055,0.9020,0.9230,0.0210,0.9120 ± 0.0055,"[0.9020, 0.9230]",0.9455,0.0034,0.9394,0.9523,0.0129,0.9455 ± 0.0034,"[0.9394, 0.9523]",0.7752,0.0167,0.7390,0.8079,0.0689,0.7752 ± 0.0167,"[0.7390, 0.8079]",0.9534,0.0051,0.9426,0.9626,0.0200,0.9534 ± 0.0051,"[0.9426, 0.9626]",0.2549,0.0203,0.2136,0.2991,0.0855,0.2549 ± 0.0203,"[0.2136, 0.2991]",0.9377,0.0046,0.9276,0.9469,0.0193,0.9377 ± 0.0046,"[0.9276, 0.9469]",200,200,2000
xgb_pca4,5000,real_amplitudes,zz_feature_map,0.5049999999999999,1566,266,134,34,0.97875,0.335,133.3,5,0.9223,0.0054,0.9120,0.9335,0.0215,0.9223 ± 0.0054,"[0.9120, 0.9335]",0.9529,0.0032,0.9465,0.9595,0.0129,0.9529 ± 0.0032,"[0.9465, 0.9595]",0.9502,0.0066,0.9386,0.9617,0.0231,0.9502 ± 0.0066,"[0.9386, 0.9617]",0.9809,0.0033,0.9732,0.9863,0.0131,0.9809 ± 0.0033,"[0.9732, 0.9863]",0.3132,0.0232,0.2612,0.3569,0.0957,0.3132 ± 0.0232,"[0.2612, 0.3569]",0.9265,0.0051,0.9171,0.9380,0.0209,0.9265 ± 0.0051,"[0.9171, 0.9380]",200,200,2000
autoencoder,5000,strongly_entangling,iqp_embedding,0.5549999999999999,1527,305,95,73,0.954375,0.2375,123.4,4,0.9112,0.0058,0.8985,0.9225,0.0240,0.9112 ± 0.0058,"[0.8985, 0.9225]",0.9447,0.0036,0.9370,0.9517,0.0147,0.9447 ± 0.0036,"[0.9370, 0.9517]",0.9169,0.0077,0.9012,0.9303,0.0291,0.9169 ± 0.0077,"[0.9012, 0.9303]",0.9474,0.0054,0.9382,0.9582,0.0200,0.9474 ± 0.0054,"[0.9382, 0.9582]",0.2345,0.0218,0.1960,0.2789,0.0829,0.2345 ± 0.0218,"[0.1960, 0.2789]",0.9421,0.0050,0.9320,0.9509,0.0188,0.9421 ± 0.0050,"[0.9320, 0.9509]",200,200,2000
xgb_pca4,5000,custom_ansatz_1,custom_h_ry_rz,0.5149999999999999,1553,279,121,47,0.970625,0.3025,115.6,4,0.7626,0.0067,0.7500,0.7760,0.0260,0.7626 ± 0.0067,"[0.7500, 0.7760]",0.8274,0.0056,0.8174,0.8382,0.0208,0.8274 ± 0.0056,"[0.8174, 0.8382]",0.9585,0.0070,0.9444,0.9713,0.0269,0.9585 ± 0.0070,"[0.9444, 0.9713]",0.7105,0.0079,0.6960,0.7273,0.0313,0.7105 ± 0.0079,"[0.6960, 0.7273]",0.0279,0.0081,0.0126,0.0452,0.0327,0.0279 ± 0.0081,"[0.0126, 0.0452]",0.9903,0.0028,0.9846,0.9956,0.0110,0.9903 ± 0.0028,"[0.9846, 0.9956]",200,200,2000
autoencoder,5000,custom_ansatz_1,custom_h_ry_rz,0.5149999999999999,1497,334,66,103,0.935625,0.165,105.9,4,0.2071,0.0056,0.1955,0.2175,0.0220,0.2071 ± 0.0056,"[0.1955, 0.2175]",0.1226,0.0084,0.1073,0.1380,0.0307,0.1226 ± 0.0084,"[0.1073, 0.1380]",0.7396,0.0188,0.7034,0.7741,0.0707,0.7396 ± 0.0188,"[0.7034, 0.7741]",0.0692,0.0051,0.0599,0.0787,0.0188,0.0692 ± 0.0051,"[0.0599, 0.0787]",0.2378,0.0196,0.2009,0.2741,0.0732,0.2378 ± 0.0196,"[0.2009, 0.2741]",0.5394,0.0277,0.4839,0.5912,0.1073,0.5394 ± 0.0277,"[0.4839, 0.5912]",200,200,2000
xgb_pca4,5000,real_amplitudes,custom_h_ry_rz,0.4799999999999999,1551,280,120,49,0.969375,0.3,115.7,4,0.8063,0.0026,0.8010,0.8110,0.0100,0.8063 ± 0.0026,"[0.8010, 0.8110]",0.8916,0.0014,0.8885,0.8941,0.0056,0.8916 ± 0.0014,"[0.8885, 0.8941]",0.9554,0.0068,0.9411,0.9684,0.0273,0.9554 ± 0.0068,"[0.9411, 0.9684]",0.9942,0.0019,0.9900,0.9981,0.0081,0.9942 ± 0.0019,"[0.9900, 0.9981]",0.9503,0.0111,0.9296,0.9724,0.0428,0.9503 ± 0.0111,"[0.9296, 0.9724]",0.8081,0.0018,0.8048,0.8114,0.0067,0.8081 ± 0.0018,"[0.8048, 0.8114]",200,200,2000
xgb_pca4,5000,efficient_su2_like,custom_h_ry_rz,0.48999999999999994,1552,278,122,48,0.97,0.305,123.0,6,0.8884,0.0060,0.8790,0.9015,0.0225,0.8884 ± 0.0060,"[0.8790, 0.9015]",0.9334,0.0034,0.9280,0.9410,0.0131,0.9334 ± 0.0034,"[0.9280, 0.9410]",0.8083,0.0147,0.7772,0.8366,0.0594,0.8083 ± 0.0147,"[0.7772, 0.8366]",0.9765,0.0036,0.9694,0.9831,0.0137,0.9765 ± 0.0036,"[0.9694, 0.9831]",0.4659,0.0258,0.4095,0.5101,0.1006,0.4659 ± 0.0258,"[0.4095, 0.5101]",0.8941,0.0053,0.8853,0.9057,0.0204,0.8941 ± 0.0053,"[0.8853, 0.9057]",200,200,2000
xgb_pca4,5000,strongly_entangling,custom_h_ry_rz,0.4649999999999999,1554,275,125,46,0.97125,0.3125,107.4,6,0.9222,0.0052,0.9120,0.9315,0.0195,0.9222 ± 0.0052,"[0.9120, 0.9315]",0.9526,0.0031,0.9466,0.9583,0.0117,0.9526 ± 0.0031,"[0.9466, 0.9583]",0.7707,0.0173,0.7362,0.8041,0.0679,0.7707 ± 0.0173,"[0.7362, 0.8041]",0.9764,0.0035,0.9694,0.9831,0.0137,0.9764 ± 0.0035,"[0.9694, 0.9831]",0.2957,0.0217,0.2538,0.3392,0.0854,0.2957 ± 0.0217,"[0.2538, 0.3392]",0.9300,0.0048,0.9209,0.9392,0.0183,0.9300 ± 0.0048,"[0.9209, 0.9392]",200,200,2000
autoencoder,5000,strongly_entangling,custom_h_ry_rz,0.4149999999999999,1496,329,71,104,0.935,0.1775,100.6,7,0.9041,0.0061,0.8930,0.9160,0.0231,0.9041 ± 0.0061,"[0.8930, 0.9160]",0.9388,0.0040,0.9315,0.9465,0.0150,0.9388 ± 0.0040,"[0.9315, 0.9465]",0.8675,0.0120,0.8430,0.8894,0.0464,0.8675 ± 0.0120,"[0.8430, 0.8894]",0.9180,0.0066,0.9064,0.9301,0.0238,0.9180 ± 0.0066,"[0.9064, 0.9301]",0.1519,0.0167,0.1231,0.1884,0.0653,0.1519 ± 0.0167,"[0.1231, 0.1884]",0.9605,0.0042,0.9515,0.9679,0.0164,0.9605 ± 0.0042,"[0.9515, 0.9679]",200,200,2000
autoencoder,5000,efficient_su2_like,iqp_embedding,0.4799999999999999,1526,295,105,74,0.95375,0.2625,142.4,7,0.8768,0.0061,0.8650,0.8885,0.0235,0.8768 ± 0.0061,"[0.8650, 0.8885]",0.9253,0.0037,0.9182,0.9320,0.0138,0.9253 ± 0.0037,"[0.9182, 0.9320]",0.9197,0.0073,0.9051,0.9346,0.0295,0.9197 ± 0.0073,"[0.9051, 0.9346]",0.9521,0.0052,0.9426,0.9614,0.0188,0.9521 ± 0.0052,"[0.9426, 0.9614]",0.4262,0.0240,0.3744,0.4674,0.0930,0.4262 ± 0.0240,"[0.3744, 0.4674]",0.9000,0.0051,0.8913,0.9106,0.0193,0.9000 ± 0.0051,"[0.8913, 0.9106]",200,200,2000
autoencoder,5000,custom_ansatz_1,iqp_embedding,0.5099999999999999,1527,286,114,73,0.954375,0.285,133.3,4,0.9067,0.0057,0.8960,0.9165,0.0205,0.9067 ± 0.0057,"[0.8960, 0.9165]",0.9423,0.0035,0.9356,0.9485,0.0129,0.9423 ± 0.0035,"[0.9356, 0.9485]",0.9079,0.0069,0.8956,0.9215,0.0259,0.9079 ± 0.0069,"[0.8956, 0.9215]",0.9516,0.0052,0.9426,0.9620,0.0194,0.9516 ± 0.0052,"[0.9426, 0.9620]",0.2742,0.0215,0.2361,0.3141,0.0780,0.2742 ± 0.0215,"[0.2361, 0.3141]",0.9332,0.0049,0.9243,0.9420,0.0177,0.9332 ± 0.0049,"[0.9243, 0.9420]",200,200,2000
pca4,5000,real_amplitudes,iqp_embedding,0.5149999999999999,1481,332,68,119,0.925625,0.17,135.7,7,0.8958,0.0062,0.8850,0.9090,0.0240,0.8958 ± 0.0062,"[0.8850, 0.9090]",0.9336,0.0040,0.9269,0.9421,0.0153,0.9336 ± 0.0040,"[0.9269, 0.9421]",0.8980,0.0074,0.8849,0.9118,0.0269,0.8980 ± 0.0074,"[0.8849, 0.9118]",0.9151,0.0064,0.9032,0.9276,0.0244,0.9151 ± 0.0064,"[0.9032, 0.9276]",0.1819,0.0182,0.1482,0.2186,0.0704,0.1819 ± 0.0182,"[0.1482, 0.2186]",0.9530,0.0045,0.9442,0.9615,0.0174,0.9530 ± 0.0045,"[0.9442, 0.9615]",200,200,2000
pca4,5000,strongly_entangling,iqp_embedding,0.5299999999999999,1481,331,69,119,0.925625,0.1725,122.9,6,0.8677,0.0070,0.8550,0.8815,0.0265,0.8677 ± 0.0070,"[0.8550, 0.8815]",0.9143,0.0047,0.9055,0.9243,0.0188,0.9143 ± 0.0047,"[0.9055, 0.9243]",0.8915,0.0082,0.8760,0.9066,0.0306,0.8915 ± 0.0082,"[0.8760, 0.9066]",0.8816,0.0075,0.8664,0.8958,0.0294,0.8816 ± 0.0075,"[0.8664, 0.8958]",0.1882,0.0186,0.1532,0.2211,0.0679,0.1882 ± 0.0186,"[0.1532, 0.2211]",0.9496,0.0047,0.9411,0.9589,0.0178,0.9496 ± 0.0047,"[0.9411, 0.9589]",200,200,2000
pca4,5000,custom_ansatz_1,ry_embedding,0.5049999999999999,1486,325,75,114,0.92875,0.1875,91.5,7,0.9014,0.0061,0.8910,0.9135,0.0225,0.9014 ± 0.0061,"[0.8910, 0.9135]",0.9376,0.0039,0.9305,0.9451,0.0146,0.9376 ± 0.0039,"[0.9305, 0.9451]",0.9063,0.0072,0.8938,0.9213,0.0274,0.9063 ± 0.0072,"[0.8938, 0.9213]",0.9237,0.0062,0.9114,0.9351,0.0237,0.9237 ± 0.0062,"[0.9114, 0.9351]",0.1880,0.0183,0.1532,0.2237,0.0705,0.1880 ± 0.0183,"[0.1532, 0.2237]",0.9519,0.0045,0.9431,0.9609,0.0178,0.9519 ± 0.0045,"[0.9431, 0.9609]",200,200,2000
ica4,5000,real_amplitudes,zz_feature_map,0.42999999999999994,1486,324,76,114,0.92875,0.19,129.9,6,0.8907,0.0059,0.8800,0.9015,0.0215,0.8907 ± 0.0059,"[0.8800, 0.9015]",0.9325,0.0036,0.9261,0.9393,0.0132,0.9325 ± 0.0036,"[0.9261, 0.9393]",0.9443,0.0054,0.9343,0.9551,0.0209,0.9443 ± 0.0054,"[0.9343, 0.9551]",0.9428,0.0053,0.9332,0.9538,0.0206,0.9428 ± 0.0053,"[0.9332, 0.9538]",0.3191,0.0220,0.2813,0.3593,0.0780,0.3191 ± 0.0220,"[0.2813, 0.3593]",0.9225,0.0049,0.9138,0.9310,0.0173,0.9225 ± 0.0049,"[0.9138, 0.9310]",200,200,2000
pca4,5000,custom_ansatz_1,iqp_embedding,0.5099999999999999,1481,329,71,119,0.925625,0.1775,130.6,6,0.1967,0.0012,0.1945,0.1990,0.0045,0.1967 ± 0.0012,"[0.1945, 0.1990]",0.0012,0.0012,0.0000,0.0037,0.0037,0.0012 ± 0.0012,"[0.0000, 0.0037]",0.8884,0.0085,0.8723,0.9054,0.0331,0.8884 ± 0.0085,"[0.8723, 0.9054]",0.0006,0.0006,0.0000,0.0019,0.0019,0.0006 ± 0.0006,"[0.0000, 0.0019]",0.0138,0.0056,0.0050,0.0251,0.0202,0.0138 ± 0.0056,"[0.0050, 0.0251]",0.1433,0.1457,0.0000,0.5000,0.5000,0.1433 ± 0.1457,"[0.0000, 0.5000]",200,200,2000
ica4,5000,custom_ansatz_1,custom_h_ry_rz,0.5599999999999999,1525,285,115,75,0.953125,0.2875,111.8,6,0.9091,0.0060,0.8970,0.9210,0.0240,0.9091 ± 0.0060,"[0.8970, 0.9210]",0.9437,0.0037,0.9359,0.9512,0.0152,0.9437 ± 0.0037,"[0.9359, 0.9512]",0.8501,0.0110,0.8265,0.8711,0.0446,0.8501 ± 0.0110,"[0.8265, 0.8711]",0.9503,0.0052,0.9407,0.9607,0.0200,0.9503 ± 0.0052,"[0.9407, 0.9607]",0.2567,0.0214,0.2135,0.2991,0.0856,0.2567 ± 0.0214,"[0.2135, 0.2991]",0.9371,0.0049,0.9275,0.9472,0.0197,0.9371 ± 0.0049,"[0.9275, 0.9472]",200,200,2000
ica4,5000,real_amplitudes,rx_embedding,0.43999999999999995,1486,323,77,114,0.92875,0.1925,88.7,5,0.8549,0.0069,0.8420,0.8680,0.0260,0.8549 ± 0.0069,"[0.8420, 0.8680]",0.9107,0.0043,0.9023,0.9191,0.0168,0.9107 ± 0.0043,"[0.9023, 0.9191]",0.9053,0.0071,0.8930,0.9203,0.0273,0.9053 ± 0.0071,"[0.8930, 0.9203]",0.9241,0.0062,0.9120,0.9351,0.0231,0.9241 ± 0.0062,"[0.9120, 0.9351]",0.4236,0.0238,0.3818,0.4675,0.0856,0.4236 ± 0.0238,"[0.3818, 0.4675]",0.8978,0.0052,0.8876,0.9077,0.0201,0.8978 ± 0.0052,"[0.8876, 0.9077]",200,200,2000
ica4,5000,custom_ansatz_1,rx_embedding,0.43999999999999995,1486,323,77,114,0.92875,0.1925,91.0,7,0.8549,0.0069,0.8420,0.8680,0.0260,0.8549 ± 0.0069,"[0.8420, 0.8680]",0.9107,0.0043,0.9023,0.9191,0.0168,0.9107 ± 0.0043,"[0.9023, 0.9191]",0.9054,0.0071,0.8930,0.9203,0.0272,0.9054 ± 0.0071,"[0.8930, 0.9203]",0.9241,0.0062,0.9120,0.9351,0.0231,0.9241 ± 0.0062,"[0.9120, 0.9351]",0.4236,0.0238,0.3818,0.4675,0.0856,0.4236 ± 0.0238,"[0.3818, 0.4675]",0.8978,0.0052,0.8876,0.9077,0.0201,0.8978 ± 0.0052,"[0.8876, 0.9077]",200,200,2000
pca4,5000,strongly_entangling,rx_embedding,0.5149999999999999,1481,328,72,119,0.925625,0.18,83.1,6,0.8968,0.0060,0.8860,0.9095,0.0235,0.8968 ± 0.0060,"[0.8860, 0.9095]",0.9344,0.0039,0.9272,0.9425,0.0153,0.9344 ± 0.0039,"[0.9272, 0.9425]",0.8848,0.0083,0.8699,0.9022,0.0324,0.8848 ± 0.0083,"[0.8699, 0.9022]",0.9175,0.0064,0.9057,0.9295,0.0238,0.9175 ± 0.0064,"[0.9057, 0.9295]",0.1867,0.0179,0.1531,0.2187,0.0656,0.1867 ± 0.0179,"[0.1531, 0.2187]",0.9519,0.0044,0.9440,0.9602,0.0162,0.9519 ± 0.0044,"[0.9440, 0.9602]",200,200,2000
pca4,5000,strongly_entangling,ry_embedding,0.5149999999999999,1480,329,71,120,0.925,0.1775,82.8,7,0.8955,0.0061,0.8845,0.9080,0.0235,0.8955 ± 0.0061,"[0.8845, 0.9080]",0.9336,0.0040,0.9260,0.9419,0.0159,0.9336 ± 0.0040,"[0.9260, 0.9419]",0.8872,0.0075,0.8737,0.9027,0.0289,0.8872 ± 0.0075,"[0.8737, 0.9027]",0.9167,0.0064,0.9051,0.9282,0.0232,0.9167 ± 0.0064,"[0.9051, 0.9282]",0.1897,0.0182,0.1557,0.2212,0.0655,0.1897 ± 0.0182,"[0.1557, 0.2212]",0.9511,0.0044,0.9432,0.9597,0.0165,0.9511 ± 0.0044,"[0.9432, 0.9597]",200,200,2000
autoencoder,5000,real_amplitudes,iqp_embedding,0.48499999999999993,1524,285,115,76,0.9525,0.2875,127.4,5,0.8987,0.0060,0.8865,0.9105,0.0240,0.8987 ± 0.0060,"[0.8865, 0.9105]",0.9377,0.0037,0.9302,0.9451,0.0149,0.9377 ± 0.0037,"[0.9302, 0.9451]",0.8714,0.0089,0.8547,0.8874,0.0327,0.8714 ± 0.0089,"[0.8547, 0.8874]",0.9506,0.0054,0.9407,0.9607,0.0200,0.9506 ± 0.0054,"[0.9407, 0.9607]",0.3102,0.0220,0.2688,0.3518,0.0830,0.3102 ± 0.0220,"[0.2688, 0.3518]",0.9250,0.0049,0.9154,0.9342,0.0188,0.9250 ± 0.0049,"[0.9154, 0.9342]",200,200,2000
pca4,5000,real_amplitudes,ry_embedding,0.49999999999999994,1483,324,76,117,0.926875,0.19,90.7,4,0.8702,0.0067,0.8570,0.8830,0.0260,0.8702 ± 0.0067,"[0.8570, 0.8830]",0.9191,0.0042,0.9105,0.9272,0.0167,0.9191 ± 0.0042,"[0.9105, 0.9272]",0.8943,0.0072,0.8823,0.9092,0.0269,0.8943 ± 0.0072,"[0.8823, 0.9092]",0.9202,0.0062,0.9088,0.9313,0.0225,0.9202 ± 0.0062,"[0.9088, 0.9313]",0.3313,0.0250,0.2864,0.3844,0.0981,0.3313 ± 0.0250,"[0.2864, 0.3844]",0.9179,0.0057,0.9058,0.9283,0.0225,0.9179 ± 0.0057,"[0.9058, 0.9283]",200,200,2000
ica4,5000,strongly_entangling,amplitude_embedding,0.5249999999999999,1482,325,75,118,0.92625,0.1875,76.5,6,0.8011,0.0006,0.8000,0.8025,0.0025,0.8011 ± 0.0006,"[0.8000, 0.8025]",0.8895,0.0003,0.8889,0.8902,0.0014,0.8895 ± 0.0003,"[0.8889, 0.8902]",0.8827,0.0079,0.8683,0.8984,0.0301,0.8827 ± 0.0079,"[0.8683, 0.8984]",0.9997,0.0004,0.9988,1.0000,0.0012,0.9997 ± 0.0004,"[0.9988, 1.0000]",0.9983,0.0022,0.9925,1.0000,0.0075,0.9983 ± 0.0022,"[0.9925, 1.0000]",0.8012,0.0004,0.8008,0.8022,0.0014,0.8012 ± 0.0004,"[0.8008, 0.8022]",200,200,2000
ica4,5000,strongly_entangling,custom_h_ry_rz,0.5249999999999999,1525,282,118,75,0.953125,0.295,101.6,7,0.1994,0.0004,0.1990,0.2005,0.0015,0.1994 ± 0.0004,"[0.1990, 0.2005]",0.0010,0.0011,0.0000,0.0037,0.0037,0.0010 ± 0.0011,"[0.0000, 0.0037]",0.8094,0.0161,0.7744,0.8448,0.0704,0.8094 ± 0.0161,"[0.7744, 0.8448]",0.0005,0.0005,0.0000,0.0019,0.0019,0.0005 ± 0.0005,"[0.0000, 0.0019]",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000 ± 0.0000,"[0.0000, 0.0000]",0.5650,0.4958,0.0000,1.0000,1.0000,0.5650 ± 0.4958,"[0.0000, 1.0000]",200,200,2000
xgb_pca4,5000,real_amplitudes,iqp_embedding,0.3549999999999999,1552,254,146,48,0.97,0.365,132.7,5,0.8771,0.0048,0.8675,0.8870,0.0195,0.8771 ± 0.0048,"[0.8675, 0.8870]",0.9287,0.0026,0.9236,0.9340,0.0104,0.9287 ± 0.0026,"[0.9236, 0.9340]",0.7460,0.0208,0.7035,0.7893,0.0858,0.7460 ± 0.0208,"[0.7035, 0.7893]",0.9992,0.0007,0.9975,1.0000,0.0025,0.9992 ± 0.0007,"[0.9975, 1.0000]",0.6146,0.0241,0.5678,0.6584,0.0906,0.6146 ± 0.0241,"[0.5678, 0.6584]",0.8675,0.0045,0.8592,0.8764,0.0172,0.8675 ± 0.0045,"[0.8592, 0.8764]",200,200,2000
