feature_set,train_size,ansatz,encoding,accuracy,f1,auc,precision,recall,threshold,best_epoch,validation_accuracy,validation_f1,validation_auc
autoencoder,5000,efficient_su2_like,zz_feature_map,0.946,0.9652733118971061,0.9513421875000001,0.9940397350993377,0.938125,0.63,18,0.949,0.9672447013487476,0.9572312500000001
autoencoder,5000,efficient_su2_like,iqp_embedding,0.9425,0.9630581432701574,0.942615625,0.9907468605419696,0.936875,0.5599999999999999,17,0.947,0.9659601798330122,0.9472875
xgb_pca4,5000,real_amplitudes,custom_h_ry_rz,0.936,0.9603223806571606,0.8166906249999999,0.9526445264452644,0.968125,0.5249999999999999,16,0.944,0.9651307596513076,0.8529
autoencoder,5000,real_amplitudes,zz_feature_map,0.9345,0.9575914535448365,0.9483281250000001,0.9932840832773674,0.924375,0.61,20,0.939,0.9607717041800643,0.94549375
ica4,5000,strongly_entangling,iqp_embedding,0.9345,0.9576736672051697,0.93865,0.991304347826087,0.92625,0.6,10,0.931,0.9552819183408944,0.9406562500000001
pca4,5000,efficient_su2_like,iqp_embedding,0.934,0.9573367808661927,0.9132812500000002,0.9912985274431058,0.925625,0.5149999999999999,20,0.93,0.9546044098573282,0.9193625
xgb_pca4,5000,custom_ansatz_1,amplitude_embedding,0.933,0.9567741935483871,0.8968281250000001,0.9886666666666667,0.926875,0.245,17,0.927,0.9527508090614887,0.8962000000000001
xgb_pca4,5000,strongly_entangling,amplitude_embedding,0.933,0.9567741935483871,0.8957828124999999,0.9886666666666667,0.926875,0.25999999999999995,18,0.928,0.9534282018111255,0.8975875000000001
autoencoder,5000,real_amplitudes,iqp_embedding,0.928,0.9533678756476683,0.9341046875000001,0.989247311827957,0.92,0.565,14,0.931,0.9556270096463022,0.9414375
autoencoder,5000,custom_ansatz_1,iqp_embedding,0.9275,0.9537480063795853,0.9033453124999998,0.9739413680781759,0.934375,0.5399999999999999,18,0.934,0.9578544061302682,0.92976875
autoencoder,5000,strongly_entangling,iqp_embedding,0.925,0.9522292993630573,0.9281484375,0.9707792207792207,0.934375,0.565,20,0.931,0.9560229445506692,0.93775625
autoencoder,5000,real_amplitudes,custom_h_ry_rz,0.925,0.9521683673469388,0.9134484374999999,0.9720052083333334,0.933125,0.5199999999999999,13,0.927,0.9534735500318674,0.9128375
ica4,5000,custom_ansatz_1,zz_feature_map,0.9225,0.9533554017454108,0.8586921875,0.9193267556587348,0.99,0.5099999999999999,12,0.926,0.9550970873786407,0.8828250000000001
pca4,5000,custom_ansatz_1,iqp_embedding,0.922,0.9492517891997397,0.9138265625,0.9898236092265943,0.911875,0.5399999999999999,20,0.917,0.94578706727629,0.92544375
autoencoder,5000,custom_ansatz_1,custom_h_ry_rz,0.922,0.95,0.8714453125,0.975,0.92625,0.5299999999999999,19,0.926,0.9523809523809523,0.9005874999999999
ica4,5000,real_amplitudes,zz_feature_map,0.918,0.9508393285371702,0.8011171875,0.913594470046083,0.99125,0.5149999999999999,20,0.918,0.9505428226779252,0.8168187499999999
autoencoder,5000,real_amplitudes,ry_embedding,0.917,0.950595238095238,0.6239265624999999,0.9073863636363636,0.998125,0.48499999999999993,20,0.928,0.9568862275449102,0.676875
autoencoder,5000,strongly_entangling,custom_h_ry_rz,0.9165,0.946284979092956,0.9031203124999999,0.9748177601060305,0.919375,0.5499999999999999,20,0.913,0.9441233140655106,0.9064437499999999
ica4,5000,efficient_su2_like,ry_embedding,0.9155,0.9493253373313343,0.709565625,0.9123919308357349,0.989375,0.43499999999999994,19,0.921,0.9523234761617381,0.73336875
autoencoder,5000,efficient_su2_like,custom_h_ry_rz,0.914,0.944801026957638,0.937775,0.9709762532981531,0.92,0.5499999999999999,20,0.92,0.9485861182519281,0.9329
xgb_pca4,5000,real_amplitudes,zz_feature_map,0.914,0.9483793517406963,0.708915625,0.9122401847575058,0.9875,0.4099999999999999,20,0.917,0.9503291442250149,0.7270125000000001
xgb_pca4,5000,efficient_su2_like,zz_feature_map,0.9115,0.9463473779933314,0.8551062500000001,0.9187757504414361,0.975625,0.4699999999999999,15,0.913,0.9471766848816029,0.8639874999999999
ica4,5000,strongly_entangling,custom_h_ry_rz,0.9085,0.9431500465983225,0.9284250000000001,0.9376158122297714,0.94875,0.48999999999999994,19,0.916,0.9476309226932669,0.94381875
ica4,5000,efficient_su2_like,zz_feature_map,0.9075,0.9452500739863865,0.75860703125,0.8976953344575604,0.998125,0.5099999999999999,17,0.909,0.946058091286307,0.78605625
xgb_pca4,5000,custom_ansatz_1,custom_h_ry_rz,0.906,0.9404686510449651,0.7989812499999998,0.9531450577663672,0.928125,0.5449999999999999,17,0.91,0.9428208386277002,0.83628125
xgb_pca4,5000,strongly_entangling,custom_h_ry_rz,0.9025,0.9382716049382716,0.8288343749999999,0.9506093649775497,0.92625,0.5299999999999999,12,0.905,0.9394518801784576,0.8520500000000001
xgb_pca4,5000,efficient_su2_like,custom_h_ry_rz,0.902,0.9379746835443038,0.7925906249999999,0.95,0.92625,0.5299999999999999,1,0.906,0.9401273885350319,0.83183125
